intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Secretory-absorptive transitional epithelial,6,12,0.0023657801501670832,1.5054994397170025e-05,-0.23507251557699133,-0.33769541628240335,-0.11868623792868897,7.0,0.0023967463435868265,0,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Epithelial,Zg16+ secretory epithelial,6,12,0.009825420140544766,0.41553955868870146,40.57141385481567,23.59373812316308,57.46953827708064,72.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Activated B cell,6,12,0.06186331374740539,0.0,-6.186331374740539,-9.313519976004935,-3.40987781707437,0.0,7.48574411268451e-05,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Activated dendritic cell,6,12,0.005628334132420417,0.0075423252482749,0.19139911158544826,-0.45547909566591155,0.9681669792330743,28.0,0.4529888046158861,0,0.5069160432606344
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,C1q+ macrophage,6,12,0.0042314981296665,0.03093778202473856,2.670628389507206,-0.42891312558615496,7.9636265244440505,26.0,0.3418281289774068,0,0.39185175760824675
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Ccr3+ eosinophil,6,12,0.0007266708969141168,0.19998442716526052,19.925775626834643,12.807711385008012,26.941825590281237,67.5,0.0035170353479530327,0,0.009183370075210697
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Conventional B cell,6,12,0.15688295858719006,0.004685702783528859,-15.21972558036612,-22.204943671206504,-8.69073164074257,0.0,0.00038218399805330674,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Conventional T cell,6,12,0.04474927324313446,0.011028451640302974,-3.372082160283149,-5.944619960871552,-0.8866753365583471,11.0,0.01634743371907387,0,0.030733175391858877
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Conventional dendritic cell,6,12,0.016313247311826783,0.03527386755776805,1.8960620245941264,0.33308014218663984,3.296528365978634,58.5,0.039047514489138284,0,0.05920107035449998
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Cxcr2+ neutrophil,6,12,0.03892459879476198,0.21645549090832183,17.753089211355984,11.704908484322132,24.864653340022617,72.0,0.0008845671563050018,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Cycling immune cell,6,12,0.007338670338307401,0.014476163932685667,0.7137493594378266,-0.5354507819839266,2.2834212766835695,20.0,0.1345530010150398,0,0.17566641799185753
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Follicular B cell,6,12,0.0097424278579855,0.03727656335337003,2.7534135495384535,0.584153436676335,5.104941646177012,48.0,0.27643441524593604,0,0.3331389106809999
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Folr2+ resident macrophage,6,12,0.1768227713841873,0.08300074951363057,-9.382202187055674,-21.015803122869553,1.154229019088614,16.0,0.06751503656957328,0,0.09332960937558658
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Foxp3+ regulatory T cell,6,12,0.0436111457376124,0.013388875617136484,-3.022227012047592,-5.493766758256842,-0.5284423014000764,12.0,0.021275337013397986,0,0.03845926306268098
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,6,12,0.00855238899375515,0.07178218983554109,6.322980084178593,2.6277286164657085,10.713199542643862,54.0,0.10050328269212781,0,0.1349615510437145
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,6,12,0.0291535957259542,0.07589278729152875,4.673919156557455,0.5454420648271083,9.488200739523943,47.0,0.32440251017972743,0,0.38117294946117974
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,6,12,0.0044593901769996325,0.0029560616517138247,-0.15033285252858078,-0.6315078076188317,0.4311329069535372,16.0,0.03777213893714183,0,0.0591763510015222
