direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Fibroblast -> Neutrophil,Mif,Cd74,0.0905128470623286,0.34709622526915,0.237267918987514,0.365675874006648,True,Attenuated by both,0.34709622526915,Mif → Cd74,-0.01857964873749801,False,
Fibroblast -> Neutrophil,Ildr2,Csf2rb2,0.090176950736812,0.275717641641129,0.176078578524026,0.241475033763371,True,Attenuated by both,0.241475033763371,Ildr2 → Csf2rb2,0.034242607877757986,False,
Neutrophil -> Fibroblast,Lgals1,Itgb1,0.0901533516385425,0.16157497652477,0.281823776640612,0.601359440303322,True,Attenuated by both,0.16157497652477,Lgals1 → Itgb1,-0.439784463778552,False,
Neutrophil -> Fibroblast,Slit3,Robo2,0.0883728544769449,0.160783331827641,0.0925373187700911,0.536780026009962,True,Attenuated by both,0.160783331827641,Slit3 → Robo2,-0.37599669418232096,False,
Fibroblast -> Neutrophil,Serping1,Selp,0.0856918557051534,0.241622726784498,0.0154966777498514,0.280259253334649,True,Attenuated by both,0.241622726784498,Serping1 → Selp,-0.03863652655015101,False,
Fibroblast -> Neutrophil,Bmp4,Bmpr2,0.0833279167998945,0.0757766803989909,-0.086183390050219,0.0459956084322544,False,Attenuated by both,,Bmp4 → Bmpr2,0.029781071966736496,False,
Neutrophil -> Fibroblast,L1cam,Ncam1,-0.0760411517307349,0.154362260815542,-0.413405166378943,0.123471838259648,False,Attenuated by both,,L1cam → Ncam1,0.030890422555893998,False,
Fibroblast -> Neutrophil,Bmp4,Bmpr1a,-0.0759644659957179,0.0928859840395128,0.0310246478548459,0.25085807196073,False,Attenuated by both,,Bmp4 → Bmpr1a,-0.1579720879212172,False,
Fibroblast -> Neutrophil,Serpine1,Plaur,0.0749075962694991,0.519906682071273,0.305341503398134,0.56052548725006,True,Attenuated by both,0.519906682071273,Serpine1 → Plaur,-0.04061880517878702,False,
Neutrophil -> Fibroblast,Sema4a,Plxnb2,0.074716100460409,0.0641388428060821,-0.22363299409451,0.214541224509859,False,Attenuated by both,,Sema4a → Plxnb2,-0.1504023817037769,False,
Neutrophil -> Fibroblast,Tgfb1,Sdc2,0.0741195636612774,0.0170308538295126,-0.171063185336891,0.435935228477372,False,Attenuated by both,,Tgfb1 → Sdc2,-0.4189043746478594,False,
Neutrophil -> Fibroblast,L1cam,Fgfr1,-0.0740340351654569,0.335643606317921,-0.15329216242782,0.0436023325662164,False,Attenuated by both,,L1cam → Fgfr1,0.29204127375170463,False,
Neutrophil -> Fibroblast,Icosl,Ctla4,0.0675171146743441,0.536721833141444,0.460550469201234,0.490939938041071,True,Attenuated by both,0.490939938041071,Icosl → Ctla4,0.04578189510037295,False,
Fibroblast -> Neutrophil,Rps19,C5ar1,0.0581002623091721,0.474363094212501,0.234947153459658,0.0942812320965886,True,Attenuated by both,0.0942812320965886,Rps19 → C5ar1,0.3800818621159124,False,
Neutrophil -> Fibroblast,S100a8,Tlr4,-0.053876678594458,0.161349200826124,0.105040483138988,0.273902312247064,False,Attenuated by both,,S100a8 → Tlr4,-0.11255311142094002,False,
Neutrophil -> Fibroblast,Bgn,Tlr4,0.0526858548175798,0.210480648131131,0.333484206465994,0.438081413268157,True,Attenuated by both,0.210480648131131,Bgn → Tlr4,-0.22760076513702604,False,
Fibroblast -> Neutrophil,Nampt,Itga5,0.0510654486022904,0.432926045749715,0.418130713081388,0.121755296233853,True,Attenuated by both,0.121755296233853,Nampt → Itga5,0.311170749515862,False,
Neutrophil -> Fibroblast,Serping1,Lrp1,0.0504278590657985,0.289085059236824,0.316688809585582,0.59520687425962,True,Attenuated by both,0.289085059236824,Serping1 → Lrp1,-0.30612181502279606,False,
Fibroblast -> Neutrophil,Cdh1,Igf1r,-0.0504259820265202,0.178990584738467,-0.25335936773624,-0.320794671691997,False,FAP ablation only,,Cdh1 → Igf1r,0.499785256430464,False,
Fibroblast -> Neutrophil,Mif,Cxcr2,0.0479259793564887,0.365740524008489,0.0483244600359708,0.0333301569314841,True,Attenuated by both,0.0333301569314841,Mif → Cxcr2,0.3324103670770049,False,
Fibroblast -> Neutrophil,Calm2,Pde1b,-0.0470316541658993,0.260888616683073,0.250563871535799,0.364311302258505,False,Attenuated by both,,Calm2 → Pde1b,-0.103422685575432,False,
Neutrophil -> Fibroblast,Apoe,App,0.0452801886585589,0.321299200564195,-0.0081002825395659,0.492056078332715,False,Attenuated by both,,Apoe → App,-0.17075687776852,False,
Fibroblast -> Neutrophil,Cfh,Itgam,0.0450871338475292,0.31838457138011,0.0901650194337681,0.389428092577145,True,Attenuated by both,0.31838457138011,Cfh → Itgam,-0.071043521197035,False,
Neutrophil -> Fibroblast,L1cam,Chl1,-0.044335892215517,0.531187046000504,0.114855895649349,0.215471838259648,False,Attenuated by both,,L1cam → Chl1,0.31571520774085604,False,
Fibroblast -> Neutrophil,Calm3,Pde1b,-0.0429709899939855,0.245239832320997,0.202911147658164,0.231890425694965,False,Attenuated by both,,Calm3 → Pde1b,0.013349406626031984,False,
Fibroblast -> Neutrophil,Timp1,Fgfr2,0.0417871539667098,0.551536464885652,0.13561876055421,0.536340018860983,True,Attenuated by both,0.536340018860983,Timp1 → Fgfr2,0.015196446024668964,False,
Fibroblast -> Neutrophil,Dcn,Tlr2,0.0405951774812461,0.462439168361071,0.186000946387976,0.436711749679806,True,Attenuated by both,0.436711749679806,Dcn → Tlr2,0.02572741868126499,False,
Neutrophil -> Fibroblast,Lgals3,Ptprk,0.0402650949863683,0.214684805888254,-0.362397933676747,0.0041257660673087,False,Attenuated by both,,Lgals3 → Ptprk,0.21055903982094532,False,
Fibroblast -> Neutrophil,Mpdz,F11r,-0.0391422382812622,0.233367611452142,-0.238239191987473,-0.053178784794949,False,FAP ablation only,,Mpdz → F11r,0.286546396247091,False,
Neutrophil -> Fibroblast,Il1a,Il1r1,0.0388347889660221,0.68778309186287,0.265782547251123,0.50201107948644,True,Attenuated by both,0.50201107948644,Il1a → Il1r1,0.18577201237643004,False,
Fibroblast -> Neutrophil,Bmp2,Bmpr2,0.0356672925403033,0.10023759162037,0.100475203983919,-0.0381555481872886,True,FAP ablation only,,Bmp2 → Bmpr2,0.1383931398076586,False,
Fibroblast -> Neutrophil,Adm,Mrgpra2b,-0.0343570232872941,0.261870160805901,-0.122434596105798,0.216563069947311,False,Attenuated by both,,Adm → Mrgpra2b,0.04530709085858997,False,
