feature_scope,compartment,feature,effect_percentage_points_ablation,ci_low_ablation,ci_high_ablation,fdr_global_scope_ablation,reference_n_ablation,treatment_n_ablation,effect_percentage_points_blockade,ci_low_blockade,ci_high_blockade,fdr_global_scope_blockade,reference_n_blockade,treatment_n_blockade,ablation_minus_blockade_percentage_points,difference_ci_low,difference_ci_high,effect_concordant,max_abs_effect
Level 3 fraction within compartment,Epithelial,Injury/inflammatory epithelial,-1.021846441980931,-1.298927860208346,-0.7650490316196313,0.03813165114815917,6,5,38.40888517420773,21.170290270620065,55.97266797292058,0.0034645546955279233,6,12,-39.430731616188666,-57.06499857219742,-22.154652177457066,False,38.40888517420773
Level 3 fraction within compartment,Epithelial,Mature absorptive colonocyte,32.17863094433794,30.409260215460584,33.80212280808208,0.03813165114815917,6,5,-2.591564042098245,-3.7714857360137963,-1.385671865307173,0.010592884755644492,6,12,34.77019498643619,32.98795899026406,36.397731970399285,False,32.17863094433794
Level 3 fraction within compartment,Epithelial,Reg4+ deep-crypt secretory epithelial,1.42550276463953,0.09968003144358968,2.6112102039010914,0.25101454533898376,6,5,-0.31357545053418684,-0.5504132103573994,-0.07495867990455868,0.078130783258641,6,12,1.7390782151737167,0.41764832583150935,2.8986273454520273,False,1.42550276463953
Level 3 fraction within compartment,Epithelial,Satb2+ epithelial-like transitional cell,-1.0685177414806797,-2.7518413507887507,0.6362126847985737,0.2074888896895377,6,5,-4.590007711611737,-5.802264306708507,-3.7181982301786167,0.0034645546955279233,6,12,3.521489970131057,2.3711440060376248,4.99214463253776,True,4.590007711611737
Level 3 fraction within compartment,Epithelial,Secretory-absorptive transitional epithelial,4.464851402993613,3.661262054985113,5.346693869579008,0.03813165114815917,6,5,-0.23507251557699133,-0.33769541628240335,-0.11868623792868897,0.007376150968329977,6,12,4.6999239185706045,3.923186651023338,5.644523861576268,False,4.464851402993613
Level 3 fraction within compartment,Epithelial,Zg16+ secretory epithelial,0.4010719518268074,-0.34300760632490057,0.9645375729189766,0.2074888896895377,6,5,40.57141385481567,23.59373812316308,57.46953827708064,0.0034645546955279233,6,12,-40.17034190298886,-57.2080868248846,-22.86629248882703,True,40.57141385481567
Level 3 fraction within compartment,Immune,Activated B cell,-5.789577542459205,-8.916766143723601,-2.844960787702129,0.04175373917792852,6,5,-6.186331374740539,-9.313519976004935,-3.40987781707437,0.0034645546955279233,6,12,0.396753832281334,0.0,1.190261496844002,True,6.186331374740539
Level 3 fraction within compartment,Immune,Activated dendritic cell,-0.4365935575161637,-0.7353961962858799,-0.09148925220710784,0.16190188748849849,6,5,0.19139911158544826,-0.45547909566591155,0.9681669792330743,0.5069160432606344,6,12,-0.6279926691016119,-1.368669228580556,0.004636286947263364,False,0.4365935575161637
Level 3 fraction within compartment,Immune,C1q+ macrophage,4.8128042801571125,0.15577234705054518,11.451539464763549,0.5807772858538699,6,5,2.670628389507206,-0.42891312558615496,7.9636265244440505,0.39185175760824675,6,12,2.1421758906499067,-5.44100940716331,9.654432393232987,True,4.8128042801571125
Level 3 fraction within compartment,Immune,Ccr3+ eosinophil,-0.07266708969141168,-0.14997935773840168,-0.016235272288708334,0.20378843550841716,6,5,19.925775626834643,12.807711385008012,26.941825590281237,0.009183370075210697,6,12,-19.998442716526053,-27.162901554512693,-12.92958508644293,False,19.925775626834643
Level 3 fraction within compartment,Immune,Conventional B cell,-14.36077356636353,-21.51515871956128,-7.716045522288178,0.03813165114815917,6,5,-15.21972558036612,-22.204943671206504,-8.69073164074257,0.0034645546955279233,6,12,0.85895201400259,-0.8852369450195525,3.1099296997628865,True,15.21972558036612
Level 3 fraction within compartment,Immune,Conventional T cell,9.154788499914426,-1.0390727458435673,21.741565746677633,0.37997987814979595,6,5,-3.372082160283149,-5.944619960871552,-0.8866753365583471,0.030733175391858877,6,12,12.526870660197575,2.6578921353297704,25.11939447873254,False,9.154788499914426
Level 3 fraction within compartment,Immune,Conventional dendritic cell,-1.3788450197309203,-2.685177198314355,-0.15574362507284323,0.20378843550841716,6,5,1.8960620245941264,0.33308014218663984,3.296528365978634,0.05920107035449998,6,12,-3.274907044325047,-4.20933616232852,-2.263474206307509,False,1.8960620245941264
