family,feature,min_cells,contrast,n_per_arm,effect,low,high,p,q
Full-gene program,ER_stress,0,alpha_in_UC,6,-0.0425091861105322,-0.232776962260025,0.14775859003896,0.600094413521883,0.745264744857437
Full-gene program,Hypoxia_glycolysis,0,alpha_in_UC,6,-0.0196668275164361,-0.119929847345472,0.0805961923125997,0.638798352734946,0.745264744857437
Full-gene program,Immature_granulopoiesis,0,alpha_in_UC,6,0.0675329724732903,-0.0369798416526788,0.172045786599259,0.163909108715542,0.573681880504396
Full-gene program,Integrin_adhesion,0,alpha_in_UC,6,-0.0662543633260836,-0.184387053179565,0.0518783265273973,0.218013632773279,0.610438171765182
Full-gene program,NETosis,0,alpha_in_UC,6,-0.006928893749295,-0.0939136442268931,0.0800558567283031,0.854723896664769,0.865488719038668
Full-gene program,OSM_inflammation,0,alpha_in_UC,6,-0.0867059398278635,-0.312817645280408,0.139405765624681,0.408703444770398,0.635760914087285
Full-gene program,Oxidative_burst,0,alpha_in_UC,6,-0.0680299738002861,-0.222979156175381,0.0869192085748086,0.339233275704164,0.635760914087285
Full-gene program,Phagocytosis,0,alpha_in_UC,6,-0.117777457097004,-0.273844598105575,0.0382896839115678,0.117647445149985,0.54902141069993
Full-gene program,Proliferation_stress,0,alpha_in_UC,6,-0.00343313572983708,-0.0503052805584746,0.0434390090988005,0.865488719038668,0.865488719038668
Full-gene program,Survival_antiapoptosis,0,alpha_in_UC,6,-0.050269734354273,-0.178191189393044,0.0776517206844975,0.387742875979423,0.635760914087285
Full-gene program,Type_I_interferon,0,alpha_in_UC,6,0.0152710153233719,-0.0307922722912601,0.0613343029380038,0.474899908951,0.6648598725314
Full-gene program,CXCR4_aging_retention,20,alpha_interaction,4,-0.780759166188162,-1.07659687376983,-0.484921458606491,0.000160000723110912,0.00112000506177639
Full-gene program,Chemotaxis,20,alpha_interaction,4,-0.640264774087517,-0.850699945861147,-0.429829602313887,5.4889938238279e-05,0.000768459135335905
Full-gene program,Degranulation,20,alpha_interaction,4,0.00590414150205606,-0.201103934343875,0.212912217347987,0.936407647748245,0.936407647748245
Full-gene program,ER_stress,20,alpha_interaction,4,-0.398297315309298,-0.57330526985692,-0.223289360761676,0.00110294036374456,0.00386029127310596
Full-gene program,Hypoxia_glycolysis,20,alpha_interaction,4,-0.177553336199707,-0.291744872807821,-0.0633617995915926,0.00718273775566474,0.015710421027894
Full-gene program,Immature_granulopoiesis,20,alpha_interaction,4,0.175366128937231,-0.0285771128633317,0.379309370737794,0.0753009430152635,0.105421320221369
Full-gene program,Integrin_adhesion,20,alpha_interaction,4,-0.276861394464826,-0.458265549450282,-0.0954572394793692,0.00785521051394701,0.015710421027894
Full-gene program,NETosis,20,alpha_interaction,4,-0.116566302624241,-0.272790612393048,0.0396580071445663,0.12236114556231,0.155732367079304
Full-gene program,OSM_inflammation,20,alpha_interaction,4,-0.393935848082912,-0.692137325275307,-0.0957343708905178,0.0148999808113972,0.0260749664199451
Full-gene program,Oxidative_burst,20,alpha_interaction,4,-0.291490581330517,-0.530747566395046,-0.0522335962659868,0.0225865152562851,0.0351345792875546
Full-gene program,Phagocytosis,20,alpha_interaction,4,-0.599869321025827,-0.860697477414501,-0.339041164637154,0.000583188568585299,0.00272154665339806
Full-gene program,Proliferation_stress,20,alpha_interaction,4,-0.0141246368710781,-0.0644056101927089,0.0361563364505527,0.502711098781439,0.541381183303088
Full-gene program,Survival_antiapoptosis,20,alpha_interaction,4,-0.363222443778236,-0.594443125233288,-0.132001762323183,0.00617027010621315,0.015710421027894
Full-gene program,Type_I_interferon,20,alpha_interaction,4,-0.0395190173540559,-0.109454571399761,0.0304165366916489,0.234684971108176,0.273799132959538
Full-gene program,CXCR4_aging_retention,20,alpha_in_UC,5,-0.17814274966483,-0.361549724900118,0.00526422557045919,0.0548685933885911,0.256053435813425
Full-gene program,Chemotaxis,20,alpha_in_UC,5,-0.136515676476041,-0.291855303316784,0.0188239503647017,0.0735530045970855,0.257435516089799
Full-gene program,Degranulation,20,alpha_in_UC,5,0.0626996053451998,0.0452829644648276,0.080116246225572,3.74454827458398e-05,0.000524236758441757
Full-gene program,ER_stress,20,alpha_in_UC,5,-0.106630203772458,-0.248737796923102,0.0354773893781873,0.113925790643436,0.318992213801622
Full-gene program,Hypoxia_glycolysis,20,alpha_in_UC,5,0.0113307501918701,-0.0803011683632044,0.102962668746945,0.753477760815163,0.753477760815163
Full-gene program,Immature_granulopoiesis,20,alpha_in_UC,5,0.0964678839963538,0.0387667736768188,0.154168994315889,0.00648815632849008,0.0454170942994306
Full-gene program,Integrin_adhesion,20,alpha_in_UC,5,-0.0445929602345342,-0.184134214539778,0.0949482940707099,0.445552556291303,0.646733691588255
Full-gene program,NETosis,20,alpha_in_UC,5,0.023668220891113,-0.0654554069840996,0.112791848766326,0.525429390535067,0.646733691588255
Full-gene program,OSM_inflammation,20,alpha_in_UC,5,-0.0734347214089509,-0.324457672719389,0.177588229901488,0.514316625623172,0.646733691588255
Full-gene program,Oxidative_burst,20,alpha_in_UC,5,-0.0473573581127813,-0.242547488182992,0.14783277195743,0.554343164218505,0.646733691588255
Full-gene program,Phagocytosis,20,alpha_in_UC,5,-0.100094326623615,-0.300484294435207,0.100295641187977,0.257088619615157,0.5998734457687
Full-gene program,Proliferation_stress,20,alpha_in_UC,5,0.0114057448149647,-0.0288054951239004,0.0516169847538298,0.518837370704497,0.646733691588255
Full-gene program,Survival_antiapoptosis,20,alpha_in_UC,5,-0.05393893292302,-0.218149902848088,0.110272037002048,0.452015772144329,0.646733691588255
Full-gene program,Type_I_interferon,20,alpha_in_UC,5,0.00607607143812452,-0.033955598258012,0.046107741134261,0.728135816655034,0.753477760815163
Full-gene program,CXCR4_aging_retention,50,alpha_interaction,3,-0.774028099752918,-1.14419661757161,-0.403859581934224,0.00175054682197801,0.0122538277538461
