program,NGenes,Direction,PValue,FDR,population,contrast,n_donors,correlation_method,Correlation
CXCR4_aging_retention,6,Down,3.86538978952135e-09,5.41154570532989e-08,All_annotated,alpha_in_UC,5,Fixed 0.01,
Chemotaxis,8,Down,2.22421237001056e-07,1.37540140689171e-06,All_annotated,alpha_in_UC,5,Fixed 0.01,
OSM_inflammation,9,Down,2.94728872905367e-07,1.37540140689171e-06,All_annotated,alpha_in_UC,5,Fixed 0.01,
ER_stress,7,Down,4.52401714848454e-05,0.000132017477123843,All_annotated,alpha_in_UC,5,Fixed 0.01,
Immature_granulopoiesis,8,Up,4.71490989728011e-05,0.000132017477123843,All_annotated,alpha_in_UC,5,Fixed 0.01,
Phagocytosis,10,Down,0.000286789952943271,0.000669176556867632,All_annotated,alpha_in_UC,5,Fixed 0.01,
Degranulation,9,Up,0.00335772689021343,0.00671545378042686,All_annotated,alpha_in_UC,5,Fixed 0.01,
Integrin_adhesion,6,Down,0.0851264182141172,0.148971231874705,All_annotated,alpha_in_UC,5,Fixed 0.01,
Survival_antiapoptosis,8,Down,0.120752427448025,0.187837109363595,All_annotated,alpha_in_UC,5,Fixed 0.01,
Oxidative_burst,7,Down,0.296034276058151,0.414447986481412,All_annotated,alpha_in_UC,5,Fixed 0.01,
NETosis,11,Up,0.635893431303419,0.74533363044672,All_annotated,alpha_in_UC,5,Fixed 0.01,
Hypoxia_glycolysis,9,Up,0.63885739752576,0.74533363044672,All_annotated,alpha_in_UC,5,Fixed 0.01,
Type_I_interferon,12,Down,0.800625955392767,0.862212567346057,All_annotated,alpha_in_UC,5,Fixed 0.01,
Proliferation_stress,6,Up,0.990820217781633,0.990820217781633,All_annotated,alpha_in_UC,5,Fixed 0.01,
ER_stress,7,Down,0.0469334249780402,0.234662020264786,All_annotated,alpha_in_UC,5,Estimated within gene set,0.198320837718999
CXCR4_aging_retention,6,Down,0.0534064828677001,0.234662020264786,All_annotated,alpha_in_UC,5,Estimated within gene set,0.791222016899724
Chemotaxis,8,Down,0.0648266490525237,0.234662020264786,All_annotated,alpha_in_UC,5,Estimated within gene set,0.499567045742895
Degranulation,9,Up,0.0670462915042245,0.234662020264786,All_annotated,alpha_in_UC,5,Estimated within gene set,0.0614483584351897
Immature_granulopoiesis,8,Up,0.0917852400398985,0.242308245957749,All_annotated,alpha_in_UC,5,Estimated within gene set,0.376463097855004
OSM_inflammation,9,Down,0.10384639112475,0.242308245957749,All_annotated,alpha_in_UC,5,Estimated within gene set,0.681626142872029
Phagocytosis,10,Down,0.164161604402106,0.328323208804212,All_annotated,alpha_in_UC,5,Estimated within gene set,0.439868732443132
Survival_antiapoptosis,8,Down,0.234223192827878,0.379499983583488,All_annotated,alpha_in_UC,5,Estimated within gene set,0.0450476094536039
Integrin_adhesion,6,Down,0.243964275160813,0.379499983583488,All_annotated,alpha_in_UC,5,Estimated within gene set,0.134110015069089
Oxidative_burst,7,Down,0.560699954027054,0.784979935637875,All_annotated,alpha_in_UC,5,Estimated within gene set,0.313835330808411
NETosis,11,Up,0.665891711666815,0.847498542121401,All_annotated,alpha_in_UC,5,Estimated within gene set,0.0138701697983159
Type_I_interferon,12,Down,0.803343856378912,0.865539777736097,All_annotated,alpha_in_UC,5,Estimated within gene set,-0.0125414002511075
Hypoxia_glycolysis,9,Up,0.803715507897804,0.865539777736097,All_annotated,alpha_in_UC,5,Estimated within gene set,0.29677801623154
Proliferation_stress,6,Up,0.994070803674589,0.994070803674589,All_annotated,alpha_in_UC,5,Estimated within gene set,0.244848106590593
