state,program,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
OSM neutrophil,Immature_granulopoiesis,full_gene,6,0.0174685512107071,0.0167529881564847,-0.0255963758369828,0.060533478258397,0.344850061383878,0.375,5,UC_vs_alone,10,0.425991252297732
OSM neutrophil,Immature_granulopoiesis,identity_markers_removed,6,0.0174685512107071,0.0167529881564847,-0.0255963758369828,0.060533478258397,0.344850061383878,0.375,5,UC_vs_alone,10,0.425991252297732
OSM neutrophil,Survival_antiapoptosis,full_gene,6,0.332964030397186,0.0213465652896245,0.278090937410453,0.38783712338392,1.96797561522469e-05,0.03125,6,UC_vs_alone,10,0.000206637439598592
OSM neutrophil,Survival_antiapoptosis,identity_markers_removed,6,0.332964030397186,0.0213465652896245,0.278090937410453,0.38783712338392,1.96797561522469e-05,0.03125,6,UC_vs_alone,10,0.000206637439598592
OSM neutrophil,Hypoxia_glycolysis,full_gene,6,0.175001671624608,0.00540732705996149,0.161101694904927,0.18890164834429,5.29143899356906e-07,0.03125,6,UC_vs_alone,10,1.99822568377071e-05
OSM neutrophil,Hypoxia_glycolysis,identity_markers_removed,6,0.175001671624608,0.00540732705996149,0.161101694904927,0.18890164834429,5.29143899356906e-07,0.03125,6,UC_vs_alone,10,1.82470100080395e-05
OSM neutrophil,ER_stress,full_gene,6,0.376734960183176,0.0279228166597042,0.304957074877937,0.448512845488415,4.00582805355689e-05,0.03125,6,UC_vs_alone,10,0.000336489556498779
OSM neutrophil,ER_stress,identity_markers_removed,6,0.376734960183176,0.0279228166597042,0.304957074877937,0.448512845488415,4.00582805355689e-05,0.03125,6,UC_vs_alone,10,0.000336489556498779
OSM neutrophil,Proliferation_stress,full_gene,6,0.0653486257005535,0.0133134360912353,0.0311253487145192,0.0995719026865879,0.00444167314760797,0.03125,6,UC_vs_alone,10,0.0157845957565033
OSM neutrophil,Proliferation_stress,identity_markers_removed,6,0.0653486257005535,0.0133134360912353,0.0311253487145192,0.0995719026865879,0.00444167314760797,0.03125,6,UC_vs_alone,10,0.0155458560166279
OSM neutrophil,Integrin_adhesion,full_gene,6,0.188473112442978,0.0313273885619544,0.107943496447697,0.269002728438258,0.0018239339291271,0.03125,6,UC_vs_alone,10,0.00766052250233382
OSM neutrophil,Integrin_adhesion,identity_markers_removed,6,0.188473112442978,0.0313273885619544,0.107943496447697,0.269002728438258,0.0018239339291271,0.03125,6,UC_vs_alone,10,0.00766052250233382
OSM neutrophil,CXCR4_aging_retention,full_gene,6,0.473767129325884,0.0370351641940806,0.378565208968772,0.568969049682996,5.19431643719783e-05,0.03125,6,UC_vs_alone,10,0.000363602150603848
OSM neutrophil,CXCR4_aging_retention,identity_markers_removed,6,0.459419731449955,0.042241501556954,0.350834494837646,0.568004968062264,0.000114129564758115,0.03125,6,UC_vs_alone,10,0.000798906953306805
PADI4 neutrophil,NETosis,full_gene,3,-0.492515811680692,0.173927101737239,-1.24086373074784,0.255832107386454,0.105363766859694,0.25,3,UC_vs_alone,10,0.158045650289541
PADI4 neutrophil,NETosis,identity_markers_removed,3,-0.679650512955505,0.167018709121933,-1.39827401767822,0.0389729917672119,0.0554169645061887,0.25,3,UC_vs_alone,10,0.105796023148178
PADI4 neutrophil,Degranulation,full_gene,3,-0.928752954636647,0.0869035000333598,-1.30266853627997,-0.554837372993329,0.00864203026643603,0.25,3,UC_vs_alone,10,0.0279204054761779
PADI4 neutrophil,Degranulation,identity_markers_removed,3,-0.928752954636647,0.0869035000333598,-1.30266853627997,-0.554837372993329,0.00864203026643603,0.25,3,UC_vs_alone,10,0.0279204054761779
PADI4 neutrophil,Oxidative_burst,full_gene,3,-0.656847242573562,0.192083717303729,-1.48331677317087,0.16962228802375,0.0759079029343355,0.25,3,UC_vs_alone,10,0.118078960120077
PADI4 neutrophil,Oxidative_burst,identity_markers_removed,3,-0.656847242573562,0.192083717303729,-1.48331677317087,0.16962228802375,0.0759079029343355,0.25,3,UC_vs_alone,10,0.122620458586234
PADI4 neutrophil,Phagocytosis,full_gene,3,0.195511398212411,0.0392017932663187,0.0268396954040106,0.364183101020811,0.037931129738274,0.25,3,UC_vs_alone,10,0.0937122028827946
PADI4 neutrophil,Phagocytosis,identity_markers_removed,3,0.195511398212411,0.0392017932663187,0.0268396954040106,0.364183101020811,0.037931129738274,0.25,3,UC_vs_alone,10,0.0877133093092034
PADI4 neutrophil,Chemotaxis,full_gene,3,0.120777008797016,0.0541956477576859,-0.112408042968131,0.353962060562163,0.155661952512642,0.25,3,UC_vs_alone,10,0.210896838888096
PADI4 neutrophil,Chemotaxis,identity_markers_removed,3,0.159510733397754,0.0525523761801846,-0.0666038914287384,0.385625358224246,0.0935599361126585,0.25,3,UC_vs_alone,10,0.135500597128678
PADI4 neutrophil,OSM_inflammation,full_gene,3,0.204951074194199,0.112639230805271,-0.279696419706981,0.689598568095378,0.210441598602338,0.25,3,UC_vs_alone,10,0.276204598165569
PADI4 neutrophil,OSM_inflammation,identity_markers_removed,3,0.216398667677801,0.130342568371936,-0.344420139930264,0.777217475285866,0.238743957655226,0.25,3,UC_vs_alone,10,0.313351444422484
PADI4 neutrophil,Type_I_interferon,full_gene,3,-0.00943324313946821,0.0430850851144753,-0.194813402218753,0.175946915939817,0.84700550353236,1,1,UC_vs_alone,10,0.84700550353236
PADI4 neutrophil,Type_I_interferon,identity_markers_removed,3,-0.0205316575281586,0.0699232384040429,-0.321387070120236,0.280323755063919,0.796706970098954,1,1,UC_vs_alone,10,0.816138847418441
PADI4 neutrophil,Immature_granulopoiesis,full_gene,3,-1.34719032274953,0.389526696650029,-3.02318842740107,0.328807781902011,0.074393011377228,0.25,3,UC_vs_alone,10,0.118078960120077
PADI4 neutrophil,Immature_granulopoiesis,identity_markers_removed,3,-1.34719032274953,0.389526696650029,-3.02318842740107,0.328807781902011,0.074393011377228,0.25,3,UC_vs_alone,10,0.122620458586234
PADI4 neutrophil,Survival_antiapoptosis,full_gene,3,0.09057638418912,0.103887649679786,-0.356416095292869,0.537568863671109,0.475211477117041,0.5,2,UC_vs_alone,10,0.53942924429502
PADI4 neutrophil,Survival_antiapoptosis,identity_markers_removed,3,0.09057638418912,0.103887649679786,-0.356416095292869,0.537568863671109,0.475211477117041,0.5,2,UC_vs_alone,10,0.53942924429502
PADI4 neutrophil,Hypoxia_glycolysis,full_gene,3,-0.150273612910983,0.154719294770831,-0.815977008901611,0.515429783079644,0.433869292387245,0.5,2,UC_vs_alone,10,0.506180841118453
PADI4 neutrophil,Hypoxia_glycolysis,identity_markers_removed,3,-0.150273612910983,0.154719294770831,-0.815977008901611,0.515429783079644,0.433869292387245,0.5,2,UC_vs_alone,10,0.506180841118453
PADI4 neutrophil,ER_stress,full_gene,3,0.0809434224159312,0.221415087197086,-0.871728806920326,1.03361565175219,0.749727347094276,1,1,UC_vs_alone,10,0.78721371444899
PADI4 neutrophil,ER_stress,identity_markers_removed,3,0.0809434224159312,0.221415087197086,-0.871728806920326,1.03361565175219,0.749727347094276,1,1,UC_vs_alone,10,0.78721371444899
PADI4 neutrophil,Proliferation_stress,full_gene,3,0.0522427976631369,0.207221515249547,-0.839359420588147,0.943845015914421,0.824497607382247,0.75,2,UC_vs_alone,10,0.844607305123278
PADI4 neutrophil,Proliferation_stress,identity_markers_removed,3,0.0522427976631369,0.207221515249547,-0.839359420588147,0.943845015914421,0.824497607382247,0.75,2,UC_vs_alone,10,0.824497607382247
PADI4 neutrophil,Integrin_adhesion,full_gene,3,0.0829740971189086,0.154113856028179,-0.580124306212952,0.74607250045077,0.644208527899266,0.75,2,UC_vs_alone,10,0.693763030045363
PADI4 neutrophil,Integrin_adhesion,identity_markers_removed,3,0.0829740971189086,0.154113856028179,-0.580124306212952,0.74607250045077,0.644208527899266,0.75,2,UC_vs_alone,10,0.693763030045363
PADI4 neutrophil,CXCR4_aging_retention,full_gene,3,0.0921513277213639,0.0246998447067602,-0.0141235265305659,0.198426181973294,0.0649247807212265,0.25,3,UC_vs_alone,10,0.118078960120077
PADI4 neutrophil,CXCR4_aging_retention,identity_markers_removed,3,0.140653405947266,0.0242096944615468,0.0364874979858917,0.244819313908641,0.0283715758238483,0.25,3,UC_vs_alone,10,0.0700944814471546
CXCR4 neutrophil,NETosis,full_gene,4,0.111752024704136,0.0455082273636189,-0.0330754653292238,0.256579514737496,0.0912200891235965,0.125,4,control_fibroblasts_vs_alone,10,0.154890457543033
CXCR4 neutrophil,NETosis,identity_markers_removed,4,0.100175121767045,0.0471565789202225,-0.0498981585874368,0.250248402121527,0.123676197695318,0.25,3,control_fibroblasts_vs_alone,10,0.185514296542977
CXCR4 neutrophil,Degranulation,full_gene,4,-0.0561156458531318,0.0278998756924324,-0.144905502168388,0.0326742104621244,0.137807067112206,0.125,4,control_fibroblasts_vs_alone,10,0.214366548841209
CXCR4 neutrophil,Degranulation,identity_markers_removed,4,-0.0561156458531318,0.0278998756924324,-0.144905502168388,0.0326742104621244,0.137807067112206,0.125,4,control_fibroblasts_vs_alone,10,0.199582648921126
CXCR4 neutrophil,Oxidative_burst,full_gene,4,0.0756989632256703,0.085174285197548,-0.195363626006447,0.346761552457788,0.439603968159116,0.375,3,control_fibroblasts_vs_alone,10,0.527524761790939
CXCR4 neutrophil,Oxidative_burst,identity_markers_removed,4,0.0756989632256703,0.085174285197548,-0.195363626006447,0.346761552457788,0.439603968159116,0.375,3,control_fibroblasts_vs_alone,10,0.534462992695432
CXCR4 neutrophil,Phagocytosis,full_gene,4,0.270312803530492,0.0382211356873514,0.148676091478534,0.391949515582451,0.00581265616037544,0.125,4,control_fibroblasts_vs_alone,10,0.026201767640775
CXCR4 neutrophil,Phagocytosis,identity_markers_removed,4,0.270312803530492,0.0382211356873514,0.148676091478534,0.391949515582451,0.00581265616037544,0.125,4,control_fibroblasts_vs_alone,10,0.027388672754555
CXCR4 neutrophil,Chemotaxis,full_gene,4,0.0882082184027162,0.0672514772473527,-0.125815996887993,0.302232433693425,0.280995627611478,0.25,3,control_fibroblasts_vs_alone,10,0.380703753538131
CXCR4 neutrophil,Chemotaxis,identity_markers_removed,4,0.134073161603582,0.0696724385600525,-0.0876556330719636,0.355801956279127,0.149997636022811,0.125,4,control_fibroblasts_vs_alone,10,0.209996690431935
CXCR4 neutrophil,OSM_inflammation,full_gene,4,0.227202473171094,0.0400975716549588,0.0995941044069215,0.354810841935266,0.0108871189430071,0.125,4,control_fibroblasts_vs_alone,10,0.0326613568290213
CXCR4 neutrophil,OSM_inflammation,identity_markers_removed,4,0.207781530566669,0.0379342442046738,0.0870578352537753,0.328505225879563,0.0119657724006,0.125,4,control_fibroblasts_vs_alone,10,0.0386586492942462
CXCR4 neutrophil,Type_I_interferon,full_gene,4,-0.0310788079952362,0.0321962932485818,-0.133541782488016,0.0713841664975438,0.40560453876787,0.5,2,control_fibroblasts_vs_alone,10,0.501040900830898
CXCR4 neutrophil,Type_I_interferon,identity_markers_removed,4,-0.03281041508749,0.0374430813659123,-0.151971011038875,0.0863501808638948,0.445385827246193,0.5,2,control_fibroblasts_vs_alone,10,0.534462992695432
CXCR4 neutrophil,Immature_granulopoiesis,full_gene,4,-0.191746390200144,0.0444437722336395,-0.333186308937961,-0.0503064714623273,0.0229357361725242,0.125,4,control_fibroblasts_vs_alone,10,0.0509149145737676
CXCR4 neutrophil,Immature_granulopoiesis,identity_markers_removed,4,-0.191746390200144,0.0444437722336395,-0.333186308937961,-0.0503064714623273,0.0229357361725242,0.125,4,control_fibroblasts_vs_alone,10,0.0509149145737676
CXCR4 neutrophil,Survival_antiapoptosis,full_gene,4,0.223648223100378,0.0186519864800346,0.16428927764079,0.283007168559966,0.00124790289490456,0.125,4,control_fibroblasts_vs_alone,10,0.026201767640775
CXCR4 neutrophil,Survival_antiapoptosis,identity_markers_removed,4,0.223648223100378,0.0186519864800346,0.16428927764079,0.283007168559966,0.00124790289490456,0.125,4,control_fibroblasts_vs_alone,10,0.0262059607929958
CXCR4 neutrophil,Hypoxia_glycolysis,full_gene,4,0.108152377693499,0.0144522181708906,0.0621589693723941,0.154145786014604,0.00494230569116037,0.125,4,control_fibroblasts_vs_alone,10,0.026201767640775
CXCR4 neutrophil,Hypoxia_glycolysis,identity_markers_removed,4,0.108152377693499,0.0144522181708906,0.0621589693723941,0.154145786014604,0.00494230569116037,0.125,4,control_fibroblasts_vs_alone,10,0.027388672754555
CXCR4 neutrophil,ER_stress,full_gene,4,0.168890249415706,0.0691129254595108,-0.0510579248602627,0.388838423691674,0.092196700918472,0.25,3,control_fibroblasts_vs_alone,10,0.154890457543033
