DonorID,ConditionCode,state,program,value,cells,version
Donor3,UN,OSM neutrophil,Degranulation,-0.055080085979658,1122,full_gene
Donor2,UF,PADI4 neutrophil,Degranulation,1.32825717336697,23,full_gene
Donor3,UN,CXCR4 neutrophil,Degranulation,0.0544706237567167,1169,full_gene
Donor3,UF,CXCR4 neutrophil,Degranulation,0.0483944409877832,832,full_gene
Donor3,UF,OSM neutrophil,Degranulation,-0.0596375823693126,1302,full_gene
Donor3,UN,MX1/ISG neutrophil,Degranulation,0.0271579386084673,218,full_gene
Donor4,UF,CXCR4 neutrophil,Degranulation,0.0439824935759073,944,full_gene
Donor4,UN,MX1/ISG neutrophil,Degranulation,0.0638911898818467,75,full_gene
Donor4,UF,MX1/ISG neutrophil,Degranulation,-0.0265534075731277,213,full_gene
Donor2,UF,CXCR4 neutrophil,Degranulation,0.0253403614554442,348,full_gene
Donor3,UF,MX1/ISG neutrophil,Degranulation,-0.0081258436110197,169,full_gene
Donor2,UN,CXCR4 neutrophil,Degranulation,0.0277193627547413,218,full_gene
Donor6,UF,OSM neutrophil,Degranulation,-0.131724744598879,162,full_gene
Donor2,UF,OSM neutrophil,Degranulation,-0.0909447654120891,314,full_gene
Donor4,UN,CXCR4 neutrophil,Degranulation,0.0845517666849971,698,full_gene
Donor2,UN,OSM neutrophil,Degranulation,-0.0824800550433033,198,full_gene
Donor6,UF,CXCR4 neutrophil,Degranulation,0.0192952594642108,166,full_gene
Donor1,UF,OSM neutrophil,Degranulation,-0.0915962162400116,66,full_gene
Donor2,UN,MX1/ISG neutrophil,Degranulation,0.0603514460083013,30,full_gene
Donor4,UN,PADI4 neutrophil,Degranulation,1.75193856732114,18,full_gene
Donor5,UF,CXCR4 neutrophil,Degranulation,0.0463251109251877,18,full_gene
Donor1,UN,OSM neutrophil,Degranulation,-0.0681771108001153,46,full_gene
Donor2,UF,MX1/ISG neutrophil,Degranulation,0.0680320455762627,35,full_gene
Donor4,UF,PADI4 neutrophil,Degranulation,0.688592327400739,74,full_gene
Donor3,UN,PADI4 neutrophil,Degranulation,0.581194409169492,45,full_gene
Donor1,UN,MX1/ISG neutrophil,Degranulation,0.0515782514560766,4,full_gene
Donor5,UF,OSM neutrophil,Degranulation,-0.218019388829564,10,full_gene
Donor6,UN,CXCR4 neutrophil,Degranulation,-0.0796806016970727,21,full_gene
Donor1,UN,CXCR4 neutrophil,Degranulation,-0.0164612518049161,34,full_gene
Donor6,UF,PADI4 neutrophil,Degranulation,1.33241377835127,14,full_gene
Donor2,UN,PADI4 neutrophil,Degranulation,1.88874939420722,15,full_gene
Donor5,UN,OSM neutrophil,Degranulation,-0.149468482714767,13,full_gene
Donor3,UF,PADI4 neutrophil,Degranulation,0.589271564691323,46,full_gene
Donor6,UF,MX1/ISG neutrophil,Degranulation,-0.0675902541657304,27,full_gene
Donor6,UN,OSM neutrophil,Degranulation,-0.105412468266381,26,full_gene
Donor1,UF,CXCR4 neutrophil,Degranulation,0.0175570465004577,65,full_gene
Donor5,UN,CXCR4 neutrophil,Degranulation,-0.164491795976445,13,full_gene
Donor1,UN,PADI4 neutrophil,Degranulation,0.906682243591474,3,full_gene
Donor6,UN,MX1/ISG neutrophil,Degranulation,0.140304730447129,4,full_gene
Donor1,UF,MX1/ISG neutrophil,Degranulation,-0.0356286418352157,5,full_gene
Donor6,UN,PADI4 neutrophil,Degranulation,0.264094953182793,3,full_gene
Donor1,UF,PADI4 neutrophil,Degranulation,1.01730080691211,4,full_gene
Donor4,UD,CXCR4 neutrophil,Degranulation,0.115835959137569,724,full_gene
Donor4,UA5,MX1/ISG neutrophil,Degranulation,0.0335094103856836,146,full_gene
Donor5,UD,CXCR4 neutrophil,Degranulation,-0.0245724867696616,574,full_gene
Donor2,UD,OSM neutrophil,Degranulation,-0.0863130679044107,395,full_gene
Donor4,UA5,OSM neutrophil,Degranulation,-0.000860196802485938,917,full_gene
Donor3,UA5,OSM neutrophil,Degranulation,0.00375150348902877,1134,full_gene
Donor1,UA5,CXCR4 neutrophil,Degranulation,-0.008638726271258,617,full_gene
Donor4,UA5,CXCR4 neutrophil,Degranulation,0.0889577277541916,460,full_gene
Donor2,UA5,CXCR4 neutrophil,Degranulation,-0.0100530991940081,422,full_gene
Donor6,UD,MX1/ISG neutrophil,Degranulation,0.0359114256266625,20,full_gene
Donor1,UA5,OSM neutrophil,Degranulation,-0.0841200091532508,636,full_gene
Donor3,UA5,CXCR4 neutrophil,Degranulation,0.0853917914818369,683,full_gene
Donor3,UD,MX1/ISG neutrophil,Degranulation,0.0607974032234146,159,full_gene
Donor4,UD,OSM neutrophil,Degranulation,0.0135915681103764,933,full_gene
Donor3,UA5,MX1/ISG neutrophil,Degranulation,0.00404569072726182,170,full_gene
Donor5,UD,OSM neutrophil,Degranulation,-0.0904031347835258,492,full_gene
Donor2,UA5,MX1/ISG neutrophil,Degranulation,0.0979697831135768,58,full_gene
Donor6,UA5,CXCR4 neutrophil,Degranulation,-0.0411964217045973,268,full_gene
Donor6,UD,CXCR4 neutrophil,Degranulation,0.00971736315520281,240,full_gene
Donor2,UA5,OSM neutrophil,Degranulation,-0.0826089262252642,406,full_gene
