Diagnosis2,FAP_percentile,a5B1_percentile,median_log2_observed_expected
UC_Inflamed,75,65,0.14000945108144905
UC_Inflamed,75,70,0.082322621933303
UC_Inflamed,75,75,0.06324577378664199
UC_Inflamed,75,80,0.010618040105220985
UC_Inflamed,75,85,-0.025887067818885924
UC_Inflamed,75,90,-0.018845109284707093
UC_Inflamed,80,60,0.21434115621107458
UC_Inflamed,80,65,0.16869977052192184
UC_Inflamed,80,70,0.09963374039172654
UC_Inflamed,80,75,0.02342056838218892
UC_Inflamed,80,80,-0.021847235084687177
UC_Inflamed,80,85,-0.05271266202426977
UC_Inflamed,80,90,-0.08601018708254518
UC_Inflamed,85,60,0.02257724965012917
UC_Inflamed,85,65,0.03699098387664044
UC_Inflamed,85,70,-0.01654624461283476
UC_Inflamed,85,75,-0.11358496755595239
UC_Inflamed,85,80,-0.1556966580810736
UC_Inflamed,85,85,-0.18435635549610063
UC_Inflamed,85,90,-0.1799220999497175
UC_Inflamed,90,60,-0.054039302841730384
UC_Inflamed,90,65,-0.05486768492180609
UC_Inflamed,90,70,-0.013358194305092552
UC_Inflamed,90,75,-0.013358194305092552
UC_Inflamed,90,80,-0.004312370479340803
UC_Inflamed,90,85,0.04594680607889199
UC_Inflamed,90,90,0.05186791407905354
UC_Noninflamed,60,60,0.21470066120515482
UC_Noninflamed,60,65,0.13173632116588965
UC_Noninflamed,60,70,0.14020023359705783
UC_Noninflamed,60,75,0.11931130877867913
UC_Noninflamed,60,80,-0.061177338190287506
UC_Noninflamed,60,85,-0.17657616088629013
UC_Noninflamed,60,90,-0.2008228762576058
UC_Noninflamed,65,60,0.13625838620769948
UC_Noninflamed,65,65,0.0720526510248702
UC_Noninflamed,65,70,0.08373259134980267
UC_Noninflamed,65,75,0.057490807279249025
UC_Noninflamed,65,80,-0.0037135027990642896
UC_Noninflamed,65,85,-0.0831965682259243
UC_Noninflamed,65,90,-0.0983541960274149
UC_Noninflamed,70,60,0.1368411881210877
UC_Noninflamed,70,65,0.10299715514008086
UC_Noninflamed,70,70,0.12883863570639453
UC_Noninflamed,70,75,0.09056070197208918
UC_Noninflamed,70,80,0.030718585097974607
UC_Noninflamed,70,85,-0.061121343106763204
UC_Noninflamed,70,90,-0.04779296474118792
UC_Noninflamed,75,60,-0.04009765529814713
UC_Noninflamed,75,65,0.08044054154818948
UC_Noninflamed,75,70,0.09769250111380656
UC_Noninflamed,75,75,0.0554269709268599
UC_Noninflamed,75,80,-0.03776466355143408
UC_Noninflamed,75,85,-0.08663283336442884
UC_Noninflamed,75,90,-0.050710674476317365
UC_Noninflamed,80,60,-0.1795487086301157
UC_Noninflamed,80,65,0.11048119541375456
UC_Noninflamed,80,70,0.05520292407672189
UC_Noninflamed,80,75,0.01954206740370387
UC_Noninflamed,80,80,0.00047924097634172424
UC_Noninflamed,80,85,-0.13042739808425827
UC_Noninflamed,80,90,-0.20426075321897752
UC_Noninflamed,85,60,-0.1855935066439451
UC_Noninflamed,85,65,0.03496869915125027
UC_Noninflamed,85,70,0.07469211677985009
UC_Noninflamed,85,75,-0.021387614143508635
UC_Noninflamed,85,80,-0.09978628888981277
UC_Noninflamed,85,85,-0.18188602508680374
UC_Noninflamed,85,90,-0.304375340552079
UC_Noninflamed,90,60,-0.1937452321747187
UC_Noninflamed,90,65,0.2760330621671186
UC_Noninflamed,90,70,0.042980605597685476
UC_Noninflamed,90,75,0.07044740857100437
UC_Noninflamed,90,80,-0.16017702489075017
UC_Noninflamed,90,85,-0.4631357612581993
UC_Noninflamed,90,90,-0.2683479554600644
