"PatientID","condition","biopsy_id","neut_state","cell","OSM","CXCR4","PADI4","MX1","IL1B","CXCL8","NFKBIA","CXCR2","FPR1","ITGAM","ICAM1","CD44","BCL2A1","MMP9","ELANE","LTF","CYBB","NCF2","RAC2","ISG15","IFIT3","IFI6"
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_470400",3.43423161302147,3.82064805631197,0,0,4.13882077810557,4.3995086176707,4.01446179502547,0,3.43423161302147,0,0,3.82064805631197,3.82064805631197,3.82064805631197,0,0,0,4.13882077810557,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_551581",0,0,0,0,3.57767942067144,4.40113550959795,0,0,3.94692596580928,0,3.57767942067144,0,0,0,0,0,0,3.57767942067144,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_638077",0,0,0,0,3.99546072057846,4.57812646620057,3.54931694137807,0,0,0,3.89732590204803,0,3.99546072057846,0,0,0,0,3.13116445247377,3.13116445247377,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_639299",0,0,0,0,3.47743202731159,4.5678785261751,3.47743202731159,0,3.47743202731159,3.05049029525519,3.05049029525519,3.47743202731159,3.93487952426122,0,0,0,0,3.05049029525519,3.05049029525519,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_733027",0,0,0,0,0,4.47907979380863,4.27208023672496,0,3.72408821740243,0,0,0,3.72408821740243,0,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_740054",0,0,0,0,4.04607007419882,3.71654238799533,4.04607007419882,3.91722675858596,3.31772090350968,0,3.71654238799533,0,0,0,0,0,0,3.31772090350968,3.31772090350968,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_797289",0,0,0,0,3.48907145720386,0,0,3.48907145720386,3.48907145720386,0,0,0,0,3.48907145720386,0,0,3.48907145720386,3.48907145720386,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_411229",0,4.13946194107766,4.13946194107766,0,0,4.13946194107766,4.13946194107766,0,4.13946194107766,0,0,0,0,0,0,0,0,4.13946194107766,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_439749",0,0,0,0,0,4.24683756504838,4.19056804699776,3.01391341894354,3.43535289113496,3.43535289113496,0,3.01391341894354,3.64938508448154,3.43535289113496,0,0,0,3.01391341894354,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_485240",0,3.60529941347806,0,0,3.84293733469945,3.91965175710341,0,0,3.60529941347806,0,2.96890205489398,0,3.39082838977864,0,0,0,0,3.39082838977864,3.39082838977864,0,0,0
