compartment,sample,group,marker,channel,n,median,mean,q25,q75,negative_percent,raw_reconstructed_median,role
neutrophil,WD5,WD,Ly6G,V610-A,301,7194.407840197835,12272.09399602243,4856.737802891028,14416.870039919797,0.0,13163.170898437504,lineage diagnostic
neutrophil,WD5,WD,F4/80,R670-A,301,3116.763979154819,2688.965114341779,-434.0293165089968,6630.469286955412,28.23920265780731,15005.201171875004,lineage diagnostic
neutrophil,WD6,WD,CXCR4,U820-A,885,-80.10412490900556,942.5183030725062,-1422.4210056062389,2277.566512533054,51.07344632768361,5795.01806640625,phenotype
neutrophil,WD6,WD,OSM,B515-A,885,-29218.52628482419,-41713.22652291201,-67233.22297503822,-2448.07381460182,80.22598870056498,2773.026855468745,phenotype
neutrophil,WD6,WD,PADI4,R710-A,885,37.21203539801912,159.5302303747369,-1909.4337478540408,2148.137757483235,49.49152542372882,21686.748046875004,phenotype
neutrophil,WD6,WD,MX1,Y670-A,885,-6899.782208453826,-9388.421689866816,-16044.82464720142,-205.46588955725895,75.59322033898304,10956.103515624998,phenotype
neutrophil,WD6,WD,NAMPT,R780-A,885,-573.015640373651,-751.1734214528075,-1168.037956920658,-184.88660960362935,88.70056497175142,2711.14013671875,phenotype
neutrophil,WD6,WD,CD177,Y586-A,885,3363.861660805627,7230.70958654681,-4736.677620816716,14260.050746956857,41.01694915254237,18106.86328125,phenotype
neutrophil,WD6,WD,CD45,V710-A,885,14678.49619354451,19757.378790264534,8221.158843053423,25840.86114142457,0.0,32374.671875000004,lineage diagnostic
neutrophil,WD6,WD,CD11b,U670-A,885,24062.13300005249,35153.00894616264,8449.01119072104,51478.34367077786,0.0,33876.62109375,lineage diagnostic
neutrophil,WD6,WD,Ly6G,V610-A,885,14049.72575951832,25759.77500206239,7002.648789730355,33487.22574772978,0.0,37649.046875,lineage diagnostic
neutrophil,WD6,WD,F4/80,R670-A,885,4086.718907531516,5966.812293983961,2036.8555292475448,8275.266978011534,9.265536723163844,22478.158203125004,lineage diagnostic
neutrophil,FD1,FD,CXCR4,U820-A,1691,2303.1018999482067,4443.475256051081,803.5064612312597,5551.412847135532,13.305736250739209,6960.990722656252,phenotype
neutrophil,FD1,FD,OSM,B515-A,1691,-12334.290302296497,-20576.004051007865,-34136.4124384131,644.279268120391,73.97989355410999,2412.070068359371,phenotype
neutrophil,FD1,FD,PADI4,R710-A,1691,1443.674674676287,2156.197894707675,13.741040686286173,3439.810839120687,24.482554701360144,15776.033203125,phenotype
neutrophil,FD1,FD,MX1,Y670-A,1691,-2933.8666513018547,-4827.64594650937,-8798.60380181472,782.9640846267928,70.01774098166766,8908.2314453125,phenotype
neutrophil,FD1,FD,NAMPT,R780-A,1691,-264.62244477481056,-321.90617328306763,-659.2095422203324,97.28492074860772,69.07155529272619,2310.875000000001,phenotype
neutrophil,FD1,FD,CD177,Y586-A,1691,-5029.36204398893,-5251.48713870869,-8847.2045340447,-1489.1917154495611,82.73211117681845,10450.386718749998,phenotype
neutrophil,FD1,FD,CD45,V710-A,1691,12080.736473871626,15960.537615437905,7958.573316841205,19811.658737235302,0.0,22622.732421875,lineage diagnostic
neutrophil,FD1,FD,CD11b,U670-A,1691,20614.450774613677,35803.78368693496,9966.715925821254,46616.97501768073,0.0,23745.146484375,lineage diagnostic
neutrophil,FD1,FD,Ly6G,V610-A,1691,14606.654033100129,21831.44171479412,6990.867093539706,27118.90532593758,0.0,25570.216796875,lineage diagnostic
neutrophil,FD1,FD,F4/80,R670-A,1691,3682.335527291208,4391.777102580353,882.9729267177391,7244.8845401656035,21.17090479006505,16034.925781250002,lineage diagnostic
neutrophil,FD2,FD,CXCR4,U820-A,112,2003.1332318042116,2125.8244254786564,-15.030159828394709,2921.7124835556324,25.0,5516.71240234375,phenotype
neutrophil,FD2,FD,OSM,B515-A,112,3636.069981085558,-24985.63742715617,-44442.21964438782,11260.46578743101,46.42857142857143,9503.81103515625,phenotype
neutrophil,FD2,FD,PADI4,R710-A,112,3437.085912625852,4472.931544496794,-696.3843654581135,7421.208657921831,31.25,19242.7412109375,phenotype
neutrophil,FD2,FD,MX1,Y670-A,112,1761.5450239762508,-3671.774768710638,-9528.77764966565,3394.617243155127,43.75,10999.880859375002,phenotype
neutrophil,FD2,FD,NAMPT,R780-A,112,173.63603734852927,-188.06916735494,-773.8541407837968,368.3000655631355,41.96428571428572,2925.195922851562,phenotype
neutrophil,FD2,FD,CD177,Y586-A,112,-7468.859238808484,408.9805656340294,-13535.30269706283,6571.106161528708,68.75,8294.98681640625,phenotype
neutrophil,FD2,FD,CD45,V710-A,112,13339.245900564289,18064.938558939142,9033.414667307256,20001.152322039117,0.0,24233.527343750007,lineage diagnostic
neutrophil,FD2,FD,CD11b,U670-A,112,10738.483045946175,25001.42242243804,6959.903072581625,25696.73906922144,0.0,14796.150878906252,lineage diagnostic
neutrophil,FD2,FD,Ly6G,V610-A,112,15926.585845970494,19972.599048632423,10565.94709335848,24423.18063982581,0.0,22460.25,lineage diagnostic
neutrophil,FD2,FD,F4/80,R670-A,112,4573.0836003062805,6184.91941584307,1640.127624657572,7385.548560346012,15.178571428571429,17916.821289062496,lineage diagnostic
neutrophil,FD4,FD,CXCR4,U820-A,640,286.37258674771084,671.7656383107905,-1038.900308982655,1796.7815097183875,43.59375,5081.703369140623,phenotype
neutrophil,FD4,FD,OSM,B515-A,640,-19552.157494699622,-37492.32725930009,-59448.754704712126,-2645.7424220004,76.5625,3699.530151367188,phenotype
neutrophil,FD4,FD,PADI4,R710-A,640,510.4792678393875,621.971315819211,-1341.873623288479,2287.5120938990235,41.40625,18283.798828125004,phenotype
neutrophil,FD4,FD,MX1,Y670-A,640,-4155.020332722468,-7028.889584826134,-13195.807706968257,297.59122186016776,73.4375,10520.859375,phenotype
neutrophil,FD4,FD,NAMPT,R780-A,640,-16.591832872057783,-46.81806392237807,-562.2028786175956,350.42464234692795,51.24999999999999,2977.8487548828125,phenotype
neutrophil,FD4,FD,CD177,Y586-A,640,-609.1098887415703,9503.95501200054,-5632.9671417472855,17376.653462529295,51.71875,15501.6708984375,phenotype
neutrophil,FD4,FD,CD45,V710-A,640,15179.796594707332,19309.37197777584,9243.206361117896,23654.41992336828,0.0,28813.4208984375,lineage diagnostic
neutrophil,FD4,FD,CD11b,U670-A,640,13425.387913816674,21363.763791260877,8406.25252800194,27264.78605922856,0.0,25100.935546875,lineage diagnostic
neutrophil,FD4,FD,Ly6G,V610-A,640,19583.95909071907,33300.51949010526,8723.867721021637,45412.51298535846,0.0,32917.724609375,lineage diagnostic
neutrophil,FD4,FD,F4/80,R670-A,640,3977.319565170647,4447.888695737313,1320.2932505008466,7646.891563795226,17.5,17826.5966796875,lineage diagnostic
neutrophil,FD5,FD,CXCR4,U820-A,477,1155.3200930456435,2627.5303848801027,-1440.1387983157251,3759.2556738611497,34.38155136268344,9591.0390625,phenotype
neutrophil,FD5,FD,OSM,B515-A,477,-44930.66658540697,-59608.97354094135,-98515.79152191443,-13402.13783419668,94.54926624737946,2793.8679199218736,phenotype
neutrophil,FD5,FD,PADI4,R710-A,477,1665.4708967069844,3942.6306788673055,-1660.801815055088,5909.758061463652,38.36477987421384,28145.166015624996,phenotype
neutrophil,FD5,FD,MX1,Y670-A,477,-9741.700280507946,-14528.648216815154,-24906.30846723266,-2408.3455012308664,92.45283018867924,17695.066406250004,phenotype
neutrophil,FD5,FD,NAMPT,R780-A,477,-182.6759420569304,225.2335608017965,-657.0070471309498,352.2674820171391,62.473794549266245,4593.788085937501,phenotype
neutrophil,FD5,FD,CD177,Y586-A,477,-4074.932133719875,-1298.2141064898262,-9034.946094971476,7626.710828186491,63.312368972746334,28382.44921875,phenotype
neutrophil,FD5,FD,CD45,V710-A,477,20625.11751059925,27126.18054804891,9176.085467600207,36604.98482224095,0.0,39936.187500000015,lineage diagnostic
neutrophil,FD5,FD,CD11b,U670-A,477,31170.583838511764,66016.95530031434,8398.21012742074,98746.26664556855,0.0,49255.55859375,lineage diagnostic
neutrophil,FD5,FD,Ly6G,V610-A,477,21903.99666131044,40214.86268652908,11414.773015980085,50506.07177141673,0.0,61367.12890625,lineage diagnostic
neutrophil,FD5,FD,F4/80,R670-A,477,7744.287501269303,10439.794470988649,3692.8602256377594,14674.1992975941,6.708595387840671,32439.794921875,lineage diagnostic
neutrophil,FD6,FD,CXCR4,U820-A,956,1644.524883659702,2139.383992942589,1029.5369993278543,2594.019694491334,8.99581589958159,4047.780395507812,phenotype
neutrophil,FD6,FD,OSM,B515-A,956,13237.84093757905,7865.738896362271,2904.3070565607195,20167.428224810286,19.246861924686197,17788.416015625004,phenotype
neutrophil,FD6,FD,PADI4,R710-A,956,1284.909270777372,1874.6326061915945,9.744754480158797,3331.372422966691,24.790794979079497,9367.678222656246,phenotype
neutrophil,FD6,FD,MX1,Y670-A,956,4446.991362173928,4041.160198910876,1667.7763554404837,7072.444931163844,17.05020920502092,9366.04541015625,phenotype
neutrophil,FD6,FD,NAMPT,R780-A,956,538.2253891408122,600.8007930923759,226.82056336840708,890.4329079490587,12.761506276150628,1976.1144409179688,phenotype
neutrophil,FD6,FD,CD177,Y586-A,956,-7432.44790691944,-8369.179423686066,-11216.192975926891,-4412.948666433371,92.05020920502092,10406.738769531254,phenotype
neutrophil,FD6,FD,CD45,V710-A,956,11466.33121583733,15240.173446625797,8107.787973623733,17658.492713353764,0.0,18013.678710937504,lineage diagnostic
neutrophil,FD6,FD,CD11b,U670-A,956,11236.279898057412,16292.016426029217,8060.169986715922,17835.396264628333,0.0,13905.518066406254,lineage diagnostic
neutrophil,FD6,FD,Ly6G,V610-A,956,26369.96874699044,31626.8937059118,15272.853613052168,38829.96717082476,0.0,26262.877929687504,lineage diagnostic
neutrophil,FD6,FD,F4/80,R670-A,956,-2788.7489482702804,-1915.8159613772405,-5283.319596256821,982.3593276503824,69.0376569037657,7821.006591796875,lineage diagnostic
neutrophil,FC1,FC,CXCR4,U820-A,161,2222.3417551880093,3560.490606873193,694.1751893850094,4371.946814186047,8.074534161490684,5812.80859375,phenotype
neutrophil,FC1,FC,OSM,B515-A,161,-1584.5478923166584,-4779.526276909425,-10066.767944276013,2686.0986714115666,59.62732919254658,2870.401123046876,phenotype
neutrophil,FC1,FC,PADI4,R710-A,161,5751.941703445394,8283.479166698255,2748.4936588254927,11045.881580760724,12.422360248447204,17682.99609375,phenotype
neutrophil,FC1,FC,MX1,Y670-A,161,1227.2402150171872,4192.702910758729,-717.1875768858744,3534.750268942976,32.91925465838509,5637.57373046875,phenotype
neutrophil,FC1,FC,NAMPT,R780-A,161,34.26667771947744,55.2658141392572,-188.52005578935317,227.95827628819487,45.962732919254655,2811.467041015625,phenotype
neutrophil,FC1,FC,CD177,Y586-A,161,-8846.537521302818,-11158.396049744884,-13682.784194433543,-5652.414043639026,96.27329192546584,4851.264648437496,phenotype
neutrophil,FC1,FC,CD45,V710-A,161,32040.338185054123,39545.067559033945,19886.170101923028,46156.82322221319,0.0,35041.07812500001,lineage diagnostic
neutrophil,FC1,FC,CD11b,U670-A,161,6170.845050732924,8179.662902265392,4147.622555482864,9157.08325900675,0.0,9894.335937500002,lineage diagnostic
neutrophil,FC1,FC,Ly6G,V610-A,161,10466.42590428605,17055.583998084316,6289.734012821148,19983.330846619152,0.0,13570.42578125,lineage diagnostic
neutrophil,FC1,FC,F4/80,R670-A,161,88.40546475599247,-2233.773376257399,-2115.332593882626,2117.364254791137,49.68944099378882,7855.48095703125,lineage diagnostic
neutrophil,FC2,FC,CXCR4,U820-A,189,971.8410476024152,2914.179225934327,339.1266362853919,2617.0017746033336,13.756613756613756,4106.37841796875,phenotype
neutrophil,FC2,FC,OSM,B515-A,189,4632.530655135257,969.8082621534855,-5199.098589901557,11553.308337628288,34.92063492063492,7939.077636718765,phenotype
neutrophil,FC2,FC,PADI4,R710-A,189,4273.066643448114,6101.987298681346,1026.033544322401,7475.642327861738,15.873015873015872,14141.046875000002,phenotype
neutrophil,FC2,FC,MX1,Y670-A,189,6404.257241748619,6511.823103245831,2083.2311644417905,11352.550714196004,12.698412698412698,9998.970703124998,phenotype
neutrophil,FC2,FC,NAMPT,R780-A,189,361.3845127082178,452.3620781953483,42.49805304204237,832.6084506294515,23.28042328042328,2600.9716796875005,phenotype
neutrophil,FC2,FC,CD177,Y586-A,189,-9762.176307096724,-11575.991357991854,-14155.696013460374,-6591.883045588382,95.76719576719576,6872.700683593748,phenotype
neutrophil,FC2,FC,CD45,V710-A,189,19090.367475840336,28264.70457831843,9693.84610594554,35611.760618721826,0.0,25489.419921875004,lineage diagnostic
neutrophil,FC2,FC,CD11b,U670-A,189,7927.746411275442,13310.374269791317,4285.607095900436,13430.573711959796,0.0,11456.064453125,lineage diagnostic
neutrophil,FC2,FC,Ly6G,V610-A,189,13763.190717654044,22671.0470194516,7457.806653572284,30112.9772980087,0.0,17509.156250000004,lineage diagnostic
neutrophil,FC2,FC,F4/80,R670-A,189,-2196.457621760572,-2017.7437821658727,-4917.391106799931,287.6088227568481,71.95767195767195,8611.83984375,lineage diagnostic
neutrophil,FC3,FC,CXCR4,U820-A,68,1720.1778392705746,4193.403670179242,538.9135523129464,6125.39541347646,5.88235294117647,4852.62060546875,phenotype
neutrophil,FC3,FC,OSM,B515-A,68,-2398.307153570621,-5734.793889483146,-12297.732253419565,3368.040191245177,55.88235294117647,5077.215087890625,phenotype
neutrophil,FC3,FC,PADI4,R710-A,68,4414.193417610235,6846.0110238448815,1852.791251154708,9243.916688152627,10.294117647058822,15113.430175781254,phenotype
neutrophil,FC3,FC,MX1,Y670-A,68,1216.4288916980308,1486.1742471104126,-414.4151899768162,3246.271004019764,29.411764705882355,6701.292724609377,phenotype
neutrophil,FC3,FC,NAMPT,R780-A,68,10.17918053957024,367.0226070980072,-138.81090245241228,188.7775041383996,45.588235294117645,2319.0377197265625,phenotype
neutrophil,FC3,FC,CD177,Y586-A,68,-7663.112924636101,-9162.932168219211,-9998.619027216875,-4966.138428185088,100.0,6019.978515625,phenotype
neutrophil,FC3,FC,CD45,V710-A,68,21467.626527129927,29198.24121678504,12933.017013579312,35649.377681878745,0.0,25678.182617187504,lineage diagnostic
neutrophil,FC3,FC,CD11b,U670-A,68,7178.386770540558,10611.566277408056,5403.235914589501,11397.818808020234,0.0,12181.776855468754,lineage diagnostic
neutrophil,FC3,FC,Ly6G,V610-A,68,12144.284760064083,16201.402101487383,5283.966958940577,18710.058078976544,0.0,15248.466796875,lineage diagnostic
neutrophil,FC3,FC,F4/80,R670-A,68,31.92094767864793,175.4327861831377,-1883.236670519273,1951.4916292988544,48.52941176470589,9320.75634765625,lineage diagnostic
neutrophil,FC4,FC,CXCR4,U820-A,72,2031.977369924622,3345.642109190132,609.5601257105283,5665.046749143524,6.944444444444445,5590.503662109375,phenotype
neutrophil,FC4,FC,OSM,B515-A,72,-719.2861513084879,-1030.2052315326937,-8347.635798963156,3239.3428086473987,56.94444444444444,1984.5088500976533,phenotype
neutrophil,FC4,FC,PADI4,R710-A,72,6041.083807539573,6413.158871048873,2028.0262681324607,9460.802293513862,12.5,18142.13671875,phenotype
neutrophil,FC4,FC,MX1,Y670-A,72,4348.799206111153,5235.225930666092,710.9242623141951,7430.841841788229,18.055555555555557,6199.635498046877,phenotype
neutrophil,FC4,FC,NAMPT,R780-A,72,28.806672021789694,102.18575634334717,-230.07838131218531,392.7741563189295,48.61111111111111,2811.9881591796875,phenotype
neutrophil,FC4,FC,CD177,Y586-A,72,-10840.118479461173,-11055.834135898029,-14649.29435028413,-7566.376369918324,95.83333333333334,3406.894653320312,phenotype
neutrophil,FC4,FC,CD45,V710-A,72,32830.981483504955,36897.86517089461,21222.302120502904,49304.22926030187,0.0,35545.462890625,lineage diagnostic
neutrophil,FC4,FC,CD11b,U670-A,72,4359.460716508285,5201.8039316711765,3331.7841876532834,5379.703581554829,0.0,7389.335205078125,lineage diagnostic
