metric,marker,group,n,group_median,group_q25,group_q75,group_mean,group_sd
median,F4/80,FD,5,3977.319565170647,3682.335527291208,4573.0836003062805,3437.655449153431,3839.124058224533
median,F4/80,FC,6,-1192.1087422226624,-2206.3133293410197,-22.999254912202293,-1178.0473319565576,1277.2646387473474
median,F4/80,FG,6,1403.3157751820959,1191.547825795855,1769.1485892325861,1389.5680684215624,618.6144745249819
mean,OSM,WD,6,-27264.164561235244,-39099.08972765072,-13249.567089317323,-29292.078482963134,21400.029156558827
mean,OSM,FD,5,-24985.63742715617,-37492.32725930009,-20576.004051007865,-26959.440676408638,24669.672630242098
mean,OSM,FC,6,-2904.8657542210594,-5495.976986339716,469.80488873194076,-2352.4224565934496,5100.299433342484
mean,OSM,FG,6,-18220.061615561244,-20601.262101254182,-12901.892275680257,-16845.322015573973,5950.112960640964
mean,CXCR4,WD,6,1209.4810916219437,875.4081531165965,3797.2476389749218,3054.8835998814498,4683.473738697481
mean,CXCR4,FD,5,2139.383992942589,2125.8244254786564,2627.5303848801027,2401.5959395326436,1356.2296469204362
mean,CXCR4,FC,6,3507.293364260122,3372.7556123043614,3890.6269803412197,3578.0806953313063,462.0996835325481
mean,CXCR4,FG,6,2101.205232561279,1154.7082300201523,2515.2813739761823,1865.4444949596552,938.9644315099233
mean,MX1,WD,6,-5321.673346777361,-8560.35725159398,-1898.0919661649903,-4219.212823263827,9806.071250658337
mean,MX1,FD,5,-4827.64594650937,-7028.889584826134,-3671.774768710638,-5203.159663590084,6675.358163983393
mean,MX1,FC,6,4713.96442071241,4000.7943966622274,6192.673810100896,5262.9866068953625,2941.1899975456354
mean,MX1,FG,6,1172.8071749335033,160.7308131300573,1657.832376552788,2147.2299505167957,3532.954906516127
mean,PADI4,WD,6,1190.0229049288043,213.58695183632358,2062.116355540017,973.3085874155039,1415.1232276975772
mean,PADI4,FD,5,2156.197894707675,1874.6326061915945,3942.6306788673055,2613.6728080165162,1576.8093275595995
mean,PADI4,FC,6,6970.39788991591,6521.371909247875,7257.363938339264,7008.496352563944,765.1744224832566
mean,PADI4,FG,6,9720.8658384814,6635.879252003734,13820.985575994913,10115.899419002259,4161.785036814839
mean,NAMPT,WD,6,-47.139818242145914,-183.23513816858647,14.973552512051995,-77.73445686729498,426.5760662035387
mean,NAMPT,FD,5,-46.81806392237807,-188.06916735494,225.2335608017965,53.84818986675733,366.87161901304836
mean,NAMPT,FC,6,362.5437097531427,166.15552035957995,431.027210421013,335.71708766142456,230.82212023953758
mean,NAMPT,FG,6,-81.62678952489499,-269.3582999592659,109.75211009356444,-83.82264937597971,216.7199900893383
mean,CD177,WD,6,-3774.113458158974,-8039.249077393466,5026.475480082043,-2198.512119197918,8388.004186431786
mean,CD177,FD,5,-1298.2141064898262,-5251.48713870869,408.9805656340294,-1001.1890182500023,6796.822235097015
mean,CD177,FC,6,-11367.193703868368,-11713.135763677486,-11081.474614359742,-11402.53995381413,1459.1707638451612
mean,CD177,FG,6,-16240.671389791774,-18564.266790564267,-12900.994260887968,-16154.081519670033,3968.8061594717833
mean,CD11b,WD,6,26026.9036470585,21764.52308075998,33917.53107273477,36674.26680202183,29276.100513927424
mean,CD11b,FD,5,25001.42242243804,21363.763791260877,35803.78368693496,32895.58832539548,19852.34232247567
mean,CD11b,FC,6,11638.791897243733,8787.638746051058,13149.28508161334,11259.36592632094,4308.587402001264
mean,CD11b,FG,6,28923.206150154176,26401.295821533924,33149.410614299704,29713.386269632276,6442.078707615312
mean,CD45,WD,6,20218.465172087548,18655.743283032283,20949.544280865935,20427.51071038298,3461.5457033338657
mean,CD45,FD,5,18064.938558939142,15960.537615437905,19309.37197777584,19140.24042936552,4750.819708933468
mean,CD45,FC,6,31302.377667402718,28555.392567692867,36025.027407676054,32608.91705461909,4813.740589118494
mean,CD45,FG,6,22424.11736234485,17710.37220541419,27771.078149756013,22660.0500975477,5493.915932447883
mean,Ly6G,WD,6,22936.886927666037,20079.29233278034,28603.118281213974,29100.440181729995,19396.066929272525
mean,Ly6G,FD,5,31626.8937059118,21831.44171479412,33300.51949010526,29389.26332919453,8415.651335941035
mean,Ly6G,FC,6,19023.659770786646,16587.230661885922,22251.219150460944,20349.661847674495,4893.504130767561
mean,Ly6G,FG,6,29507.474734896074,26849.14510471729,30317.22619071063,29854.640605285414,7887.126479745795
mean,F4/80,WD,6,3618.6154808320634,2762.2033380699545,5538.937458590382,4982.960201325619,4042.3347233890454
mean,F4/80,FD,5,4447.888695737313,4391.777102580353,6184.91941584307,4709.712744754428,4446.2719454822745
mean,F4/80,FC,6,-2125.758579211636,-2835.378678380752,-1071.756865995879,-1818.6871474668485,1288.3414586995298
mean,F4/80,FG,6,2151.9556643540213,1536.287689532952,2982.4297899734793,2340.0470690425936,1187.0362670502575
