metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
mean,OSM,phenotype,FD,FG,5,6,-24985.63742715617,-18220.061615561244,6765.575811594925,10682.620266854283,22.0,0.46666666666666656,0.24675324675324675,462,False,cross-context; preparation day and design confounding,0.40014040014040014
mean,OSM,phenotype,FC,FG,6,6,-2904.8657542210594,-18220.061615561244,-15315.195861340184,-14983.736383458254,1.0,-0.9444444444444444,0.004329004329004329,924,False,within recorded context,0.016233766233766232
mean,CXCR4,phenotype,WD,FD,6,5,1209.4810916219437,2139.383992942589,929.9029013206452,907.0133087399647,17.0,0.1333333333333333,0.7922077922077922,462,False,within recorded context,0.8802308802308803
mean,CXCR4,phenotype,WD,FC,6,6,1209.4810916219437,3507.293364260122,2297.812272638178,2243.585266409719,24.0,0.33333333333333326,0.3939393939393939,924,False,cross-context; preparation day and design confounding,0.5496828752642706
mean,CXCR4,phenotype,WD,FG,6,6,1209.4810916219437,2101.205232561279,891.7241409393353,213.77417635473807,19.0,0.05555555555555558,0.9372294372294372,924,False,cross-context; preparation day and design confounding,0.986557302346776
mean,CXCR4,phenotype,FD,FC,5,6,2139.383992942589,3507.293364260122,1367.909371317533,1321.4919124364278,24.0,0.6000000000000001,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.22825659189295552
mean,CXCR4,phenotype,FD,FG,5,6,2139.383992942589,2101.205232561279,-38.178760381309985,-275.47217261810044,12.0,-0.19999999999999996,0.6623376623376623,462,False,cross-context; preparation day and design confounding,0.8110257089848926
mean,CXCR4,phenotype,FC,FG,6,6,3507.293364260122,2101.205232561279,-1406.088131698843,-1626.1790473441938,1.0,-0.9444444444444444,0.004329004329004329,924,False,within recorded context,0.016233766233766232
mean,MX1,phenotype,WD,FD,6,5,-5321.673346777361,-4827.64594650937,494.02740026799074,317.47239916925014,15.0,0.0,1.0,462,False,within recorded context,1.0
mean,MX1,phenotype,WD,FC,6,6,-5321.673346777361,4713.96442071241,10035.63776748977,10571.731392255713,30.0,0.6666666666666667,0.06493506493506493,924,False,cross-context; preparation day and design confounding,0.1443001443001443
mean,MX1,phenotype,WD,FG,6,6,-5321.673346777361,1172.8071749335033,6494.480521710864,6539.9017063638685,30.0,0.6666666666666667,0.06493506493506493,924,False,cross-context; preparation day and design confounding,0.1443001443001443
