direction,interaction,sender,receiver,ligand,receptor,lr_interaction,id,prioritization_score_Control,prioritization_score_DSS,fraction_expressing_ligand_receptor_Control,fraction_expressing_ligand_receptor_DSS,comparison,comparator,score_DSS,score_comparator,fraction_DSS,fraction_comparator,score_delta,effect,abs_delta,rank_by_direction_effect,prioritization_score_Blockade,fraction_expressing_ligand_receptor_Blockade,ambient_epithelial_flag,display_order,contrast_label
Fibroblast -> Neutrophil,Il1b - Il1rap,Fibroblast,Neutrophil,Il1b,Il1rap,Il1b_Il1rap,Il1b_Il1rap_Fibroblast_Neutrophil,0.333213650491143,0.796834352223837,0.5,1,DSS_vs_Control,Control,0.796834352223837,0.333213650491143,1,0.5,0.463620701732694,Higher in DSS,0.463620701732694,25,,,FALSE,1,DSS effect
Fibroblast -> Neutrophil,Il1b - Il1rap,Fibroblast,Neutrophil,Il1b,Il1rap,Il1b_Il1rap,Il1b_Il1rap_Fibroblast_Neutrophil,,0.634076447245565,,1,DSS_vs_Blockade,Blockade,0.634076447245565,0.604302227596264,1,1,0.0297742196493008,Higher in DSS,0.0297742196493008,410,0.604302227596264,1,FALSE,1,a5B1 blockade
Fibroblast -> Neutrophil,Nampt - Itga5,Fibroblast,Neutrophil,Nampt,Itga5,Nampt_Itga5,Nampt_Itga5_Fibroblast_Neutrophil,0.204074397559065,0.622205110640453,0.333333333333333,0.833333333333333,DSS_vs_Control,Control,0.622205110640453,0.204074397559065,0.833333333333333,0.333333333333333,0.418130713081388,Higher in DSS,0.418130713081388,38,,,FALSE,7,DSS effect
Fibroblast -> Neutrophil,Nampt - Itga5,Fibroblast,Neutrophil,Nampt,Itga5,Nampt_Itga5,Nampt_Itga5_Fibroblast_Neutrophil,,0.602661339017916,,0.833333333333333,DSS_vs_Blockade,Blockade,0.602661339017916,0.480906042784063,0.833333333333333,0.666666666666667,0.121755296233853,Higher in DSS,0.121755296233853,385,0.480906042784063,0.666666666666667,FALSE,7,a5B1 blockade
Neutrophil -> Fibroblast,Col1a1 - Itga5,Neutrophil,Fibroblast,Col1a1,Itga5,Col1a1_Itga5,Col1a1_Itga5_Neutrophil_Fibroblast,0.139573944194238,0.833535749552584,0,1,DSS_vs_Control,Control,0.833535749552584,0.139573944194238,1,0,0.693961805358347,Higher in DSS,0.693961805358347,3,,,FALSE,16,DSS effect
Neutrophil -> Fibroblast,Col1a1 - Itga5,Neutrophil,Fibroblast,Col1a1,Itga5,Col1a1_Itga5,Col1a1_Itga5_Neutrophil_Fibroblast,,0.865716420870187,,1,DSS_vs_Blockade,Blockade,0.865716420870187,0.100000029850392,1,0,0.765716391019795,Higher in DSS,0.765716391019795,2,0.100000029850392,0,FALSE,16,a5B1 blockade
Neutrophil -> Fibroblast,Il1b - Il1r1,Neutrophil,Fibroblast,Il1b,Il1r1,Il1b_Il1r1,Il1b_Il1r1_Neutrophil_Fibroblast,0.609284776440109,0.920359056101365,1,1,DSS_vs_Control,Control,0.920359056101365,0.609284776440109,1,1,0.311074279661257,Higher in DSS,0.311074279661257,93,,,FALSE,11,DSS effect
Neutrophil -> Fibroblast,Il1b - Il1r1,Neutrophil,Fibroblast,Il1b,Il1r1,Il1b_Il1r1,Il1b_Il1r1_Neutrophil_Fibroblast,,0.886330679177579,,1,DSS_vs_Blockade,Blockade,0.886330679177579,0.331009732013096,1,0,0.555320947164483,Higher in DSS,0.555320947164483,58,0.331009732013096,0,FALSE,11,a5B1 blockade
Neutrophil -> Fibroblast,Nampt - Itga5,Neutrophil,Fibroblast,Nampt,Itga5,Nampt_Itga5,Nampt_Itga5_Neutrophil_Fibroblast,0.54186833088433,0.843142861578751,1,1,DSS_vs_Control,Control,0.843142861578751,0.54186833088433,1,1,0.301274530694422,Higher in DSS,0.301274530694422,100,,,FALSE,13,DSS effect
Neutrophil -> Fibroblast,Nampt - Itga5,Neutrophil,Fibroblast,Nampt,Itga5,Nampt_Itga5,Nampt_Itga5_Neutrophil_Fibroblast,,0.895799160518842,,1,DSS_vs_Blockade,Blockade,0.895799160518842,0.18660061307132,1,0.333333333333333,0.709198547447522,Higher in DSS,0.709198547447522,8,0.18660061307132,0.333333333333333,FALSE,13,a5B1 blockade
