path,source,source_sha256,sha256,bytes,adaptation
figures/main/Figure_01.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_1.pdf,49fe22c858df1994c9bfbca1613d2b7c005bbfe244b129aaaead74201657622a,49fe22c858df1994c9bfbca1613d2b7c005bbfe244b129aaaead74201657622a,2773992,Byte-identical copy of the final reviewed asset
figures/main/Figure_01.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_1.png,8316d957813b88e1daa042e66e73c34d16c07a839cb8739f792af6db4762d05b,8316d957813b88e1daa042e66e73c34d16c07a839cb8739f792af6db4762d05b,530241,Byte-identical copy of the final reviewed asset
figures/main/Figure_02.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_2.pdf,f96895283fcf75749e6651b1722f383a6b128fff6e36d171d28a7ef373cab314,f96895283fcf75749e6651b1722f383a6b128fff6e36d171d28a7ef373cab314,3202425,Byte-identical copy of the final reviewed asset
figures/main/Figure_02.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_2.png,9452bc38e3b563262bfb032173845d67844e96d99ac14967dfd25e18d18ba71d,9452bc38e3b563262bfb032173845d67844e96d99ac14967dfd25e18d18ba71d,827220,Byte-identical copy of the final reviewed asset
figures/main/Figure_03.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_3.pdf,8f384ab5f93391971c5fff0fba3e33cbea4c903cd8f86699e4871c647bee7e98,8f384ab5f93391971c5fff0fba3e33cbea4c903cd8f86699e4871c647bee7e98,2208345,Byte-identical copy of the final reviewed asset
figures/main/Figure_03.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_3.png,7da78662ddcb423f3c54b4cc69ded08e85bfd42fe4b6abe21687b1d78e218681,7da78662ddcb423f3c54b4cc69ded08e85bfd42fe4b6abe21687b1d78e218681,552974,Byte-identical copy of the final reviewed asset
figures/main/Figure_04.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_4.pdf,8f9ea9c479f7b7bca4064dbe31474dd36adf9d529938f4d1fbb8ccfe55b69349,8f9ea9c479f7b7bca4064dbe31474dd36adf9d529938f4d1fbb8ccfe55b69349,6156926,Byte-identical copy of the final reviewed asset
figures/main/Figure_04.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_4.png,1053de857f366007926d0838b162b323fad0892f18b896e69630df2ef6e56ebc,1053de857f366007926d0838b162b323fad0892f18b896e69630df2ef6e56ebc,1271105,Byte-identical copy of the final reviewed asset
figures/main/Figure_05.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_5.pdf,15fc4b0e95e2e5ab8c8ff653ed2d4c30f48ad03a928f0af10a7de17d2c56dd5b,15fc4b0e95e2e5ab8c8ff653ed2d4c30f48ad03a928f0af10a7de17d2c56dd5b,8032560,Byte-identical copy of the final reviewed asset
figures/main/Figure_05.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_5.png,c04c0e5bdbdc2a1cea0ccfae3a8c32a7b30e2aded503460bc8ea5994ea9d1b39,c04c0e5bdbdc2a1cea0ccfae3a8c32a7b30e2aded503460bc8ea5994ea9d1b39,1083089,Byte-identical copy of the final reviewed asset
figures/main/Figure_06.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_6.pdf,91e423c71d273c7edd0d3490331482ad366bef7258c3a130b0a61e73d91303d9,91e423c71d273c7edd0d3490331482ad366bef7258c3a130b0a61e73d91303d9,2084506,Byte-identical copy of the final reviewed asset
figures/main/Figure_06.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_6.png,eac5422c6103842b3a086a3f783077c48f4e00b245ae90e6ede1dcd84f750ace,eac5422c6103842b3a086a3f783077c48f4e00b245ae90e6ede1dcd84f750ace,413912,Byte-identical copy of the final reviewed asset
figures/main/Figure_07.pdf,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_7.pdf,a9efe189006dc13b04b3fb9932a8513d6ab7112729a7c647d4e8a40b8f33bf94,a9efe189006dc13b04b3fb9932a8513d6ab7112729a7c647d4e8a40b8f33bf94,3782334,Byte-identical copy of the final reviewed asset
figures/main/Figure_07.png,output/Submission_Figures_References_2026-09-21/Main Figures/Figure_7.png,5eddd3d1d70f25703168956cc1322613242359722528235d5f2b0e90d60f2aea,5eddd3d1d70f25703168956cc1322613242359722528235d5f2b0e90d60f2aea,508779,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_01.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_01.pdf,9a3be9016b24ed49cd7277dbdef98e5f36a258449bc43bf3797a678528a9bf59,9a3be9016b24ed49cd7277dbdef98e5f36a258449bc43bf3797a678528a9bf59,2035923,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_01.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_01.pdf,9a3be9016b24ed49cd7277dbdef98e5f36a258449bc43bf3797a678528a9bf59,9a3be9016b24ed49cd7277dbdef98e5f36a258449bc43bf3797a678528a9bf59,2035923,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_01.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_01.png,81867edc6f389adb1448e505e84069f54c3ed47f6092594f600794d87156c569,81867edc6f389adb1448e505e84069f54c3ed47f6092594f600794d87156c569,411208,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_01.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_01.png,81867edc6f389adb1448e505e84069f54c3ed47f6092594f600794d87156c569,81867edc6f389adb1448e505e84069f54c3ed47f6092594f600794d87156c569,411208,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_02.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_02.pdf,caf6825f87878482dc27f1a9ffb40093f5cdc4185b8f26ee11b2d703e292a786,caf6825f87878482dc27f1a9ffb40093f5cdc4185b8f26ee11b2d703e292a786,3832723,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_02.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_02.pdf,caf6825f87878482dc27f1a9ffb40093f5cdc4185b8f26ee11b2d703e292a786,caf6825f87878482dc27f1a9ffb40093f5cdc4185b8f26ee11b2d703e292a786,3832723,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_02.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_02.png,2dd314ebad063b42a8f22d6d0c7b0af576fa6cbcdb98be9d7c1b567956b61b54,2dd314ebad063b42a8f22d6d0c7b0af576fa6cbcdb98be9d7c1b567956b61b54,722907,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_02.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_02.png,2dd314ebad063b42a8f22d6d0c7b0af576fa6cbcdb98be9d7c1b567956b61b54,2dd314ebad063b42a8f22d6d0c7b0af576fa6cbcdb98be9d7c1b567956b61b54,722907,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_03.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_03.pdf,f94369fdf7ff02be920b338ac6f6a89c79d47afd6c9696630693324761a0a81f,f94369fdf7ff02be920b338ac6f6a89c79d47afd6c9696630693324761a0a81f,3301385,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_03.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_03.pdf,f94369fdf7ff02be920b338ac6f6a89c79d47afd6c9696630693324761a0a81f,f94369fdf7ff02be920b338ac6f6a89c79d47afd6c9696630693324761a0a81f,3301385,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_03.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_03.png,70ed61ac713a5c408905e452c17e3785b573bf8368f9b1e1a86ee8fe5f1cde6d,70ed61ac713a5c408905e452c17e3785b573bf8368f9b1e1a86ee8fe5f1cde6d,422368,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_03.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_03.png,70ed61ac713a5c408905e452c17e3785b573bf8368f9b1e1a86ee8fe5f1cde6d,70ed61ac713a5c408905e452c17e3785b573bf8368f9b1e1a86ee8fe5f1cde6d,422368,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_04.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_04.pdf,65ecdf8a79be164d98dc5f15b225b32f13ee807f64bcbfe57e7de3587c807bc8,65ecdf8a79be164d98dc5f15b225b32f13ee807f64bcbfe57e7de3587c807bc8,3219006,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_04.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_04.pdf,65ecdf8a79be164d98dc5f15b225b32f13ee807f64bcbfe57e7de3587c807bc8,65ecdf8a79be164d98dc5f15b225b32f13ee807f64bcbfe57e7de3587c807bc8,3219006,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_04.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_04.png,bf63f04a071884aa3930552fcd2769dfad030378543bdd427e87620150b1acfe,bf63f04a071884aa3930552fcd2769dfad030378543bdd427e87620150b1acfe,269757,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_04.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_04.png,bf63f04a071884aa3930552fcd2769dfad030378543bdd427e87620150b1acfe,bf63f04a071884aa3930552fcd2769dfad030378543bdd427e87620150b1acfe,269757,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_05.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_05.pdf,4d32196f60992476f6d3af4f8b9b5c86ae540473d037bd173c35f6bbe8cde95c,4d32196f60992476f6d3af4f8b9b5c86ae540473d037bd173c35f6bbe8cde95c,11086933,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_05.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_05.pdf,4d32196f60992476f6d3af4f8b9b5c86ae540473d037bd173c35f6bbe8cde95c,4d32196f60992476f6d3af4f8b9b5c86ae540473d037bd173c35f6bbe8cde95c,11086933,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_05.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_05.png,73726c7e94ac2df97acba2996e6c0ce115d8eb4bd703cbcc964c3a648912ce56,73726c7e94ac2df97acba2996e6c0ce115d8eb4bd703cbcc964c3a648912ce56,759571,Byte-identical copy of the final reviewed asset
figures/extended_data/Extended_Data_Figure_05.png,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_05.png,73726c7e94ac2df97acba2996e6c0ce115d8eb4bd703cbcc964c3a648912ce56,73726c7e94ac2df97acba2996e6c0ce115d8eb4bd703cbcc964c3a648912ce56,759571,Byte-identical copy of the final reviewed asset
figures/supplementary/Supplementary_Figure_06.pdf,output/Submission_Figures_References_2026-09-21/Supplementary Figures/Supplementary_Figure_06.pdf,d80e75f2a94391fe9c8d1f6ec9c7104fa051d3198ca6954427d1ece36fead03d,d80e75f2a94391fe9c8d1f6ec9c7104fa051d3198ca6954427d1ece36fead03d,3108894,Byte-identical copy of the final reviewed asset
