DonorID,ConditionCode,neutrophil_state_annotation,cells,total_neutrophils,proportion,condition_label
Donor1,UA5,CXCR4 neutrophil,617,1402,0.440085592011412,UC + alpha5beta1i
Donor1,UA5,MX1/ISG neutrophil,68,1402,0.0485021398002853,UC + alpha5beta1i
Donor2,UA5,Low RNA neutrophils,0,944,0,UC + alpha5beta1i
Donor2,UA5,PADI4 neutrophil,58,944,0.0614406779661017,UC + alpha5beta1i
Donor2,UA5,OSM neutrophil,406,944,0.430084745762712,UC + alpha5beta1i
Donor2,UA5,CXCR4 neutrophil,422,944,0.447033898305085,UC + alpha5beta1i
Donor2,UA5,MX1/ISG neutrophil,58,944,0.0614406779661017,UC + alpha5beta1i
Donor3,UA5,Low RNA neutrophils,0,2053,0,UC + alpha5beta1i
Donor3,UA5,PADI4 neutrophil,66,2053,0.0321480759863614,UC + alpha5beta1i
Donor3,UA5,OSM neutrophil,1134,2053,0.552362396492937,UC + alpha5beta1i
Donor3,UA5,CXCR4 neutrophil,683,2053,0.332683877252801,UC + alpha5beta1i
Donor3,UA5,MX1/ISG neutrophil,170,2053,0.0828056502679006,UC + alpha5beta1i
Donor4,UA5,Low RNA neutrophils,0,1576,0,UC + alpha5beta1i
Donor4,UA5,PADI4 neutrophil,53,1576,0.0336294416243655,UC + alpha5beta1i
Donor4,UA5,OSM neutrophil,917,1576,0.581852791878173,UC + alpha5beta1i
Donor4,UA5,CXCR4 neutrophil,460,1576,0.291878172588832,UC + alpha5beta1i
Donor4,UA5,MX1/ISG neutrophil,146,1576,0.0926395939086294,UC + alpha5beta1i
Donor5,UA5,Low RNA neutrophils,0,4,0,UC + alpha5beta1i
Donor5,UA5,PADI4 neutrophil,0,4,0,UC + alpha5beta1i
Donor5,UA5,OSM neutrophil,1,4,0.25,UC + alpha5beta1i
Donor5,UA5,CXCR4 neutrophil,2,4,0.5,UC + alpha5beta1i
Donor5,UA5,MX1/ISG neutrophil,1,4,0.25,UC + alpha5beta1i
Donor6,UA5,Low RNA neutrophils,0,510,0,UC + alpha5beta1i
Donor6,UA5,PADI4 neutrophil,36,510,0.0705882352941176,UC + alpha5beta1i
Donor6,UA5,OSM neutrophil,179,510,0.350980392156863,UC + alpha5beta1i
Donor6,UA5,CXCR4 neutrophil,268,510,0.525490196078431,UC + alpha5beta1i
Donor6,UA5,MX1/ISG neutrophil,27,510,0.0529411764705882,UC + alpha5beta1i
Donor1,UD,Low RNA neutrophils,0,200,0,UC + dual blockade
Donor1,UD,PADI4 neutrophil,16,200,0.08,UC + dual blockade
Donor1,UD,OSM neutrophil,84,200,0.42,UC + dual blockade
Donor1,UD,CXCR4 neutrophil,87,200,0.435,UC + dual blockade
Donor1,UD,MX1/ISG neutrophil,13,200,0.065,UC + dual blockade
Donor2,UD,Low RNA neutrophils,0,946,0,UC + dual blockade
Donor2,UD,PADI4 neutrophil,52,946,0.0549682875264271,UC + dual blockade
Donor2,UD,OSM neutrophil,395,946,0.417547568710359,UC + dual blockade
Donor2,UD,CXCR4 neutrophil,455,946,0.480972515856237,UC + dual blockade
Donor2,UD,MX1/ISG neutrophil,44,946,0.0465116279069768,UC + dual blockade
Donor3,UD,Low RNA neutrophils,0,1516,0,UC + dual blockade
Donor3,UD,PADI4 neutrophil,52,1516,0.0343007915567282,UC + dual blockade
Donor3,UD,OSM neutrophil,754,1516,0.497361477572559,UC + dual blockade
Donor3,UD,CXCR4 neutrophil,551,1516,0.363456464379947,UC + dual blockade
Donor3,UD,MX1/ISG neutrophil,159,1516,0.104881266490765,UC + dual blockade
Donor4,UD,Low RNA neutrophils,0,1847,0,UC + dual blockade
Donor4,UD,PADI4 neutrophil,56,1847,0.0303194369247428,UC + dual blockade
Donor4,UD,OSM neutrophil,933,1847,0.505143475906876,UC + dual blockade
Donor4,UD,CXCR4 neutrophil,724,1847,0.391987005955604,UC + dual blockade
Donor4,UD,MX1/ISG neutrophil,134,1847,0.0725500812127775,UC + dual blockade
Donor5,UD,Low RNA neutrophils,0,1184,0,UC + dual blockade
Donor5,UD,PADI4 neutrophil,70,1184,0.0591216216216216,UC + dual blockade
Donor5,UD,OSM neutrophil,492,1184,0.415540540540541,UC + dual blockade
Donor5,UD,CXCR4 neutrophil,574,1184,0.484797297297297,UC + dual blockade
Donor5,UD,MX1/ISG neutrophil,48,1184,0.0405405405405405,UC + dual blockade
Donor6,UD,Low RNA neutrophils,0,481,0,UC + dual blockade
Donor6,UD,PADI4 neutrophil,39,481,0.0810810810810811,UC + dual blockade
Donor6,UD,OSM neutrophil,182,481,0.378378378378378,UC + dual blockade
Donor6,UD,CXCR4 neutrophil,240,481,0.498960498960499,UC + dual blockade
Donor6,UD,MX1/ISG neutrophil,20,481,0.0415800415800416,UC + dual blockade
