g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,gene
2419919.50147309,6599509.77442916,470655.551505796,170894.468185407,243363.313055668,93242.166138707,31919.6317297167,54061.6047883329,16828.0568490278,11741.4116682672,18896.0625015465,238.095238095238,0,0,0,24.1545893719807,0,0,0,79.1437165514278,133.333333333333,103.092783505155,0,0,38.1683740158677,0,0,34861.6743599378,0,0,0,FPR1
1770099.04559892,5715819.493886,549919.534439733,178156.120483354,260662.577466594,103547.911052445,63115.538871167,49927.747469683,11668.0664123167,7040.38954630361,23763.4390383772,0,0,0,0,0,0,0,0,18.8679245283019,0,0,0,0,0,384.615384615385,322.58064516129,25596.0166753015,0,392.156862745098,0,SELL
658170.05752712,1647607.70474149,173188.231600974,89765.5301043879,64383.534628232,28122.9937907319,21319.7940203681,16581.8387489264,9184.08910950267,6035.24283467202,3650.78800692875,0,0,0,0,0,526.315789473684,0,222.222222222222,101.68365951795,0,370.37037037037,24.330900243309,243.90243902439,78.046630391829,0,322.58064516129,12012.8655151411,0,0,0,OSM
54972082.2995416,117916242.536014,10538124.3838417,4050092.39233882,4516635.88945005,2462474.27419398,880543.284087233,1139613.00231382,596407.79006478,314924.232843335,278617.161490596,3445.34632034632,555.555555555555,848.896434634975,263.157894736842,7867.83988957902,5350.87719298246,0,3565.65656565657,1400.71877807727,4711.47540983607,3936.61702940054,1284.39738185806,3894.57120377655,3360.90676961425,0,1597.54224270353,946238.822875864,1000,1148.4593837535,0,CXCL8
796677.49303274,672542.080221051,1177389.14920589,134108.870464313,45787.4909456106,48919.142396122,27713.851932664,21709.8884631342,8515.90084328701,4831.86723361394,2869.32751284016,0,0,0,0,0,0,0,0,0,0,0,24.330900243309,0,30.5498981670061,0,0,12315.7006570943,0,0,0,TNF
8594490.22666019,13537965.9860446,1609738.40064226,484432.977995492,639944.893935185,518308.410724863,92111.2260120637,78638.8404403326,62863.965449218,40165.9213120515,45405.0090640946,545.454545454545,555.555555555555,0,0,554.520358868185,929.824561403509,0,0,101.68365951795,66.6666666666667,412.371134020618,267.639902676399,444.531864673486,669.304951819315,0,0,108146.388215311,0,0,0,NFKBIA
8765104.25365077,24080296.8507938,1610680.61702935,381381.178204846,746980.153839252,654865.422357178,214023.470109704,114471.839945531,79274.9961598487,51638.4534782006,55819.1922543208,181.818181818182,0,0,0,936.853002070393,0,0,0,796.945193171608,630.601092896175,0,213.837771152462,932.336742722266,475.119311791349,0,1766.51305683564,159088.594402861,0,196.078431372549,0,FOS
19355.8512847301,67929.4524210331,6642.50697666151,625,3752.75278778762,1384.63155919663,131.645569620253,21.2765957446808,0,449.239956568947,197.027382932591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.526097324031,0,0,0,IFIT1
212568.157838925,601930.148239388,44257.2266196675,9302.67904537703,19463.2308935323,8486.46730504831,7215.74481492126,7563.71377963064,877.430059001288,1527.63008248541,1379.18306402731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528.40237919025,0,0,0,IFIT3
27562.6092725789,83169.9148219885,12512.3245540193,2213.70377102714,6221.70003287714,4739.13441496572,1926.87160964646,456.365285386317,369.92777824163,32.5732899022801,449.094061750195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.707119788915,0,0,0,ISG15
36724.3007541887,100108.280962067,25395.2101744333,5179.82456140351,6276.06167227099,3728.07093239455,1401.88846271406,1697.92569098767,173.749955152425,323.202385577247,461.711260354737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.904407087224,0,0,0,IFI6
10068776.0629168,22483764.1394273,2604567.96639744,863633.790940336,798661.542596918,306680.989621941,185733.453821403,191207.45102375,74569.804016081,48740.3994026422,58922.1584879762,0,526.315789473684,0,263.157894736842,408.55762594893,596.491228070175,0,222.222222222222,431.618422594633,297.267759562842,206.185567010309,72.992700729927,121.951219512195,196.826458339666,769.23076923077,798.771121351766,150786.659188932,500,588.235294117647,0,CSF3R
