p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.49564310654592e-113,2.25310484515705,0.259,0.031,8.55256892613286e-110,5,HINT1
1.28524927115413e-111,2.60033512640731,0.209,0.018,4.40454925224521e-108,5,COX7C
1.65244979782293e-110,2.99934345609498,0.19,0.004,5.66294545713917e-107,5,CD2
7.85449389094781e-110,1.90481714829191,0.255,0.036,2.69173505642782e-106,5,RBFOX2
4.31710923985978e-109,2.1753188063274,0.237,0.019,1.47947333649995e-105,5,EIF3E
1.04194529819749e-105,3.0151068759619,0.177,0.006,3.57074653692281e-102,5,PEBP1
1.04950415077116e-103,1.77006134836575,0.241,0.03,3.59665072469277e-100,5,HSPA8
1.71432835575902e-102,3.0064409893784,0.185,0.009,5.87500327518615e-99,5,CD99
4.69545684715257e-100,1.75005634408509,0.275,0.054,1.60913306151919e-96,5,HNRNPDL
7.42831204768466e-99,2.42693977689441,0.202,0.017,2.54568253874153e-95,5,SLC25A6
8.13647766791936e-99,2.26778546542056,0.201,0.014,2.78837089679597e-95,5,CD96
3.03943272403572e-98,2.20028666047073,0.226,0.026,1.04161359452704e-94,5,RUNX3
1.59317317540863e-95,1.87271267287653,0.207,0.02,5.45980447212538e-92,5,AHNAK
1.37125828539306e-94,0.650547118857715,0.224,0.031,4.69930214404203e-91,5,FYN
2.43740358482534e-93,2.18133905976732,0.197,0.016,8.35298208519645e-90,5,SOD1
6.76933838572097e-93,1.56448183246672,0.239,0.046,2.31985226478658e-89,5,RBM3
2.73213178022425e-89,1.27848328349186,0.324,0.08,9.3630156108285e-86,5,ANP32B
5.85091576313923e-88,0.992097525211266,0.379,0.14,2.00510883202781e-84,5,YBX1
1.1876654744664e-87,2.6888669739864,0.178,0.012,4.07012958099634e-84,5,SNHG6
2.40965138958214e-84,1.29453795533727,0.386,0.153,8.257875312098e-81,5,CALM1
7.46337585308911e-82,2.80055553655458,0.142,0.004,2.55769890485364e-78,5,KCNA3
2.74387722388387e-80,2.39444452939179,0.158,0.008,9.40326724625004e-77,5,RASGRP1
5.82142358311824e-80,2.31660124858982,0.165,0.013,1.99500186193462e-76,5,EIF3F
1.11360171282915e-79,1.43714025157484,0.434,0.212,3.81631306986548e-76,5,TXNIP
5.02770807582071e-79,2.11126311354228,0.181,0.02,1.72299555758376e-75,5,NDUFA4
1.01505089651303e-78,1.75276268611218,0.266,0.069,3.47857942235016e-75,5,NCL
1.6465017077387e-75,1.93723458492218,0.198,0.034,5.64256135242053e-72,5,HSP90B1
9.49777464803542e-74,1.93372794063679,0.141,0.008,3.25488737188174e-70,5,LBH
2.11715931448911e-73,1.3903422026182,0.151,0.012,7.25550497075419e-70,5,LEF1
2.58246570833627e-73,3.02100361686133,0.127,0.003,8.85010998246841e-70,5,ITM2A
4.8286415518416e-71,1.26653051649929,0.178,0.019,1.65477545981612e-67,5,NUCKS1
1.39803486865842e-70,1.04629088484422,0.142,0.013,4.79106549489239e-67,5,ABLIM1
1.29112477200104e-69,0.619554930933785,0.208,0.04,4.42468459364758e-66,5,SAMHD1
2.91172880626591e-69,1.07538182976466,0.186,0.033,9.97849461907328e-66,5,ANXA1
1.51692714996033e-67,1.26051884255435,0.204,0.048,5.19850934291405e-64,5,EMB
3.73074096379659e-67,2.36337613711547,0.135,0.011,1.27852492829309e-63,5,EID1
1.53386807360993e-66,2.84777004292489,0.123,0.004,5.25656588826123e-63,5,FBL
3.30837579556651e-66,2.84705550109456,0.133,0.006,1.13378038514064e-62,5,SLFN5
4.52734980375386e-66,3.08653216267807,0.151,0.014,1.55152277774645e-62,5,NKG7
4.64417331741598e-66,1.8126338042089,0.158,0.02,1.59155819587846e-62,5,CHCHD3
5.49987208425473e-66,1.36243823553219,0.177,0.028,1.88480616327409e-62,5,PIK3R1
6.10041305063508e-66,1.46388495607202,0.143,0.01,2.09061155245264e-62,5,SLFN12L
2.73328175997913e-65,3.767755923626,0.116,0.004,9.36695659144848e-62,5,GZMA
6.96194380564208e-65,1.82000055036971,0.159,0.021,2.38585814219354e-61,5,RAN
2.79378689940475e-64,2.38554305383146,0.144,0.01,9.57430770426007e-61,5,RSL1D1
6.22409878011234e-64,1.94936869313484,0.134,0.012,2.1329986519445e-60,5,PA2G4
1.76724482363386e-62,1.47080959507972,0.153,0.023,6.05634801059322e-59,5,ITGB1
1.92942132541825e-62,1.41654078231973,0.131,0.009,6.61212688220836e-59,5,IKZF3
8.18254719926233e-62,1.15153917006664,0.172,0.038,2.8041589251872e-58,5,ENO1
2.42085829376342e-60,1.97544926365338,0.14,0.014,8.29628137272724e-57,5,KIF2A
3.84972101515307e-60,1.86426359259361,0.121,0.01,1.31929939189296e-56,5,S100A10
4.10819541834811e-59,1.3314853783435,0.141,0.022,1.4078785698679e-55,5,HNRNPR
2.75599312789073e-58,0.983234577936568,0.352,0.148,9.44478844928152e-55,5,SET
3.66019096925992e-58,0.584335292565825,0.125,0.016,1.25434744516537e-54,5,SKAP1
6.01290455284798e-57,2.52566558874779,0.107,0.004,2.060622390261e-53,5,DYRK2
3.40596845708952e-56,3.99882342105382,0.105,0.005,1.16722539024458e-52,5,FGFBP2
5.37460017900333e-56,0.84885448693131,0.255,0.087,1.84187548134444e-52,5,HMGN2
2.12162290889367e-55,1.38528794724427,0.129,0.012,7.2708017087786e-52,5,CD69
2.15319489934602e-54,1.20779644315154,0.138,0.019,7.37899892005882e-51,5,TTC3
7.18329784754752e-54,0.407768319357198,0.357,0.174,2.46171617235454e-50,5,VIM
1.56227470536287e-53,1.84151071852241,0.13,0.016,5.35391541527857e-50,5,SNHG3
1.66960991079296e-53,2.61005873869923,0.104,0.003,5.72175316428747e-50,5,CCR7
3.59935231010548e-53,1.43835374831644,0.156,0.029,1.23349803667315e-49,5,SERBP1
1.93442792625219e-52,1.39449700908844,0.112,0.011,6.62928450326627e-49,5,RGS10
8.61220144454193e-52,1.76635872946864,0.123,0.014,2.95140143504452e-48,5,VAMP8
4.80749234803329e-51,2.42617739843663,0.103,0.006,1.64752762767101e-47,5,KLF9
6.24804764813026e-51,0.542274707620671,0.148,0.027,2.14120592901424e-47,5,RASA3
4.03913138560954e-50,1.71516930840915,0.176,0.044,1.38421032584839e-46,5,CST7
6.76967422321478e-50,0.568973268526889,0.328,0.14,2.31996735629571e-46,5,HSP90AA1
1.8953292943531e-49,0.30783321121596,0.143,0.025,6.49529349174808e-46,5,PABPC4
