p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.0525040968523e-48,0.235232967882627,0.144,0.029,7.03393153991283e-45,2,SLC25A3
5.42963872757547e-48,1.15529739511548,0.114,0.013,1.86073719194011e-44,2,ENSG00000289242
1.01569799461357e-47,0.876857023542081,0.308,0.095,3.48079702754069e-44,2,PI3
2.43919902481388e-47,0.393323631819048,0.137,0.018,8.35913505803718e-44,2,ENSG00000282022
3.52101459126175e-47,1.08388717122602,0.1,0.01,1.2066517004254e-43,2,BTNL8
7.18211398814396e-47,0.727061344663352,0.103,0.013,2.46131046373694e-43,2,EDN1
3.04292220073594e-45,0.802108066230428,0.123,0.02,1.04280943819221e-41,2,PLBD1
4.44102248215299e-45,0.235036206718404,0.131,0.02,1.52193840463383e-41,2,ENSG00000287937
1.73824673863618e-41,0.314696553977136,0.125,0.022,5.9569715733062e-38,2,DNAJB1
1.96894362413762e-37,1.11404975042793,0.1,0.016,6.74756979991963e-34,2,CST7
3.29409533087379e-32,0.202587327700097,0.118,0.027,1.12888646989045e-28,2,SH3BGRL
4.60550509796191e-32,0.248136439729354,0.101,0.02,1.57830659707155e-28,2,LONRF3
0,5.17373651127498,0.654,0.131,0,3,ENSG00000286171
7.54822354492125e-34,0.229280054924091,0.052,0.17,2.58677620884451e-30,3,CIR1
4.0593642477118e-30,0.691355547255076,0.043,0.13,1.39114412769083e-26,3,ATF4
5.17266824800003e-26,0.833798962311767,0.085,0.194,1.77267340858961e-22,3,CD74
3.48331142753827e-22,3.20394233458784,0.31,0.249,1.19373082621737e-18,3,IL1R2
1.60270274607521e-20,0.266915907556706,0.041,0.12,5.49246231079974e-17,3,JUN
3.43185170525848e-16,0.206480475771681,0.052,0.118,1.17609557939208e-12,3,EIF2AK3
1.59188310295186e-15,0.671298212971247,0.086,0.162,5.45538339381603e-12,3,ENSG00000289474
1.09425391715241e-14,0.773754153659402,0.045,0.108,3.75000817408131e-11,3,DNAJA1
1.93637270984451e-14,0.204234586800411,0.059,0.128,6.63594927663713e-11,3,SYNE2
1.27075633165769e-10,1.19958461719151,0.087,0.151,4.35488194859092e-07,3,HSP90AA1
9.8466224586423e-10,0.312573413565545,0.58,0.556,3.37443751657672e-06,3,GRIP1
2.16210014644605e-08,0.382751208644014,0.319,0.264,7.4095172018706e-05,3,PRIM1
7.55467593484848e-07,2.82765618434788,0.118,0.081,0.00258898744287257,3,TNF
0.0002622423457714,0.55128136958508,0.292,0.436,0.898704518958587,3,ENSG00000289901
0.00147954497475776,0.322649069081576,0.174,0.15,1,3,COMMD1
0,4.12938918830422,0.881,0.409,0,4,ENSG00000289901
1.8104847826183e-51,3.7650031208316,0.193,0.073,6.20453135003293e-48,4,DHFR
6.17554478388252e-42,3.46832637655847,0.273,0.152,2.11635919743654e-38,4,ENSG00000289474
2.14772023726775e-35,0.852935742316062,0.627,0.555,7.36023725311657e-32,4,GRIP1
7.34985608899442e-26,0.22680991283409,0.025,0.105,2.51879568169839e-22,4,DNAJA1
1.20715781293185e-24,0.527345570536453,0.049,0.149,4.13692982491744e-21,4,HSP90AA1
5.73102657896267e-17,0.212466447653552,0.105,0.224,1.96402280861051e-13,4,TNFAIP6
0.00629526490807728,0.304906943616545,0.128,0.179,1,4,PI3
9.27517737861132e-270,2.43286959830234,0.704,0.315,3.1786032876501e-266,5,EEF1A1
1.02881840962048e-201,2.10336693182767,0.544,0.177,3.52576068976939e-198,5,PTMA
1.07034396561467e-185,2.96333281473214,0.334,0.02,3.66806877016148e-182,5,TLE5
1.0917559356958e-173,3.02287346959674,0.335,0.022,3.74144759162952e-170,5,CD52
5.39162866314789e-169,2.77617828886063,0.357,0.043,1.84771114286078e-165,5,RACK1
1.76090122752577e-168,3.00610135133972,0.325,0.025,6.0346085067308e-165,5,EEF1B2
7.14770190180236e-164,2.95576519000458,0.317,0.031,2.44951744174767e-160,5,TOMM7
1.96732292596431e-162,1.82531661107028,0.415,0.091,6.74201566727967e-159,5,OOEP
2.21016844816712e-161,2.51062595286955,0.326,0.033,7.57424727186873e-158,5,HNRNPA1
1.04539760443065e-152,2.87262720588231,0.288,0.018,3.58257759038385e-149,5,PLEKHA7
3.31202584141201e-152,3.27238551546811,0.278,0.015,1.13503125585189e-148,5,ARL4C
3.82257485406309e-151,2.47814864413857,0.296,0.02,1.30999640248742e-147,5,ETS1
7.72344367088694e-151,3.43524923875913,0.271,0.011,2.64682414601295e-147,5,IL7R
4.7586930777289e-147,1.92538443156497,0.351,0.065,1.63080411773769e-143,5,PPIA
1.11790594084414e-143,1.95236588816557,0.383,0.086,3.83106365927285e-140,5,NAP1L1
3.202682183329e-142,2.25035158360039,0.389,0.073,1.09755918422685e-138,5,NPM1
1.15177179922885e-136,2.16989062546947,0.317,0.045,3.94712195595726e-133,5,BTF3
4.62019654261625e-132,2.19830899325938,0.351,0.075,1.58334135515459e-128,5,NACA
2.51999999737139e-123,2.15607775290132,0.294,0.044,8.63603999099177e-120,5,EEF2
8.33496178493345e-119,1.63597069367004,0.243,0.018,2.85639140369669e-115,5,BCL11B
9.01487989182381e-119,2.0013499536387,0.26,0.033,3.08939933892802e-115,5,ATP5MC2
3.52414161072247e-118,1.97658212031295,0.284,0.039,1.20772332999459e-114,5,HSP90AB1
4.91618463832584e-117,2.79421082722331,0.224,0.015,1.68477647555426e-113,5,NSA2
3.3899627238925e-116,2.94632290455112,0.215,0.01,1.16174022547796e-112,5,COX6C
1.21796662963866e-113,1.96225979294342,0.25,0.028,4.17397163977168e-110,5,SNHG29
