annotation,gene,mean_expression,pct_expressed,cells,scaled_expression
IL1R2+ inflammatory neutrophil,FCGR3B,1.13115005284779,19.9572483482316,5146,-0.49772932650096
IL1R2+ inflammatory neutrophil,FPR1,0.898816299133023,16.6342790516906,5146,-0.686369981370679
IL1R2+ inflammatory neutrophil,OSM,0.288730531946008,6.17955693742713,5146,-0.702040096690346
IL1R2+ inflammatory neutrophil,CXCR4,1.95290335906034,33.948698017878,5146,-0.554112098839131
IL1R2+ inflammatory neutrophil,MX1,0.0613871156415305,1.06879129420909,5146,-0.324888697335316
IL1R2+ inflammatory neutrophil,ISG15,0.0235894709011486,0.427516517683638,5146,-0.46211532686915
IL1R2+ inflammatory neutrophil,IFIT2,0.0645257275044726,1.20481927710843,5146,-0.581336044377703
IL1R2+ inflammatory neutrophil,PADI4,0.0989776788502144,1.74893120870579,5146,-0.668894727367715
IL1R2+ inflammatory neutrophil,IL1R2,2.31811676733876,36.2806062961524,5146,1.41826415662262
IL1R2+ inflammatory neutrophil,LTF,0.0920262006496885,1.86552662261951,5146,-0.451785718125531
IL1R2+ inflammatory neutrophil,BPI,0.028688970270902,0.582977069568597,5146,-0.412012734981277
IL1R2+ inflammatory neutrophil,CCL3,0.442797978362717,8.43373493975904,5146,-0.84895339764588
IL1R2+ inflammatory neutrophil,CCL4,0.566104125657272,10.6296152351341,5146,-0.888565271581417
IL1R2+ inflammatory neutrophil,HLA-DRA,0.521944701984007,8.82238631947143,5146,1.82672991072914
IL1R2+ inflammatory neutrophil,CD74,1.16433945872784,19.1799455888068,5146,0.345139833791835
IL1R2+ inflammatory neutrophil,CLC,0.0190938381395794,0.330353672755538,5146,-0.316975347236293
IL1R2+ inflammatory neutrophil,SPARC,0.00452579262756137,0.0777302759424796,5146,-0.991041558219776
IL1R2+ inflammatory neutrophil,MS4A1,0.160676830480664,2.73999222697241,5146,2.2035927368361
DHFR+ proliferative/stress neutrophil,FCGR3B,1.23971017390547,21.0144927536232,1380,-0.39666183000364
DHFR+ proliferative/stress neutrophil,FPR1,0.970106155740436,16.6666666666667,1380,-0.616063931458828
DHFR+ proliferative/stress neutrophil,OSM,0.281659677879063,5.36231884057971,1380,-0.715577236541987
DHFR+ proliferative/stress neutrophil,CXCR4,1.74400824487545,29.6376811594203,1380,-0.753996026109575
DHFR+ proliferative/stress neutrophil,MX1,0.0198355053434474,0.36231884057971,1380,-0.797144001776253
DHFR+ proliferative/stress neutrophil,ISG15,0.0156322559348019,0.289855072463768,1380,-0.599936316069103
DHFR+ proliferative/stress neutrophil,IFIT2,0.0314354804161425,0.579710144927536,1380,-0.740763684380629
DHFR+ proliferative/stress neutrophil,PADI4,0.110738046314377,2.10144927536232,1380,-0.638301870333098
DHFR+ proliferative/stress neutrophil,IL1R2,0.429625314356673,7.82608695652174,1380,-0.972807174522988
DHFR+ proliferative/stress neutrophil,LTF,0.121468151868363,2.2463768115942,1380,-0.426371166107477
DHFR+ proliferative/stress neutrophil,BPI,0.0557274394748108,1.08695652173913,1380,-0.381631675900455
DHFR+ proliferative/stress neutrophil,CCL3,0.383231170523172,7.10144927536232,1380,-0.99325190101776
DHFR+ proliferative/stress neutrophil,CCL4,0.519328031231521,9.27536231884058,1380,-0.987885449789325
DHFR+ proliferative/stress neutrophil,HLA-DRA,0.348316496799239,5.86956521739131,1380,0.523109159408191
DHFR+ proliferative/stress neutrophil,CD74,0.742811701318176,12.3188405797101,1380,-0.4928252116686
DHFR+ proliferative/stress neutrophil,CLC,0.0045809905768271,0.072463768115942,1380,-0.413805462447665
DHFR+ proliferative/stress neutrophil,SPARC,0.0754182732376578,1.23188405797101,1380,1.98415520727561
DHFR+ proliferative/stress neutrophil,MS4A1,0.0308376401589441,0.507246376811594,1380,-0.675061522169937
PADI4/translation-high neutrophil,FCGR3B,2.6657039395499,58.4354932866317,3426,0.93091240729759
PADI4/translation-high neutrophil,FPR1,2.58397748495841,59.1943957968476,3426,0.97553582232023
PADI4/translation-high neutrophil,OSM,0.774200800696465,21.8038528896673,3426,0.227392028434669
PADI4/translation-high neutrophil,CXCR4,3.5462887787941,74.4600116754232,3426,0.970538856232771
PADI4/translation-high neutrophil,MX1,0.258297341854685,8.14360770577934,3426,1.91309674199475
PADI4/translation-high neutrophil,ISG15,0.171946703032962,5.51663747810858,3426,2.10746970682024
PADI4/translation-high neutrophil,IFIT2,0.431134905100478,12.9305312317572,3426,1.18497400557527
PADI4/translation-high neutrophil,PADI4,0.299057139862925,9.48628137769994,3426,-0.148417593895687
PADI4/translation-high neutrophil,IL1R2,1.48453057372229,39.112667834209,3426,0.362837590382273
PADI4/translation-high neutrophil,LTF,0.128290385988545,3.9112667834209,3426,-0.420482153431689
PADI4/translation-high neutrophil,BPI,0.040397633370943,1.25510799766492,3426,-0.39885660610737
PADI4/translation-high neutrophil,CCL3,0.76160883210753,15.9661412726211,3426,-0.0766452830662265
PADI4/translation-high neutrophil,CCL4,1.0720729653526,23.3800350262697,3426,0.185763740772442
PADI4/translation-high neutrophil,HLA-DRA,0.345030120072471,9.77816695855225,3426,0.498434660854722
PADI4/translation-high neutrophil,CD74,1.91520043616209,49.1827203736136,3426,1.83779421308259
PADI4/translation-high neutrophil,CLC,0.0274338354236736,0.788091068301226,3426,-0.261330657633543
PADI4/translation-high neutrophil,SPARC,0.0314544695982802,0.875656742556918,3426,0.139093992587037
PADI4/translation-high neutrophil,MS4A1,0.0772166699568918,2.1015761821366,3426,0.353204221983398
LTF/BPI immature neutrophil,FCGR3B,1.07158483418508,26.0147601476015,542,-0.553183460762269
LTF/BPI immature neutrophil,FPR1,0.941644475740782,24.5387453874539,542,-0.644132837609815
LTF/BPI immature neutrophil,OSM,0.454716900873039,12.7306273062731,542,-0.384259434219055
LTF/BPI immature neutrophil,CXCR4,2.31992719907102,51.2915129151292,542,-0.202920703916027
LTF/BPI immature neutrophil,MX1,0.0082102399019268,0.3690036900369,542,-0.929271089773737
LTF/BPI immature neutrophil,ISG15,0.01807970618225,0.553505535055351,542,-0.557545854639124
LTF/BPI immature neutrophil,IFIT2,0.0235532013236954,1.1070110701107,542,-0.778740226235961
LTF/BPI immature neutrophil,PADI4,1.24742501159732,28.7822878228782,542,2.31862119588758
LTF/BPI immature neutrophil,IL1R2,0.782796808355969,18.6346863468635,542,-0.525646964744908
LTF/BPI immature neutrophil,LTF,3.45309394933193,61.4391143911439,542,2.44951761264379
LTF/BPI immature neutrophil,BPI,2.5874808873848,55.1660516605166,542,2.46310596434698
LTF/BPI immature neutrophil,CCL3,1.13186400146681,25.830258302583,542,0.820284882272873
LTF/BPI immature neutrophil,CCL4,1.29143908545796,28.2287822878229,542,0.651546153971255
LTF/BPI immature neutrophil,HLA-DRA,0.114819311439733,3.13653136531365,542,-1.23001485570081
LTF/BPI immature neutrophil,CD74,0.624459132452796,17.7121771217712,542,-0.728101095655646
LTF/BPI immature neutrophil,CLC,0.436851580750826,10.5166051660517,542,2.47031571832345
LTF/BPI immature neutrophil,SPARC,0,0,542,-1.18097881913861
LTF/BPI immature neutrophil,MS4A1,0.0515100008997554,1.1070110701107,542,-0.216736272737981
CCL3/CCL4 inflammatory neutrophil,FCGR3B,1.84757016542597,38.1578947368421,380,0.169244756736648
CCL3/CCL4 inflammatory neutrophil,FPR1,1.81512960459935,40,380,0.217298114692082
CCL3/CCL4 inflammatory neutrophil,OSM,0.994865998737847,25.2631578947368,380,0.649855229908614
CCL3/CCL4 inflammatory neutrophil,CXCR4,2.85366807680156,55,380,0.307795993321456
CCL3/CCL4 inflammatory neutrophil,MX1,0.0999977547664129,2.63157894736842,380,0.113940965432813
CCL3/CCL4 inflammatory neutrophil,ISG15,0.0436456871778202,1.05263157894737,380,-0.11473655445323
CCL3/CCL4 inflammatory neutrophil,IFIT2,0.229785209092839,5.26315789473684,380,0.214878292354524
CCL3/CCL4 inflammatory neutrophil,PADI4,0.293153194673861,7.10526315789474,380,-0.163775834329897
CCL3/CCL4 inflammatory neutrophil,IL1R2,1.33480062018632,28.6842105263158,380,0.173260349379515
CCL3/CCL4 inflammatory neutrophil,LTF,0.202884664552181,5.26315789473684,380,-0.356091714132195
CCL3/CCL4 inflammatory neutrophil,BPI,0.0661804810194063,2.10526315789474,380,-0.369886392898459
CCL3/CCL4 inflammatory neutrophil,CCL3,1.15973584364361,23.6842105263158,380,0.887803442662457
CCL3/CCL4 inflammatory neutrophil,CCL4,1.41725278332791,27.8947368421053,380,0.91868771520772
CCL3/CCL4 inflammatory neutrophil,HLA-DRA,0.281390966386794,6.05263157894737,380,0.0206244960092762
CCL3/CCL4 inflammatory neutrophil,CD74,0.952943375157617,21.5789473684211,380,-0.0750994640129927
CCL3/CCL4 inflammatory neutrophil,CLC,0.0169456588713161,0.263157894736842,380,-0.33130805797009
CCL3/CCL4 inflammatory neutrophil,SPARC,0.0278267610817523,0.526315789473684,380,-0.0131527132927486
CCL3/CCL4 inflammatory neutrophil,MS4A1,0.0739530940943708,1.31578947368421,380,0.28084774368931
RORA+ atypical neutrophil,FCGR3B,0.747024225993189,16.3716814159292,226,-0.855343478750599
RORA+ atypical neutrophil,FPR1,1.10841681251322,24.7787610619469,226,-0.479661974698584
RORA+ atypical neutrophil,OSM,0.55316141378997,13.716814159292,226,-0.1957875570786
RORA+ atypical neutrophil,CXCR4,2.2121066941791,46.4601769911505,226,-0.306090115236025
RORA+ atypical neutrophil,MX1,0.0405850310052682,0.88495575221239,226,-0.56131502936985
RORA+ atypical neutrophil,ISG15,0.015547481448892,0.442477876106195,226,-0.601404631749455
RORA+ atypical neutrophil,IFIT2,0.0675090957459454,1.32743362831858,226,-0.566962281718027
RORA+ atypical neutrophil,PADI4,0.230700392911154,5.75221238938053,226,-0.326237563655954
RORA+ atypical neutrophil,IL1R2,0.674952917672585,15.4867256637168,226,-0.662191101518762
RORA+ atypical neutrophil,LTF,0.575277028300896,14.6017699115044,226,-0.0346393406354686
RORA+ atypical neutrophil,BPI,0.290490140406253,7.52212389380531,226,-0.11784679099504
RORA+ atypical neutrophil,CCL3,0.865690261018294,20.353982300885,226,0.175488329013272
RORA+ atypical neutrophil,CCL4,1.06676912639711,24.3362831858407,226,0.174502043174305
RORA+ atypical neutrophil,HLA-DRA,0.112849738061682,2.65486725663717,226,-1.24480264161464
RORA+ atypical neutrophil,CD74,0.332299758850942,8.4070796460177,226,-1.30889165684291
RORA+ atypical neutrophil,CLC,0,0,226,-0.44436995666001
RORA+ atypical neutrophil,SPARC,0.0444912848390804,0.88495575221239,226,0.686219586204165
RORA+ atypical neutrophil,MS4A1,0.0232932884074427,0.442477876106195,226,-0.842326738835927
