"Subcluster","Existing_state","Freq"
"29","MX1/ISG-like",0
"30","MX1/ISG-like",0
"31","MX1/ISG-like",0
"1","Myofibroblast-like",0
"2","Myofibroblast-like",0
"3","Myofibroblast-like",0
"4","Myofibroblast-like",0
"5","Myofibroblast-like",0
"6","Myofibroblast-like",0
"7","Myofibroblast-like",0
"8","Myofibroblast-like",0
"9","Myofibroblast-like",0
"10","Myofibroblast-like",0
"11","Myofibroblast-like",0
"12","Myofibroblast-like",0
"13","Myofibroblast-like",0
"14","Myofibroblast-like",0
"15","Myofibroblast-like",0
"16","Myofibroblast-like",0
"17","Myofibroblast-like",0
"18","Myofibroblast-like",0
"19","Myofibroblast-like",0
"20","Myofibroblast-like",0
"21","Myofibroblast-like",0
"22","Myofibroblast-like",0
"23","Myofibroblast-like",0
"24","Myofibroblast-like",0
"25","Myofibroblast-like",0
"26","Myofibroblast-like",0
"27","Myofibroblast-like",0
"28","Myofibroblast-like",0
"29","Myofibroblast-like",0
"30","Myofibroblast-like",0
"31","Myofibroblast-like",0
"1","OSM",2829
"2","OSM",18256
"3","OSM",1507
"4","OSM",245
"5","OSM",511
"6","OSM",513
"7","OSM",172
"8","OSM",51
"9","OSM",42
"10","OSM",57
"11","OSM",24
"12","OSM",1
"13","OSM",0
"14","OSM",0
"15","OSM",0
"16","OSM",2
"17","OSM",0
"18","OSM",0
"19","OSM",0
"20","OSM",2
"21","OSM",0
"22","OSM",0
"23","OSM",0
"24","OSM",0
"25","OSM",2
"26","OSM",0
"27","OSM",0
"28","OSM",120
"29","OSM",0
"30","OSM",0
"31","OSM",0
"1","PADI4",663
"2","PADI4",950
"3","PADI4",303
"4","PADI4",44
"5","PADI4",2087
"6","PADI4",1049
"7","PADI4",40
"8","PADI4",16
"9","PADI4",413
"10","PADI4",33
"11","PADI4",183
"12","PADI4",0
"13","PADI4",0
"14","PADI4",0
"15","PADI4",0
"16","PADI4",0
"17","PADI4",0
"18","PADI4",0
"19","PADI4",0
"20","PADI4",0
"21","PADI4",0
"22","PADI4",0
"23","PADI4",0
"24","PADI4",0
"25","PADI4",0
"26","PADI4",0
"27","PADI4",0
"28","PADI4",16
"29","PADI4",0
"30","PADI4",0
"31","PADI4",0
"1","Perivascular-like fibroblast",0
"2","Perivascular-like fibroblast",0
"3","Perivascular-like fibroblast",0
"4","Perivascular-like fibroblast",0
"5","Perivascular-like fibroblast",0
"6","Perivascular-like fibroblast",0
"7","Perivascular-like fibroblast",0
"8","Perivascular-like fibroblast",0
"9","Perivascular-like fibroblast",0
"10","Perivascular-like fibroblast",0
"11","Perivascular-like fibroblast",0
"12","Perivascular-like fibroblast",0
"13","Perivascular-like fibroblast",0
"14","Perivascular-like fibroblast",0
"15","Perivascular-like fibroblast",0
"16","Perivascular-like fibroblast",0
"17","Perivascular-like fibroblast",0
"18","Perivascular-like fibroblast",0
"19","Perivascular-like fibroblast",0
"20","Perivascular-like fibroblast",0
"21","Perivascular-like fibroblast",0
"22","Perivascular-like fibroblast",0
"23","Perivascular-like fibroblast",0
"24","Perivascular-like fibroblast",0
"25","Perivascular-like fibroblast",0
"26","Perivascular-like fibroblast",0
"27","Perivascular-like fibroblast",0
"28","Perivascular-like fibroblast",0
"29","Perivascular-like fibroblast",0
"30","Perivascular-like fibroblast",0
"31","Perivascular-like fibroblast",0
"1","Resting/adventitial fibroblast",0
"2","Resting/adventitial fibroblast",0
"3","Resting/adventitial fibroblast",0
"4","Resting/adventitial fibroblast",0
"5","Resting/adventitial fibroblast",0
"6","Resting/adventitial fibroblast",0
"7","Resting/adventitial fibroblast",0
"8","Resting/adventitial fibroblast",0
"9","Resting/adventitial fibroblast",0
"10","Resting/adventitial fibroblast",0
"11","Resting/adventitial fibroblast",0
"12","Resting/adventitial fibroblast",0
"13","Resting/adventitial fibroblast",0
"14","Resting/adventitial fibroblast",0
"15","Resting/adventitial fibroblast",0
"16","Resting/adventitial fibroblast",0
"17","Resting/adventitial fibroblast",0
"18","Resting/adventitial fibroblast",0
"19","Resting/adventitial fibroblast",0
"20","Resting/adventitial fibroblast",0
"21","Resting/adventitial fibroblast",0
"22","Resting/adventitial fibroblast",0
"23","Resting/adventitial fibroblast",0
"24","Resting/adventitial fibroblast",0
"25","Resting/adventitial fibroblast",0
"26","Resting/adventitial fibroblast",0
"27","Resting/adventitial fibroblast",0
"28","Resting/adventitial fibroblast",0
"29","Resting/adventitial fibroblast",0
"30","Resting/adventitial fibroblast",0
"31","Resting/adventitial fibroblast",0
"1","Unresolved fibroblast-like",0
"2","Unresolved fibroblast-like",0
"3","Unresolved fibroblast-like",0
"4","Unresolved fibroblast-like",0
"5","Unresolved fibroblast-like",0
"6","Unresolved fibroblast-like",0
"7","Unresolved fibroblast-like",0
"8","Unresolved fibroblast-like",0
"9","Unresolved fibroblast-like",0
"10","Unresolved fibroblast-like",0
"11","Unresolved fibroblast-like",0
"12","Unresolved fibroblast-like",0
"13","Unresolved fibroblast-like",0
"14","Unresolved fibroblast-like",0
"15","Unresolved fibroblast-like",0
"16","Unresolved fibroblast-like",0
"17","Unresolved fibroblast-like",0
"18","Unresolved fibroblast-like",0
"19","Unresolved fibroblast-like",0
"20","Unresolved fibroblast-like",0
"21","Unresolved fibroblast-like",0
"22","Unresolved fibroblast-like",0
"23","Unresolved fibroblast-like",0
"24","Unresolved fibroblast-like",0
"25","Unresolved fibroblast-like",0
"26","Unresolved fibroblast-like",0
"27","Unresolved fibroblast-like",0
"28","Unresolved fibroblast-like",0
"29","Unresolved fibroblast-like",0
"30","Unresolved fibroblast-like",0
"31","Unresolved fibroblast-like",0
"1","LowRNA",17705
"2","LowRNA",19993
"3","LowRNA",2362
"4","LowRNA",774
"5","LowRNA",346
"6","LowRNA",578
"7","LowRNA",576
"8","LowRNA",607
"9","LowRNA",71
"10","LowRNA",56
"11","LowRNA",7
"12","LowRNA",1
"13","LowRNA",0
"14","LowRNA",0
"15","LowRNA",0
"16","LowRNA",0
"17","LowRNA",0
"18","LowRNA",0
"19","LowRNA",0
"20","LowRNA",0
"21","LowRNA",0
"22","LowRNA",1
"23","LowRNA",0
"24","LowRNA",0
"25","LowRNA",0
"26","LowRNA",0
"27","LowRNA",1
"28","LowRNA",154
"29","LowRNA",1
"30","LowRNA",2
"31","LowRNA",2
"1","MX1",1
"2","MX1",1
"3","MX1",0
"4","MX1",0
"5","MX1",0
"6","MX1",0
"7","MX1",0
"8","MX1",0
"9","MX1",0
"10","MX1",0
"11","MX1",0
"12","MX1",0
"13","MX1",0
"14","MX1",0
"15","MX1",0
"16","MX1",0
"17","MX1",0
"18","MX1",0
"19","MX1",0
"20","MX1",0
"21","MX1",0
"22","MX1",0
"23","MX1",0
"24","MX1",0
"25","MX1",0
"26","MX1",0
"27","MX1",0
"28","MX1",0
"29","MX1",0
"30","MX1",0
"31","MX1",0
