cluster,n,gene,mean,pct
3,15316,SPARC,0.00563251859083534,0.0979367981196135
3,15316,MS4A1,0.0585030084286551,0.992426220945416
3,15316,CCL3,0.437582022751454,7.89370592844085
3,15316,CCL4,0.560238684513324,10.0221990075738
4,5692,OSM,0.215609537106893,3.86507378777231
4,5692,CXCR4,1.07560866083536,17.9550245959241
4,5692,MX1,0.00580314187872425,0.105411103302881
4,5692,PADI4,0.0951553716847409,1.66900913562895
4,5692,FCGR3B,0.558785061487474,9.38158819395643
4,5692,FPR1,0.376079719879759,6.46521433591005
4,5692,S100A8,1.12930386082812,18.8510189739986
4,5692,S100A9,0.694937038430256,11.366830639494
4,5692,ISG15,0.00595879414884314,0.105411103302881
4,5692,IFIT1,0.00199905332818483,0.0351370344342937
4,5692,IFIT2,0.0190282010307298,0.351370344342937
4,5692,IFIT3,0.0273661874887901,0.509486999297259
4,5692,HLA-DRA,0.102792834748332,1.73928320449754
4,5692,CD74,0.269044104254392,4.55024595924104
4,5692,LTF,0.28030780764172,4.90161630358398
4,5692,BPI,0.0760970669141365,1.31763879128602
4,5692,CLC,0.00608910493240764,0.105411103302881
4,5692,SPARC,0.0213479361133573,0.351370344342937
4,5692,MS4A1,0.0103943733227736,0.175685172171469
4,5692,CCL3,0.423678411820721,7.44905130007027
4,5692,CCL4,0.550283276446493,9.43429374560787
5,5218,OSM,0.659241188410131,17.4971253353775
5,5218,CXCR4,2.9046569830597,59.2755845151399
5,5218,MX1,0.17215680934661,5.40436949022614
5,5218,PADI4,0.237419730674923,7.07167497125335
5,5218,FCGR3B,1.86729737034249,40.8202376389421
5,5218,FPR1,1.86331715210865,42.2000766577233
5,5218,S100A8,2.67019037459073,51.1881947106171
5,5218,S100A9,2.50452828280415,46.8378689152932
5,5218,ISG15,0.113897306705369,3.6412418551169
5,5218,IFIT1,0.0511439669700331,1.57148332694519
5,5218,IFIT2,0.29837171879921,8.79647374472978
5,5218,IFIT3,0.286942714856592,8.48984285166731
5,5218,HLA-DRA,0.237085374633281,6.65005749329245
5,5218,CD74,1.33675548430018,33.9210425450364
5,5218,LTF,0.224238958058207,5.27021847451131
5,5218,BPI,0.059580176769061,1.47566117286317
5,5218,CLC,0.0235335777056112,0.613261786124952
5,5218,SPARC,0.0240221895042704,0.632426216941357
5,5218,MS4A1,0.0515475239302638,1.39900344959755
5,5218,CCL3,0.917956612288864,18.1487159831353
5,5218,CCL4,1.21678403458437,24.5304714449981
6,3166,OSM,0.549757797355166,15.6664560960202
6,3166,CXCR4,2.10410045037453,47.378395451674
6,3166,MX1,0.168371023291837,6.34870499052432
6,3166,PADI4,0.329484136032712,11.9709412507896
6,3166,FCGR3B,0.810343999190611,21.1307643714466
6,3166,FPR1,1.49156080214282,38.3133291219204
6,3166,S100A8,3.35552426260373,62.4447252053064
6,3166,S100A9,3.01764515930651,54.9905243209097
6,3166,ISG15,0.0999884353656287,3.72710044219836
6,3166,IFIT1,0.0285215351911215,1.10549589387239
6,3166,IFIT2,0.128976440591208,4.35881238155401
6,3166,IFIT3,0.148034847371702,4.76942514213519
6,3166,HLA-DRA,2.04034483288135,40.9665192672142
6,3166,CD74,3.00131196405353,55.4011370814908
6,3166,LTF,0.255306152636329,6.06443461781428
6,3166,BPI,0.187892915563761,5.81174984207202
6,3166,CLC,0.0088695668374398,0.252684775742262
6,3166,SPARC,0.0539411842527763,2.05306380290588
6,3166,MS4A1,0.027002637982204,0.852811118130133
6,3166,CCL3,1.67978594995524,36.0707517372078
6,3166,CCL4,1.56353147976208,29.1219204042956
7,1815,OSM,0.42911220525125,10.0826446280992
7,1815,CXCR4,2.16449062117343,40.1652892561983
7,1815,MX1,0.0633097477830678,1.37741046831956
7,1815,PADI4,0.507101121310342,10.0275482093664
7,1815,FCGR3B,0.523886139750708,11.1845730027548
7,1815,FPR1,0.559864708405927,12.2314049586777
7,1815,S100A8,1.13275072761313,22.5895316804408
7,1815,S100A9,0.799952152134135,16.198347107438
7,1815,ISG15,0.0430665389949927,0.991735537190083
7,1815,IFIT1,0.00446326703595349,0.110192837465565
7,1815,IFIT2,0.124200774106867,2.69972451790634
7,1815,IFIT3,0.135350632401586,3.08539944903581
7,1815,HLA-DRA,0.388934878821868,7.71349862258953
7,1815,CD74,0.775486280845745,15.9779614325069
7,1815,LTF,0.348441334582427,6.94214876033058
7,1815,BPI,0.0976858362875468,1.8732782369146
7,1815,CLC,0.886733915412812,16.0881542699725
7,1815,SPARC,0.0295594789854516,0.661157024793388
7,1815,MS4A1,0.030439236406216,0.606060606060606
7,1815,CCL3,0.738697105260475,14.3801652892562
7,1815,CCL4,1.1249623732035,20.5509641873278
8,1705,OSM,0.173589477441152,3.28445747800587
8,1705,CXCR4,0.910841666276227,16.1290322580645
8,1705,MX1,0.0115437283659626,0.234604105571848
8,1705,PADI4,0.144813053577251,2.81524926686217
8,1705,FCGR3B,0.483006324546076,8.56304985337243
8,1705,FPR1,0.500425016409964,9.03225806451613
8,1705,S100A8,0.982196791332284,17.1847507331378
8,1705,S100A9,0.792037024295285,13.900293255132
8,1705,ISG15,0.0163537081378337,0.410557184750733
8,1705,IFIT1,0.00182025607575395,0.0586510263929619
8,1705,IFIT2,0.0594594994742485,1.17302052785924
8,1705,IFIT3,0.0735854277068063,1.34897360703812
8,1705,HLA-DRA,0.132275689266551,2.40469208211144
8,1705,CD74,0.420025745704117,7.97653958944282
8,1705,LTF,0.207166790319991,3.63636363636364
8,1705,BPI,0.0370239731049983,0.645161290322581
8,1705,CLC,0.0283939332927158,0.527859237536657
8,1705,SPARC,1.32670941182101,22.5219941348974
8,1705,MS4A1,0.0436364325310362,0.821114369501466
8,1705,CCL3,0.474240279472181,8.26979472140762
8,1705,CCL4,0.576507999820179,9.91202346041056
9,949,OSM,0.433582564842448,10.8535300316122
9,949,CXCR4,2.04510443871453,43.3087460484721
9,949,MX1,0.00468909381121636,0.210748155953635
9,949,PADI4,0.778999154006143,17.7028451001054
9,949,FCGR3B,0.779183131825147,18.1243414120126
9,949,FPR1,0.728308607331237,18.0189673340358
9,949,S100A8,5.38549759975055,86.3013698630137
9,949,S100A9,3.73814262760746,67.650158061117
9,949,ISG15,0.0103258174402313,0.316122233930453
9,949,IFIT1,0,0
9,949,IFIT2,0.0134518810510462,0.632244467860906
9,949,IFIT3,0.03602085961131,0.948366701791359
9,949,HLA-DRA,0.0856806494614831,2.21285563751317
9,949,CD74,0.439656599561453,11.8018967334036
9,949,LTF,2.9580637254902,51.1064278187566
9,949,BPI,1.79851720773784,37.7239199157007
9,949,CLC,0.354640249787671,8.21917808219178
9,949,SPARC,0.00455055350942853,0.105374077976818
9,949,MS4A1,0.0356539729770148,0.737618545837724
9,949,CCL3,1.12789879962925,23.8145416227608
9,949,CCL4,1.29875005284527,26.6596417281349
10,612,OSM,0.425257791226874,10.1307189542484
10,612,CXCR4,1.75863450480578,37.2549019607843
10,612,MX1,0.024379111711215,0.490196078431373
10,612,PADI4,0.156581048792507,3.75816993464052
10,612,FCGR3B,0.570302805692641,12.5816993464052
10,612,FPR1,0.674536574396949,15.1960784313725
10,612,S100A8,1.8522348281428,38.8888888888889
10,612,S100A9,1.19604194119932,25.4901960784314
10,612,ISG15,0.00574139020825097,0.163398692810458
10,612,IFIT1,0.0156019844341136,0.326797385620915
10,612,IFIT2,0.0374643882522823,0.816993464052288
10,612,IFIT3,0.0988813304669678,2.28758169934641
10,612,HLA-DRA,0.0719663307973349,1.63398692810458
10,612,CD74,0.307060477305905,7.35294117647059
10,612,LTF,0.94405036017469,21.4052287581699
10,612,BPI,0.259888258893462,5.88235294117647
10,612,CLC,0,0
10,612,SPARC,0.0313529402899597,0.65359477124183
10,612,MS4A1,0.0158616500174841,0.326797385620915
10,612,CCL3,0.751800026121007,16.8300653594771
10,612,CCL4,1.07644873087065,23.5294117647059
11,330,OSM,0.854040041351548,24.8484848484849
11,330,CXCR4,3.9074413881133,79.3939393939394
11,330,MX1,0.324751165533499,10.6060606060606
11,330,PADI4,0.365380945283128,11.5151515151515
11,330,FCGR3B,3.00769802020417,66.969696969697
11,330,FPR1,2.8457367724672,67.5757575757576
11,330,S100A8,3.84119872869477,74.2424242424243
11,330,S100A9,3.6945586191235,69.0909090909091
11,330,ISG15,0.155524485510389,5.15151515151515
11,330,IFIT1,0.0966298083557924,3.33333333333333
11,330,IFIT2,0.568582176206765,17.2727272727273
11,330,IFIT3,0.431543408928882,13.3333333333333
11,330,HLA-DRA,3.40685884458843,63.6363636363636
11,330,CD74,4.39646777286025,71.8181818181818
11,330,LTF,0.244611421972888,7.27272727272727
11,330,BPI,0.0712171731271004,1.51515151515152
11,330,CLC,0.0258364715832805,0.909090909090909
11,330,SPARC,0.0507091854011779,1.81818181818182
11,330,MS4A1,2.35420537526044,53.6363636363636
11,330,CCL3,0.241374767671679,6.66666666666667
11,330,CCL4,0.508625027877044,12.1212121212121
12,3,OSM,0,0
12,3,CXCR4,0,0
12,3,MX1,0,0
12,3,PADI4,0,0
12,3,FCGR3B,0,0
12,3,FPR1,1.82562065277043,33.3333333333333
12,3,S100A8,1.82562065277043,33.3333333333333
12,3,S100A9,1.82562065277043,33.3333333333333
12,3,ISG15,0,0
12,3,IFIT1,0,0
12,3,IFIT2,0,0
12,3,IFIT3,0,0
12,3,HLA-DRA,0,0
12,3,CD74,1.82562065277043,33.3333333333333
12,3,LTF,0,0
12,3,BPI,0,0
12,3,CLC,0,0
12,3,SPARC,0,0
12,3,MS4A1,0,0
12,3,CCL3,3.51747333159146,66.6666666666667
12,3,CCL4,2.10115037674693,33.3333333333333
13,3,OSM,0,0
13,3,CXCR4,0,0
13,3,MX1,0,0
13,3,PADI4,0,0
13,3,FCGR3B,0,0
13,3,FPR1,0,0
13,3,S100A8,0,0
13,3,S100A9,0,0
13,3,ISG15,0,0
13,3,IFIT1,0,0
13,3,IFIT2,0,0
13,3,IFIT3,0,0
13,3,HLA-DRA,0,0
13,3,CD74,0,0
13,3,LTF,0,0
13,3,BPI,0,0
13,3,CLC,0,0
13,3,SPARC,0,0
13,3,MS4A1,0,0
13,3,CCL3,0,0
13,3,CCL4,0,0
14,2,OSM,0,0
14,2,CXCR4,0,0
14,2,MX1,0,0
14,2,PADI4,0,0
14,2,FCGR3B,0,0
14,2,FPR1,0,0
14,2,S100A8,2.88972418619917,50
14,2,S100A9,0,0
14,2,ISG15,0,0
14,2,IFIT1,0,0
14,2,IFIT2,0,0
14,2,IFIT3,0,0
14,2,HLA-DRA,0,0
14,2,CD74,0,0
14,2,LTF,0,0
14,2,BPI,0,0
14,2,CLC,0,0
14,2,SPARC,0,0
14,2,MS4A1,0,0
14,2,CCL3,0,0
14,2,CCL4,3.23552457402042,50
15,2,OSM,0,0
15,2,CXCR4,2.78827350524425,50
15,2,MX1,0,0
15,2,PADI4,0,0
15,2,FCGR3B,0,0
15,2,FPR1,0,0
15,2,S100A8,0,0
15,2,S100A9,0,0
15,2,ISG15,0,0
15,2,IFIT1,0,0
15,2,IFIT2,0,0
15,2,IFIT3,0,0
15,2,HLA-DRA,0,0
15,2,CD74,0,0
15,2,LTF,0,0
15,2,BPI,0,0
15,2,CLC,0,0
15,2,SPARC,0,0
15,2,MS4A1,0,0
15,2,CCL3,0,0
15,2,CCL4,0,0
16,2,OSM,0,0
16,2,CXCR4,4.98044913953567,100
16,2,MX1,0,0
16,2,PADI4,0,0
16,2,FCGR3B,1.94905512256906,50
16,2,FPR1,1.61252017994877,50
16,2,S100A8,0,0
16,2,S100A9,0,0
16,2,ISG15,0,0
16,2,IFIT1,0,0
16,2,IFIT2,0,0
16,2,IFIT3,0,0
16,2,HLA-DRA,0,0
16,2,CD74,4.28969659420548,100
16,2,LTF,0,0
16,2,BPI,0,0
16,2,CLC,0,0
16,2,SPARC,0,0
16,2,MS4A1,0,0
16,2,CCL3,1.94905512256906,50
16,2,CCL4,2.69314421391045,50
17,2,OSM,3.13389979504641,50
17,2,CXCR4,2.90606924964691,50
17,2,MX1,0,0
17,2,PADI4,0,0
17,2,FCGR3B,0,0
17,2,FPR1,0,0
17,2,S100A8,2.90606924964691,50
17,2,S100A9,0,0
17,2,ISG15,0,0
17,2,IFIT1,0,0
17,2,IFIT2,0,0
17,2,IFIT3,0,0
17,2,HLA-DRA,0,0
17,2,CD74,0,0
17,2,LTF,0,0
17,2,BPI,0,0
17,2,CLC,0,0
17,2,SPARC,0,0
17,2,MS4A1,0,0
17,2,CCL3,0,0
17,2,CCL4,2.90606924964691,50
18,2,OSM,0,0
18,2,CXCR4,0,0
18,2,MX1,0,0
18,2,PADI4,0,0
18,2,FCGR3B,0,0
18,2,FPR1,0,0
18,2,S100A8,0,0
18,2,S100A9,0,0
18,2,ISG15,0,0
18,2,IFIT1,0,0
18,2,IFIT2,0,0
18,2,IFIT3,0,0
18,2,HLA-DRA,0,0
18,2,CD74,0,0
18,2,LTF,0,0
18,2,BPI,0,0
18,2,CLC,0,0
18,2,SPARC,0,0
18,2,MS4A1,0,0
18,2,CCL3,0,0
18,2,CCL4,0,0
19,2,OSM,2.70408389373936,50
19,2,CXCR4,0,0
19,2,MX1,0,0
19,2,PADI4,0,0
19,2,FCGR3B,0,0
19,2,FPR1,0,0
19,2,S100A8,0,0
19,2,S100A9,0,0
19,2,ISG15,0,0
19,2,IFIT1,0,0
19,2,IFIT2,0,0
19,2,IFIT3,0,0
19,2,HLA-DRA,0,0
19,2,CD74,0,0
19,2,LTF,0,0
19,2,BPI,0,0
19,2,CLC,0,0
19,2,SPARC,0,0
19,2,MS4A1,0,0
19,2,CCL3,5.76483164482004,100
19,2,CCL4,0,0
20,2,OSM,3.70886367840825,100
20,2,CXCR4,4.73034650628769,100
20,2,MX1,0,0
20,2,PADI4,0,0
20,2,FCGR3B,0,0
20,2,FPR1,3.70204970130745,100
20,2,S100A8,3.03330006069093,100
20,2,S100A9,0,0
20,2,ISG15,0,0
20,2,IFIT1,0,0
20,2,IFIT2,0,0
20,2,IFIT3,0,0
20,2,HLA-DRA,0,0
20,2,CD74,0,0
20,2,LTF,1.5387467614,50
20,2,BPI,0,0
20,2,CLC,0,0
20,2,SPARC,0,0
20,2,MS4A1,0,0
20,2,CCL3,4.15307038737025,100
20,2,CCL4,1.87366694957404,50
21,2,OSM,0,0
21,2,CXCR4,5.89570446259355,100
21,2,MX1,0,0
21,2,PADI4,0,0
21,2,FCGR3B,2.10729684518684,50
21,2,FPR1,2.45016213663929,50
21,2,S100A8,2.10729684518684,50
21,2,S100A9,2.10729684518684,50
21,2,ISG15,0,0
21,2,IFIT1,0,0
21,2,IFIT2,0,0
21,2,IFIT3,0,0
21,2,HLA-DRA,0,0
21,2,CD74,0,0
21,2,LTF,0,0
21,2,BPI,0,0
21,2,CLC,0,0
21,2,SPARC,0,0
21,2,MS4A1,0,0
21,2,CCL3,0,0
21,2,CCL4,0,0
22,2,OSM,2.9585999337598,50
22,2,CXCR4,5.6254073590963,100
22,2,MX1,0,0
22,2,PADI4,0,0
22,2,FCGR3B,0,0
22,2,FPR1,2.32264132525047,50
22,2,S100A8,5.97337764494132,100
