"ligand","module","gene","prior_weight","percentile","top_decile"
"C5","Degranulation","LTF",0.00303704586464017,0.890423635865095,FALSE
"C5","Degranulation","BPI",0.00106459537038038,0.170037016726076,FALSE
"C5","Degranulation","CAMP",0.00221408790316835,0.62061283246504,FALSE
"C5","Degranulation","LCN2",0.00375536800306551,0.96356594461201,TRUE
"C5","Degranulation","MMP8",0.00155284267953592,0.287325198793529,FALSE
"C5","Degranulation","MMP9",0.00758047483495906,0.997497943515218,TRUE
"C5","Degranulation","OLFM4",0.00227835745218849,0.650157663833288,FALSE
"C5","Degranulation","CEACAM8",0.000812565140710926,0.136721963257472,FALSE
"C5","Degranulation","FCGR3B",0.000690172766146862,0.123766109130792,FALSE
"C5","Oxidative_burst","CYBB",0.00156424102052097,0.291780915821223,FALSE
"C5","Oxidative_burst","CYBA",0.00262400113341817,0.794591445023307,FALSE
"C5","Oxidative_burst","NCF1",0.00156723125270485,0.293083356183164,FALSE
"C5","Oxidative_burst","NCF2",0.00313287872921385,0.905161776802852,TRUE
"C5","Oxidative_burst","NCF4",0.00181497386440673,0.406190019193858,FALSE
"C5","Oxidative_burst","RAC2",0.00300661978479637,0.884802577460927,FALSE
"C5","Oxidative_burst","MPO",0.00307701785305403,0.896044694269262,FALSE
"C5","Chemotaxis","CXCR1",0.00140126041512087,0.236598574170551,FALSE
"C5","Chemotaxis","CXCR2",0.00188448093316217,0.443823690704689,FALSE
"C5","Chemotaxis","CXCR4",0.064617041895892,0.999485878804497,TRUE
"C5","Chemotaxis","FPR1",0.00209542817622792,0.560769125308473,FALSE
"C5","Chemotaxis","FPR2",0.00222084534595521,0.623560460652591,FALSE
"C5","Chemotaxis","C5AR1",0.00226988979909352,0.6467301891966,FALSE
"C5","Chemotaxis","CCR1",0.00199816861287136,0.507986015903482,FALSE
"C5","Chemotaxis","CCRL2",0.00259259538830376,0.783623526185906,FALSE
"C5","Hypoxia_glycolysis","HIF1A",0.00481807119362793,0.988997806416232,TRUE
"C5","Hypoxia_glycolysis","SLC2A1",0.00503587914988083,0.991602687140115,TRUE
"C5","Hypoxia_glycolysis","HK2",0.00358359270452602,0.952049629832739,TRUE
"C5","Hypoxia_glycolysis","PFKP",0.0028775818818937,0.860124760076775,FALSE
"C5","Hypoxia_glycolysis","GAPDH",0.00484596662298736,0.989272004387168,TRUE
"C5","Hypoxia_glycolysis","PGK1",0.00379567175794287,0.965142582944886,TRUE
"C5","Hypoxia_glycolysis","LDHA",0.00426113343573326,0.980154921853578,TRUE
"C5","Hypoxia_glycolysis","ENO1",0.00422084978683649,0.979126679462572,TRUE
