scope,state,program,group,n_DSS,n_treatment,effect,low,high,p,q
Level 2,Epithelial/stromal mixed,Inflammatory chemokines,FAP ablation,6,3,-1.7514158209957964,-2.0072667962311193,-1.503818354742159,0.023809523809523808,0.04285714285714286
Level 2,Epithelial/stromal mixed,Interferon response,FAP ablation,6,3,0.11051977441886063,-0.03956807592329703,0.2592440902239,0.38095238095238093,0.42857142857142855
Level 2,Epithelial/stromal mixed,Barrier / junctions,FAP ablation,6,3,1.2033872785603528,0.7086242452767464,1.5745351504257343,0.023809523809523808,0.04285714285714286
Level 2,Epithelial/stromal mixed,Mucus / secretory,FAP ablation,6,3,1.74991250819241,1.4569586103273195,2.049819207427423,0.023809523809523808,0.04285714285714286
Level 2,Epithelial/stromal mixed,Injury-associated regeneration,FAP ablation,6,3,0.5022024373926639,0.1049192612450724,0.8304068150196775,0.09523809523809523,0.13172961492289223
Level 2,Epithelial/stromal mixed,Absorptive differentiation,FAP ablation,6,3,1.8544345783403386,1.414472171599183,2.2388352141483514,0.023809523809523808,0.04285714285714286
Level 3,Satb2+ epithelial-like transitional cell,Inflammatory chemokines,FAP ablation,6,3,-1.7514158209957964,-2.0123129565868423,-1.4974808825119843,0.023809523809523808,0.04464285714285714
Level 3,Satb2+ epithelial-like transitional cell,Interferon response,FAP ablation,6,3,0.11051977441886063,-0.04626105429440092,0.26033346220449616,0.38095238095238093,0.4395604395604395
Level 3,Satb2+ epithelial-like transitional cell,Barrier / junctions,FAP ablation,6,3,1.2033872785603528,0.6882305606134558,1.5738721708508931,0.023809523809523808,0.04464285714285714
Level 3,Satb2+ epithelial-like transitional cell,Mucus / secretory,FAP ablation,6,3,1.74991250819241,1.446737870526394,2.0471790520092723,0.023809523809523808,0.04464285714285714
Level 3,Satb2+ epithelial-like transitional cell,Injury-associated regeneration,FAP ablation,6,3,0.5022024373926639,0.11475800499778188,0.8344591196516626,0.09523809523809523,0.13605442176870747
Level 3,Satb2+ epithelial-like transitional cell,Absorptive differentiation,FAP ablation,6,3,1.8544345783403386,1.4184787950262159,2.2336935084656617,0.023809523809523808,0.04464285714285714
Level 3,Mature absorptive colonocyte,Inflammatory chemokines,FAP ablation,6,4,-4.078822361137182,-5.115818599632056,-3.0768285509016753,0.009523809523809525,0.02380952380952381
Level 3,Mature absorptive colonocyte,Inflammatory chemokines,alpha5beta1 blockade,6,12,-1.4957474656992074,-2.0458792110714583,-0.9421692422795088,0.00043094160741219563,0.006464124111182934
Level 3,Mature absorptive colonocyte,Interferon response,FAP ablation,6,4,-0.06626394807420066,-1.3067407984064232,1.137678447661022,0.9142857142857143,0.9142857142857143
Level 3,Mature absorptive colonocyte,Interferon response,alpha5beta1 blockade,6,12,-0.4451311535801745,-1.2821404050582412,0.5085730908934536,0.21288515406162467,0.277676287906467
Level 3,Mature absorptive colonocyte,Barrier / junctions,FAP ablation,6,4,-0.9440520696925496,-1.3994685119609311,-0.5723917169732973,0.009523809523809525,0.02380952380952381
Level 3,Mature absorptive colonocyte,Barrier / junctions,alpha5beta1 blockade,6,12,-0.2826597369512873,-0.5238536832310792,-0.032895211862963125,0.041478129713423836,0.06549178375803764
Level 3,Mature absorptive colonocyte,Mucus / secretory,FAP ablation,6,4,3.0075161385063547,2.0014546431396365,3.9972676350369176,0.009523809523809525,0.02380952380952381
