key,sample_uid,group,scope,state,n_cells,program,score
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Inflammatory chemokines,5.016973651726662
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Interferon response,2.9123043476875314
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Barrier / junctions,6.308788080487218
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Mucus / secretory,4.95992448198476
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Injury-associated regeneration,5.665371073312938
All epithelial___All epithelial___FAPTK__D2,FAPTK__D2,DSS,All epithelial,All epithelial,568,Absorptive differentiation,6.236210703159614
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Inflammatory chemokines,5.076895942274711
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Interferon response,1.779298300407868
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Barrier / junctions,6.442945062820076
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Mucus / secretory,5.4778233303878485
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Injury-associated regeneration,5.394305498470946
All epithelial___All epithelial___FAPTK__D1,FAPTK__D1,DSS,All epithelial,All epithelial,1251,Absorptive differentiation,6.251583473871541
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Inflammatory chemokines,4.3621514484588655
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Interferon response,1.815526250269507
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Barrier / junctions,6.316471939013062
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Mucus / secretory,5.895176578410903
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Injury-associated regeneration,5.154920269584011
All epithelial___All epithelial___FAPTK__D3,FAPTK__D3,DSS,All epithelial,All epithelial,486,Absorptive differentiation,5.788769371565903
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Inflammatory chemokines,5.185024584100533
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Interferon response,1.6385549159154873
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Barrier / junctions,6.648502537477949
