"key","scope","state","sample_uid","n_cells"
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M20","Level 3","Mature absorptive colonocyte","Merged_a5B1__M20",760
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M14","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M14",831
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M24","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M24",3561
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M19","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M19",253
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M23","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M23",610
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M19","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M19",4445
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M17","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M17",533
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M16","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M16",513
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M13","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M13",78
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M23","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M23",5762
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M24","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M24",322
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M19","Level 3","Mature absorptive colonocyte","Merged_a5B1__M19",611
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M16","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M16",543
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M18","Level 3","Mature absorptive colonocyte","Merged_a5B1__M18",327
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M18","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M18",370
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M24","Level 3","Mature absorptive colonocyte","Merged_a5B1__M24",509
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M16","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M16",6535
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M20","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M20",345
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M16","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M16",1121
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M15","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M15",314
"Level 3___Enteroendocrine cell___Merged_a5B1__M22","Level 3","Enteroendocrine cell","Merged_a5B1__M22",2
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M19","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M19",358
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M18","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M18",189
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M20","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M20",289
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M19","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M19",18
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M21","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M21",294
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M20","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M20",37
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M20","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M20",184
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M19","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M19",142
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M15","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M15",67
"Level 3___IFN-responsive absorptive colonocyte___Merged_a5B1__M16","Level 3","IFN-responsive absorptive colonocyte","Merged_a5B1__M16",20
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M13","Level 3","Mature absorptive colonocyte","Merged_a5B1__M13",88
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M15","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M15",98
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M22","Level 3","Mature absorptive colonocyte","Merged_a5B1__M22",628
"Level 3___Zg16+ secretory epithelial___Merged_a5B1__M17","Level 3","Zg16+ secretory epithelial","Merged_a5B1__M17",79
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M15","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M15",271
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M21","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M21",23
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M24","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M24",143
"Level 3___Enteroendocrine cell___Merged_a5B1__M24","Level 3","Enteroendocrine cell","Merged_a5B1__M24",4
"Level 3___Injury/inflammatory epithelial___Merged_a5B1__M22","Level 3","Injury/inflammatory epithelial","Merged_a5B1__M22",275
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M14","Level 3","Mature absorptive colonocyte","Merged_a5B1__M14",107
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M22","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M22",235
"Level 3___Enteroendocrine cell___Merged_a5B1__M23","Level 3","Enteroendocrine cell","Merged_a5B1__M23",84
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M20","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M20",17
"Level 3___Enteroendocrine cell___Merged_a5B1__M16","Level 3","Enteroendocrine cell","Merged_a5B1__M16",90
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M14","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M14",9
