sample,group,subset,kind,marker,events,median,mean,eligible
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,CD11b,49,9679.730982769082,10936.25881168891,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,CD45,49,8416.833502819225,10573.948157978413,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,Ly6G,49,17502.575767439357,19579.95494444807,True
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,F4/80,49,-1819.252660951892,-1570.0255139232834,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,OSM,168,14634.501167323779,17792.8970396905,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,CXCR4,168,3272.2522436463,5132.655411650202,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,MX1,168,6276.336293134491,7573.528956364824,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,PADI4,168,4111.028886447717,5617.8821155856085,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,NAMPT,168,586.0832545015494,711.7731838070747,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,CD177,168,-13882.806933409061,-14934.052445311503,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,CD11b,168,14558.662230161015,17658.14077690053,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,CD45,168,20140.591782797925,25051.63878160242,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,Ly6G,168,32134.923976475897,37737.326153869144,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,F4/80,168,-4413.585223311515,-4954.292626095752,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,OSM,165,18439.13303296098,21405.313822015938,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,CXCR4,165,2688.565742989682,3378.59975210544,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,MX1,165,6772.80244397042,7879.7496667786645,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,PADI4,165,3025.5664426984526,4223.1560877182665,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,NAMPT,165,602.8701799186306,717.7101672808669,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,CD177,165,-12507.904964556734,-14565.875084827736,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,CD11b,165,14476.236019969661,17758.72965022941,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,CD45,165,17762.359482323813,21795.291901790442,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,Ly6G,165,34597.0095138427,41159.849421045255,True
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,F4/80,165,-5322.107215153753,-6123.299667794639,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,OSM,147,12910.863010613079,16311.300148256054,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,CXCR4,147,2973.82097595025,3766.9137724722755,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,MX1,147,4832.60138914595,6216.3209513287975,True
