sample,group,subset,kind,events,denominator_events,value
WD3,WD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,7,261,2.681992337164751
WD3,WD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: OSM+ & MX1+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,261,0.0
WD3,WD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,7,261,2.681992337164751
WD3,WD,F4/80 gate overlap,gate overlap,38,261,14.559386973180077
WD3,WD,Outside F4/80 gate,gate overlap,223,261,85.44061302681992
WD4,WD,All neutrophils / viable cells,total abundance,337,41798,0.8062586726637638
WD4,WD,All neutrophils / CD45-CD11b gate,total abundance,337,2591,13.006561173292166
WD4,WD,Saved: cd177+ all neutrophil,saved gate,73,337,21.661721068249257
WD4,WD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,3,337,0.8902077151335311
WD4,WD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,0,337,0.0
WD4,WD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,337,0.0
WD4,WD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,337,0.0
WD4,WD,Saved: cd177+ all neutrophil/padi4+,saved gate,13,337,3.857566765578635
WD4,WD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,2,337,0.5934718100890207
WD4,WD,Saved: cd177- all neutrophils,saved gate,256,337,75.96439169139465
WD4,WD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,5,337,1.4836795252225519
WD4,WD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,22,337,6.528189910979228
WD4,WD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,13,337,3.857566765578635
WD4,WD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,9,337,2.6706231454005933
WD4,WD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,6,337,1.7804154302670623
WD4,WD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,1,337,0.29673590504451036
WD4,WD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,48,337,14.243323442136498
WD4,WD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,58,337,17.2106824925816
WD4,WD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,4,337,1.1869436201780414
WD4,WD,Saved: cxcr4+,saved gate,89,337,26.409495548961424
WD4,WD,Saved: cxcr4+/cd177 hi,saved gate,4,337,1.1869436201780414
