subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/cxcr4- mx1+,F4/80,saved gate,Exploratory subset MFI,2,3,306.004094193182,-2818.1741527668714,-321.99549040671104,934.0036787930751,-2993.965056196398,-2252.357978325797,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,OSM,saved gate,Exploratory subset MFI,1,3,8583.497454400047,9182.956004984002,8583.497454400047,8583.497454400047,8834.532584871413,10867.28711754602,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,CXCR4,saved gate,Exploratory subset MFI,1,3,-23.99335955293376,772.7633510945735,-23.99335955293376,-23.99335955293376,693.531880239342,781.2755807356491,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,MX1,saved gate,Exploratory subset MFI,1,3,2267.6958186974853,2526.847739233667,2267.6958186974853,2267.6958186974853,2512.7432779613264,3041.2596811810217,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,PADI4,saved gate,Exploratory subset MFI,1,3,-3953.9198147760026,168.3766666583213,-3953.9198147760026,-3953.9198147760026,-735.6809675722375,522.4124722634541,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,NAMPT,saved gate,Exploratory subset MFI,1,3,81.47233541215897,225.4385714011849,81.47233541215897,81.47233541215897,218.09751171205406,324.91802658211486,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,CD177,saved gate,Exploratory subset MFI,1,3,-4533.504311582402,-6941.412079567498,-4533.504311582402,-4533.504311582402,-7296.3052711216405,-6138.146136255504,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,CD11b,saved gate,Exploratory subset MFI,1,3,12034.816633499344,9679.730982769082,12034.816633499344,12034.816633499344,9254.137253207162,10482.514898637284,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,CD45,saved gate,Exploratory subset MFI,1,3,6876.202157503733,8416.833502819225,6876.202157503733,6876.202157503733,8033.529506369465,9685.447239775578,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/cxcr4- osm+,Ly6G,saved gate,Exploratory subset MFI,1,3,9425.895648939008,17502.575767439357,9425.895648939008,9425.895648939008,13706.674448575342,19704.29083137287,insufficient mice with >=20 subset events,,,,,,170.0,
