cell_ID,PatientID,Diagnosis2,cell_type,a5B1_cell_raw,a5B1_cell_clr,higher_signal_posterior,a5B1_positive,previous_a5B1_high
P01_2367,P01,Control,Fibroblast,1.8282,0.353353191841375,0.007768686724543634,False,False
P01_2388,P01,Control,Fibroblast,3.7405,0.552674218247275,0.007530103794594575,False,False
P01_2389,P01,Control,Fibroblast,1.0215,0.223101441671289,0.010395117755788512,False,False
P01_2390,P01,Control,Fibroblast,5.0685,0.701496359511499,0.008870038570917654,False,False
P01_2400,P01,Control,Fibroblast,3.5785,0.667880666874744,0.007427021013368168,False,False
P01_2401,P01,Control,Fibroblast,4.658,0.735211135911264,0.008368845142168835,False,False
P01_2405,P01,Control,Fibroblast,3.4424,0.578068774727743,0.007352349126023853,False,False
P01_2409,P01,Control,Fibroblast,2.7595,0.437266649404837,0.0071729909369854065,False,False
P01_242,P01,Control,Fibroblast,4.6966,0.579219373809415,0.008412812540850788,False,False
P01_2433,P01,Control,Fibroblast,3.9498,0.613824528626751,0.007684674681017218,False,False
P01_2435,P01,Control,Fibroblast,1.3909,0.193046696560839,0.008751110171175795,False,False
P01_2456,P01,Control,Fibroblast,1.1196,0.248299230451295,0.00984887581493707,False,False
P01_2486,P01,Control,Fibroblast,2.4297,0.338558876633527,0.007237447125690966,False,False
P01_2488,P01,Control,Fibroblast,8.5933,0.981188040702226,0.016277712829055574,False,True
P01_2495,P01,Control,Fibroblast,9.4542,1.08098266295333,0.019048221539366566,False,True
P01_25,P01,Control,Fibroblast,4.6056,0.560393873637007,0.008310225131265834,False,False
P01_2505,P01,Control,Fibroblast,0.9904,0.231420022308335,0.010590021512086548,False,False
P01_251,P01,Control,Fibroblast,3.6834,0.646040236490777,0.007492067155407472,False,False
P01_2514,P01,Control,Fibroblast,2.309,0.392149806570559,0.00729432396116951,False,False
P01_2517,P01,Control,Fibroblast,7.0273,0.837920486332711,0.012268647709603868,False,False
P01_2523,P01,Control,Fibroblast,1.68,0.494444741602779,0.008024090469908521,False,False
P01_2526,P01,Control,Fibroblast,1.7949,0.279458023375633,0.00782050124104971,False,False
P01_254,P01,Control,Fibroblast,3.7231,0.459047616503862,0.007518320193342913,False,False
P01_2554,P01,Control,Fibroblast,1.3271,0.232560664292616,0.008965090635364712,False,False
P01_2571,P01,Control,Fibroblast,3.6074,0.550087544343728,0.0074443055853991615,False,False
P01_2579,P01,Control,Fibroblast,2.7139,0.462515725158746,0.0071749101107443725,False,False
P01_2586,P01,Control,Fibroblast,3.1569,0.422892165799623,0.007234495944598801,False,False
P01_2596,P01,Control,Fibroblast,4.9405,0.779199861336913,0.00870585298060256,False,False
P01_2599,P01,Control,Fibroblast,1.3422,0.189226132226435,0.008912330714586091,False,False
P01_2615,P01,Control,Fibroblast,3.2162,0.441697995947434,0.007254373557637679,False,False
P01_2619,P01,Control,Fibroblast,3.4188,0.549066506303265,0.007340562555323821,False,False
P01_2623,P01,Control,Fibroblast,4.4163,0.634277308827757,0.00810881376753689,False,False
P01_2625,P01,Control,Fibroblast,3.38,0.469627932013415,0.007321954689530299,False,False
P01_2640,P01,Control,Fibroblast,2.816,0.458634060711429,0.007173397979019374,False,False
P01_2642,P01,Control,Fibroblast,7.7701,0.879877025064613,0.01401489651344284,False,False
P01_2643,P01,Control,Fibroblast,2.4169,0.434240390412032,0.00724253822227509,False,False
P01_2647,P01,Control,Fibroblast,3.1118,0.560851164195299,0.007221097541830145,False,False
P01_265,P01,Control,Fibroblast,8.5714,1.05690219890814,0.016212791769735523,False,True
P01_2657,P01,Control,Fibroblast,9.6814,1.44777468130331,0.019853638577580168,False,True
P01_267,P01,Control,Fibroblast,4.8357,0.667273644221695,0.008576735045510406,False,False
P01_2671,P01,Control,Fibroblast,1.6327,0.282649397619267,0.008120217236506041,False,False
P01_2677,P01,Control,Fibroblast,1.1314,0.269228590070841,0.00978949226015784,False,False
P01_2683,P01,Control,Fibroblast,6.7366,0.941166985925323,0.011656732332456822,False,True
P01_2705,P01,Control,Fibroblast,2.7816,0.433296177351185,0.007172789730184669,False,False
P01_2707,P01,Control,Fibroblast,1.6911,0.254812822679786,0.008002627704617593,False,False
P01_271,P01,Control,Fibroblast,2.0502,0.357322357817482,0.007492819478598218,False,False
P01_2726,P01,Control,Fibroblast,3.1444,0.434688606071182,0.007230631455799077,False,False
P01_2729,P01,Control,Fibroblast,3.9594,0.547903222516808,0.007692317874314176,False,False
P01_2738,P01,Control,Fibroblast,2.6977,0.452604229724625,0.0071760909364763726,False,False
P01_2745,P01,Control,Fibroblast,1.2114,0.136975691783487,0.009418160992305202,False,False
P01_2753,P01,Control,Fibroblast,2.3092,0.439150932008778,0.0072942126825397075,False,False
P01_2757,P01,Control,Fibroblast,1.7406,0.404670508157416,0.007911713778287009,False,False
P01_277,P01,Control,Fibroblast,3.5104,0.533715807797153,0.0073882504207347455,False,False
P01_2770,P01,Control,Fibroblast,2.8018,0.389990626924869,0.007173012418941972,False,False
P01_2775,P01,Control,Fibroblast,0.8129,0.180838868558421,0.011957396153359348,False,False
P01_2795,P01,Control,Fibroblast,2.9175,0.471703291666975,0.007181472469172326,False,False
P01_2797,P01,Control,Fibroblast,1.8962,0.323907424082947,0.007671923217175036,False,False
P01_2799,P01,Control,Fibroblast,1.4852,0.276211483838985,0.00847422828293529,False,False
P01_2811,P01,Control,Fibroblast,1.5069,0.270407845810221,0.008416490037884607,False,False
P01_2826,P01,Control,Fibroblast,1.0215,0.148555131899585,0.010395117755788512,False,False
P01_2852,P01,Control,Fibroblast,1.7382,0.300090071002825,0.007915946117957581,False,False
P01_2865,P01,Control,Fibroblast,1.1984,0.275850317247045,0.009474990929215143,False,False
P01_2872,P01,Control,Fibroblast,1.2639,0.323665906206942,0.009201329119833962,False,False
P01_2881,P01,Control,Fibroblast,2.863,0.530013183844922,0.007175994678706697,False,False
P01_2888,P01,Control,Fibroblast,5.3796,0.783699162727213,0.00929853632734398,False,False
P01_2889,P01,Control,Fibroblast,1.318,0.253244937373081,0.008997549013394713,False,False
P01_289,P01,Control,Fibroblast,1.2226,0.280912371244173,0.00937022623665261,False,False
P01_2891,P01,Control,Fibroblast,0.9373,0.227720721413171,0.01095053336872182,False,False
P01_2899,P01,Control,Fibroblast,1.4922,0.308148109604645,0.008455372790868042,False,False
P01_29,P01,Control,Fibroblast,1.9522,0.294767279943166,0.007600717863128949,False,False
P01_2901,P01,Control,Fibroblast,1.3983,0.280380635188067,0.00872775592107755,False,False
P01_2903,P01,Control,Fibroblast,1.3886,0.315675810284877,0.008758428646838025,False,False
P01_2907,P01,Control,Fibroblast,2.8082,0.498733781510716,0.0071731629502696645,False,False
P01_2909,P01,Control,Fibroblast,3.0181,0.62073251629721,0.007198208959568673,False,False
P01_2942,P01,Control,Fibroblast,0.8308,0.204650564163358,0.011796572691766557,False,False
P01_2943,P01,Control,Fibroblast,1.4097,0.263609850812848,0.008692344252146336,False,False
P01_2944,P01,Control,Fibroblast,4.434,0.898762014079527,0.008126950986857303,False,False
P01_2945,P01,Control,Fibroblast,3.6138,0.812160966079512,0.007448199320149424,False,False
P01_2953,P01,Control,Fibroblast,5.713,1.06232304029717,0.00980381057281018,False,True
P01_2955,P01,Control,Fibroblast,1.1926,0.347854777825357,0.009500767169770127,False,False
P01_2956,P01,Control,Fibroblast,4.5061,0.645662882315213,0.008202321555328868,False,False
P01_2959,P01,Control,Fibroblast,1.184,0.245499796708847,0.009539474599998125,False,False
P01_296,P01,Control,Fibroblast,0.8627,0.207906004531072,0.011524084418745882,False,False
P01_2961,P01,Control,Fibroblast,4.9235,0.901426907373551,0.008684582401306401,False,False
P01_2965,P01,Control,Fibroblast,8.1086,1.43845201300511,0.014901996043954624,False,True
P01_2971,P01,Control,Fibroblast,8.2896,1.30045904301644,0.015400905296972812,False,True
P01_2974,P01,Control,Fibroblast,2.5397,0.401967227069702,0.007202215262465195,False,False
P01_298,P01,Control,Fibroblast,6.3275,0.96411500856476,0.010860746668690835,False,True
P01_2983,P01,Control,Fibroblast,14.3644,1.95760258032261,0.04515665569545996,False,True
P01_2984,P01,Control,Fibroblast,12.5335,1.84405684511426,0.03305290647568775,False,True
P01_2985,P01,Control,Fibroblast,7.5092,1.28396097456144,0.013370848293489761,False,True
P01_2990,P01,Control,Fibroblast,2.0949,0.388906342260547,0.0074500920808985936,False,False
P01_2996,P01,Control,Fibroblast,2.1994,0.532838517616238,0.0073645362873356315,False,False
P01_3003,P01,Control,Fibroblast,0.8864,0.253334888262279,0.01133264497921502,False,False
P01_3010,P01,Control,Fibroblast,8.8971,1.38627976858098,0.017206119402891955,False,True
P01_3012,P01,Control,Fibroblast,10.4942,1.52106764760715,0.023008769400633105,False,True
P01_3016,P01,Control,Fibroblast,3.3182,0.534478541901833,0.007294335460687111,False,False
P01_3021,P01,Control,Fibroblast,4.6611,1.18139098832061,0.008372351648033413,False,True
P01_3022,P01,Control,Fibroblast,3.25,0.694449110384322,0.007266821520154726,False,False
P01_3026,P01,Control,Fibroblast,6.2777,1.20593606334204,0.010768949917484448,False,True
P01_3031,P01,Control,Fibroblast,2.8025,0.523947450101646,0.007173027019081948,False,False
P01_3048,P01,Control,Fibroblast,3.0875,0.39958266659308,0.0072145106078449085,False,False
P01_3053,P01,Control,Fibroblast,9.347,1.07702033663349,0.018679291099571727,False,True
P01_3080,P01,Control,Fibroblast,5.2538,0.68706579866874,0.009120257688164641,False,False
