fibroblast_predictor	neutrophil_outcome	n_biopsies	rho	p_value	FDR
"frac_Activated crypt-top fibroblast"	"Recruitment_migration"	17	0.166666666666667	0.522603153588037	0.640928395909857
"OSM_response"	"Degranulation"	17	0.161764705882353	0.535075506276651	0.650091736597801
"FAP_inflammatory"	"Interferon"	17	0.156862745098039	0.547680584702937	0.653197027627356
"NFkB_AP1"	"NET_associated"	17	0.156862745098039	0.547680584702937	0.653197027627356
"FAP_inflammatory"	"NET_associated"	17	0.151960784313726	0.560415506280904	0.656342484833492
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil CXCR4"	17	0.151960784313726	0.560415506280904	0.656342484833492
"TGFb_response"	"Degranulation"	17	0.147058823529412	0.573277290866	0.66541114118375
"frac_Activated crypt-top fibroblast"	"Survival_immaturity"	17	0.139705882352941	0.592801081886076	0.681983545532653
"frac_Activated crypt-top fibroblast"	"Oxidative_burst"	17	0.137254901960784	0.599369052164824	0.683491024398483
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil OSM"	17	-0.129901960784314	0.619247336652413	0.700018728389685
"Neutrophil_recruitment"	"Interferon"	17	0.120098039215686	0.646142698586307	0.724125438070861
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil PADI4"	17	0.117647058823529	0.652933439953992	0.72548159994888
"YAP_mechanotransduction"	"Degranulation"	17	0.112745098039216	0.666592049963725	0.734381071993934
"NFkB_AP1"	"frac_Neutrophil MX1"	17	-0.104230553006108	0.690551540087258	0.754384035389441
"frac_Activated crypt-top fibroblast"	"Inflammatory"	17	0.0906862745098039	0.729235337448989	0.790004948903071
"Neutrophil_recruitment"	"NET_associated"	17	0.0882352941176471	0.736305151542122	0.791071650417155
"Alpha5Beta1_adhesion"	"frac_Neutrophil OSM"	17	0.0857843137254902	0.743395026137277	0.792142240965951
"frac_Activated crypt-top fibroblast"	"Tissue_injury"	17	-0.0833333333333333	0.750504450153402	0.793216085527986
"NFkB_AP1"	"Degranulation"	17	0.071078431372549	0.786326661978121	0.824374726267385
"NFkB_AP1"	"frac_Neutrophil OSM"	17	0.0612745098039216	0.815282850275457	0.847894164286475
"frac_Inflammatory fibroblast"	"NET_associated"	17	0.0416666666666667	0.873843532782525	0.901584597315303
"frac_Activated crypt-top fibroblast"	"Degranulation"	17	-0.0343137254901961	0.895980810455174	0.917145711489548
"frac_Inflammatory fibroblast"	"Interferon"	17	0.017156862745098	0.947890881823222	0.96270167685171
"ECM_remodeling"	"frac_Neutrophil OSM"	17	0.0147058823529412	0.955327485542882	0.962733124965695
"frac_Inflammatory fibroblast"	"frac_Neutrophil OSM"	17	0.0122549019607843	0.962767575388697	0.962767575388697
