analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"All fibroblasts"	5	"VPS13C"	-0.888815169071839	7.63027844995837	11.3342611345795	0.00462355512251579	0.167338234154655
"All fibroblasts"	5	"ANK3"	-1.46187354809644	6.16296021146079	10.8971918974109	0.00466794732503757	0.167902031253049
"All fibroblasts"	5	"ADH1C"	-2.26840590344599	6.44912851499421	10.6734182782521	0.00479531549765253	0.171425174262707
"All fibroblasts"	5	"ICAM1"	1.37135569104116	7.92535951692446	11.203138846516	0.00483524832343224	0.171798731589266
"All fibroblasts"	5	"SLC16A3"	2.39430631750972	6.49702025612535	10.7639298771919	0.0049173486931014	0.173656914149708
"All fibroblasts"	5	"BCL3"	1.05590572347796	7.64696853106896	11.1211872871251	0.00496715495097397	0.174359107827261
"All fibroblasts"	5	"BMP5"	-0.889066767180422	8.51854481434054	11.0837662706183	0.00500628657890905	0.174680430510797
"All fibroblasts"	5	"PTN"	-0.921012569018131	8.46942662229277	11.0392777896326	0.0050487732199474	0.175114294956152
"All fibroblasts"	5	"MEGF9"	-1.36234377699359	5.86563062201379	10.6138703807697	0.00507991350096056	0.175151810473948
"All fibroblasts"	5	"CTSL"	1.13050610248386	7.93665514649818	10.9693677310984	0.00514779096677044	0.17536197345148
"All fibroblasts"	5	"DSG2"	-1.50745554104292	6.07865417578909	10.5841372786048	0.00517426348700312	0.17536197345148
"All fibroblasts"	5	"THSD4"	-0.999222205042921	7.61668315029934	10.8954876827575	0.00517629302104934	0.17536197345148
"All fibroblasts"	5	"UGT2B17"	-1.93694182883678	6.16711050774716	10.5310369200896	0.00521023178562487	0.175491448640671
"All fibroblasts"	5	"TNFAIP6"	1.92624358479493	6.17124862309728	10.1794961792473	0.00540148180161122	0.180887554356256
"All fibroblasts"	5	"PCNX1"	1.15358422310442	7.07623556223386	10.6541087596284	0.00551727050102057	0.183709344053982
"All fibroblasts"	5	"METTL7A"	-0.940712232446063	8.32764216742504	10.6759555452131	0.0055933821690901	0.185185442609591
"All fibroblasts"	5	"CD9"	-1.04856354071516	7.77391399467766	10.6767607739254	0.00566216559188979	0.18640360962679
"All fibroblasts"	5	"CLIP2"	1.81773358045401	5.98399273844255	10.1194185938909	0.00574514207434024	0.18807271273697
"All fibroblasts"	5	"FIBIN"	1.31083689632193	6.6443648197434	10.1504977076227	0.00579470792934117	0.188635548068553
"All fibroblasts"	5	"RIPOR3"	1.09421456649758	6.93550917126063	10.3444623194715	0.00599444130767113	0.193767955911695
"All fibroblasts"	5	"FXYD1"	-1.78846146382543	7.28038636467185	10.3152753320125	0.0060188776420142	0.193767955911695
"All fibroblasts"	5	"MFAP4"	-0.821808617116763	10.8919131348735	10.439212950449	0.00607311289304386	0.194439718833882
"All fibroblasts"	5	"NR2F2"	-1.0809796911827	8.33410979867738	10.3450211048192	0.00623208041031131	0.198438975687891
"All fibroblasts"	5	"FN1"	-0.790192681240664	9.79740700647436	10.3091815071078	0.0063268698055216	0.199124756082569
"All fibroblasts"	5	"PIM3"	1.14664493820946	6.53221848293232	9.97663886942922	0.00634032750342022	0.199124756082569
"All fibroblasts"	5	"PXDN"	0.876637174432174	9.42147779335074	10.2962659553332	0.00635613602734818	0.199124756082569
"All fibroblasts"	5	"JAG1"	-1.06325958688427	6.75608632086956	9.9020887542644	0.00658335126329512	0.205140041771234
"All fibroblasts"	5	"RARRES1"	1.77839424131759	6.58247579516602	9.73814579494641	0.00663120783623193	0.205445633561424
"All fibroblasts"	5	"WARS"	0.896890748296984	8.97306615586995	10.1416290665227	0.00666367337276628	0.205445633561424
"All fibroblasts"	5	"RECK"	-1.21181186724984	6.68450977887565	9.98634511803636	0.00675429227261918	0.207143479329221
"All fibroblasts"	5	"SLCO2B1"	-1.33975344796772	7.00791213131579	9.86643534319034	0.00688861701938957	0.210156918177922
"All fibroblasts"	5	"CEACAM5"	-1.28993392395996	6.94257014206648	9.95078117962007	0.00696156965095033	0.211276387271289
"All fibroblasts"	5	"ADIRF"	-2.06918260947652	6.86689076038362	9.65066601663011	0.00736488807594807	0.219105600410135
"All fibroblasts"	5	"EML3"	1.57480352374949	6.172587352768	9.37885502237884	0.00738284339570733	0.219105600410135
"All fibroblasts"	5	"SCAP"	1.45323126183794	6.30523295087288	9.45892927015863	0.00748527130965359	0.219105600410135
"All fibroblasts"	5	"PPP1R1B"	-1.80148005137468	5.87421354924823	9.82560862795804	0.0074971049819911	0.219105600410135
"All fibroblasts"	5	"TSPAN9"	1.43328439347001	6.40283716522306	9.58449910075406	0.00750223901510785	0.219105600410135
"All fibroblasts"	5	"FKBP1A"	0.940079222279513	8.72540534257442	9.75141572836718	0.0075284911986762	0.219105600410135
"All fibroblasts"	5	"PHC2"	1.34254233893392	7.22829424485076	9.70541460805265	0.00758682395120541	0.219105600410135
"All fibroblasts"	5	"RSPO3"	-1.3456552162009	6.55220012131451	9.49448480783154	0.00760756449809824	0.219105600410135
"All fibroblasts"	5	"TARID"	-1.76490778893697	5.75852440120842	9.29169185793718	0.00762330341564431	0.219105600410135
