analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"Neutrophil CXCR4"	3	"IGKC"	1.81277255498805	12.4151698668158	29.7744111157209	1.01036726716094e-06	0.000530442815259495
"Neutrophil CXCR4"	3	"TFF3"	-3.08160561228336	9.83244484875341	20.8730609909344	2.41384162334613e-05	0.0063363342612836
"Neutrophil CXCR4"	3	"PLA2G2A"	-2.19661008684351	10.7483502983012	17.5025246486446	9.49812478847109e-05	0.0166217183798244
"Neutrophil CXCR4"	3	"JCHAIN"	1.9715992092224	10.2144717504557	8.03076741312399	0.00627599499756043	0.600027284240242
"Neutrophil CXCR4"	3	"PHGR1"	-2.01464887982156	10.3286092980882	8.10378559881558	0.00687272764271719	0.600027284240242
"Neutrophil CXCR4"	3	"AGR2"	-1.30278180122208	11.0102434522624	7.42901521442897	0.00843307362807182	0.600027284240242
"Neutrophil CXCR4"	3	"KRT8"	-2.13507504713751	9.49400340251615	7.33040920399391	0.00877931470837251	0.600027284240242
"Neutrophil CXCR4"	3	"ATP5MF"	-1.8896955704125	9.80955793527773	7.25532764426114	0.00914327290270845	0.600027284240242
"Neutrophil CXCR4"	3	"DMBT1"	-2.36497609573404	9.41208026319065	6.57202525820151	0.0128539148592283	0.749811700121649
"Neutrophil CXCR4"	3	"LGALS4"	-2.42656071796694	10.2866473450192	6.96981022652103	0.0150556751468236	0.790422945208241
"Neutrophil CXCR4"	3	"CLCA1"	-2.09456118168983	9.60386766797662	5.87260631913807	0.0183833397893189	0.863048333693884
"Neutrophil CXCR4"	3	"TOP1"	-1.71156225021281	9.39688150039938	5.73385122287685	0.0197268190558602	0.863048333693884
"Neutrophil CXCR4"	3	"UBA52"	-1.18460610196847	10.6481001581453	4.92401248653944	0.0303300622799371	0.956435044224959
"Neutrophil CXCR4"	3	"TPM3"	-0.818722741917678	11.7362101099932	4.90245357583664	0.0306969774424383	0.956435044224959
"Neutrophil CXCR4"	3	"SLC25A3"	-1.83206882643241	8.99904680571152	4.75465288790094	0.0330712585596786	0.956435044224959
"Neutrophil CXCR4"	3	"IL32"	-1.6901542904158	9.65520641139386	4.72324998083572	0.0337203452627027	0.956435044224959
"Neutrophil CXCR4"	3	"DUSP1"	0.942401286197702	11.4045563546688	4.65912458631232	0.0349704104475038	0.956435044224959
"Neutrophil CXCR4"	3	"BTG1"	1.2163290074474	10.4672183636083	4.60014246938206	0.0360979680567338	0.956435044224959
"Neutrophil CXCR4"	3	"SRSF3"	-1.45989433079257	9.74494976982155	4.59055491338852	0.0362209880806193	0.956435044224959
"Neutrophil CXCR4"	3	"TAGAP"	1.09869785939442	10.8633475631564	4.58272940191939	0.0364356207323794	0.956435044224959
"Neutrophil CXCR4"	3	"KLF6"	0.731169585950983	11.891974220518	4.39625777397932	0.0403147181569916	0.993081890871427
"Neutrophil CXCR4"	3	"FTL"	-0.559270718802891	12.7879896297849	4.2836078489953	0.0428695708878546	0.993081890871427
"Neutrophil CXCR4"	3	"HSPA1B"	-1.43825190214212	9.81037769566979	4.24078552377287	0.043823384677632	0.993081890871427
"Neutrophil CXCR4"	3	"UBL5"	-1.44173783149886	9.51198030477644	4.1365782141596	0.0463801193040162	0.993081890871427
"Neutrophil CXCR4"	3	"PNRC1"	0.738856797245949	11.7366614680936	4.05314674207782	0.0486603194364013	0.993081890871427
"Neutrophil CXCR4"	3	"MTRNR2L1"	-1.04231315154761	10.9513770401568	3.81164919361258	0.0556397854650952	0.993081890871427
"Neutrophil CXCR4"	3	"PIGR"	-1.22479551720624	11.5207342964132	4.06803549413062	0.057081308886105	0.993081890871427
"Neutrophil CXCR4"	3	"UBB"	-1.2147603007416	10.0286569778221	3.74674288170996	0.0576850109197733	0.993081890871427
"Neutrophil CXCR4"	3	"MARCKSL1"	-1.72774215753102	9.19911239879475	3.65811664799526	0.0605526756656347	0.993081890871427
"Neutrophil CXCR4"	3	"HNRNPA2B1"	-0.994939617006998	10.6525597005701	3.6504104423482	0.0609110492553792	0.993081890871427
"Neutrophil CXCR4"	3	"HCAR3"	0.918187613903449	10.9819238565289	3.57462994141587	0.0635848610376371	0.993081890871427
"Neutrophil CXCR4"	3	"MIDN"	-1.38321452393767	9.46413045686489	3.55525096199134	0.0641369140599102	0.993081890871427
"Neutrophil CXCR4"	3	"HSPA1A"	-0.790694996278957	11.318329449141	3.50658450231431	0.0660785369113639	0.993081890871427
"Neutrophil CXCR4"	3	"SERPINB1"	0.9608574979842	10.7286430690011	3.2437309661159	0.0768007881975857	0.993081890871427
"Neutrophil CXCR4"	3	"CCR1"	1.08652009371483	10.3549834288467	3.1706768762602	0.0800271871195644	0.993081890871427
"Neutrophil CXCR4"	3	"PTMA"	-0.626124404351308	11.9396100591144	3.15037370419767	0.0810691263249123	0.993081890871427
"Neutrophil CXCR4"	3	"SMIM25"	1.17208931894257	10.0127224392492	3.14773855105161	0.0810740977885097	0.993081890871427
"Neutrophil CXCR4"	3	"ELF3"	-1.51176151212631	9.52691967612794	3.1272202250341	0.0820929012180889	0.993081890871427
"Neutrophil CXCR4"	3	"COX4I1"	-1.37140289914208	9.34998818716492	3.03198796409267	0.0867470351273165	0.993081890871427
"Neutrophil CXCR4"	3	"SNX10"	1.17263242011198	10.0190121241957	3.00885047886019	0.0880155743309492	0.993081890871427
"Neutrophil CXCR4"	3	"HLA-DRA"	1.00136401829473	10.5214560267847	2.97059464370775	0.089958757762773	0.993081890871427
"Neutrophil CXCR4"	3	"TPM4"	0.906106357110481	10.6711130557785	2.96523596105847	0.0903049126142866	0.993081890871427
"Neutrophil CXCR4"	3	"NABP1"	-1.19071354966962	9.69696101136202	2.94387411974013	0.0913626279420289	0.993081890871427
"Neutrophil CXCR4"	3	"SMAP2"	1.12737678818757	10.0118490936617	2.93407502691755	0.0919765519090421	0.993081890871427
"Neutrophil CXCR4"	3	"HSP90AA1"	-0.51652717647428	12.5244334142974	2.83549739613749	0.0974868692853831	0.993081890871427
"Neutrophil CXCR4"	3	"PPP1R15A"	0.514235764009333	12.3050010773026	2.77830529408014	0.100850417952544	0.993081890871427
"Neutrophil CXCR4"	3	"BAZ1A"	1.1091372275715	9.88959896125582	2.75687832794615	0.102126769540522	0.993081890871427
"Neutrophil CXCR4"	3	"PNPLA8"	1.39302916263166	9.24702278813376	2.69619748341477	0.105795694454255	0.993081890871427
"Neutrophil CXCR4"	3	"FCER1G"	-0.544802636557427	12.3238731002613	2.65989886369136	0.108236586900015	0.993081890871427
"Neutrophil CXCR4"	3	"CXCL8"	0.36586773486447	13.4128984108285	2.64182715299299	0.109414020567377	0.993081890871427
"Neutrophil CXCR4"	3	"RHOH"	0.994422729931813	10.1485761958867	2.58829057874825	0.112969426328329	0.993081890871427
"Neutrophil CXCR4"	3	"SRI"	-1.41940965884497	9.1312605566192	2.54471988800033	0.115894583729162	0.993081890871427
"Neutrophil CXCR4"	3	"CDKN1A"	0.91531422786667	10.4732716066874	2.53669036817715	0.116544433934748	0.993081890871427
"Neutrophil CXCR4"	3	"FAM120A"	-1.3288288980479	9.15095202022094	2.4581072697878	0.122136524310924	0.993081890871427
"Neutrophil CXCR4"	3	"FABP1"	-1.01397131346291	10.2612788314546	2.44317623935041	0.12332027483254	0.993081890871427
