region_id,group,CN,name,cells,total_cells,tissue_fraction,neutrophils,total_neutrophils,neutrophil_fraction
P15,UC_Inflamed,CN4,CD4 T / Fibroblast,2161,9140,0.23643326039387308,104,961,0.10822060353798127
P15,UC_Inflamed,CN5,CD4 T / Macrophage,632,9140,0.06914660831509847,7,961,0.007284079084287201
P15,UC_Inflamed,CN6,Plasma B / Macrophage,2276,9140,0.24901531728665208,77,961,0.08012486992715921
P15,UC_Inflamed,U,Unassigned / boundary,204,9140,0.022319474835886213,8,961,0.008324661810613945
P16,UC_Noninflamed,CN1,Epithelial / Fibroblast,920,9767,0.09419473738097676,6,46,0.13043478260869565
P16,UC_Noninflamed,CN2,Fibroblast / Epithelial,1915,9767,0.19606839357018532,4,46,0.08695652173913043
P16,UC_Noninflamed,CN3,Neutrophil / Fibroblast,1,9767,0.00010238558410975735,0,46,0.0
P16,UC_Noninflamed,CN4,CD4 T / Fibroblast,2662,9767,0.27255042490017406,10,46,0.21739130434782608
P16,UC_Noninflamed,CN5,CD4 T / Macrophage,1416,9767,0.1449779870994164,2,46,0.043478260869565216
P16,UC_Noninflamed,CN6,Plasma B / Macrophage,2689,9767,0.2753148356711375,22,46,0.4782608695652174
P16,UC_Noninflamed,U,Unassigned / boundary,164,9767,0.016791235794000204,2,46,0.043478260869565216
P17,UC_Noninflamed,CN1,Epithelial / Fibroblast,1183,12265,0.09645332246229107,15,79,0.189873417721519
P17,UC_Noninflamed,CN2,Fibroblast / Epithelial,2476,12265,0.201875254790053,7,79,0.08860759493670886
P17,UC_Noninflamed,CN3,Neutrophil / Fibroblast,0,12265,0.0,0,79,0.0
P17,UC_Noninflamed,CN4,CD4 T / Fibroblast,3827,12265,0.3120260905014268,22,79,0.27848101265822783
P17,UC_Noninflamed,CN5,CD4 T / Macrophage,1860,12265,0.15165103954341622,5,79,0.06329113924050633
P17,UC_Noninflamed,CN6,Plasma B / Macrophage,2708,12265,0.22079086832450062,28,79,0.35443037974683544
P17,UC_Noninflamed,U,Unassigned / boundary,211,12265,0.017203424378312272,2,79,0.02531645569620253
P18,UC_Noninflamed,CN1,Epithelial / Fibroblast,559,5817,0.09609764483410693,1,46,0.021739130434782608
P18,UC_Noninflamed,CN2,Fibroblast / Epithelial,1048,5817,0.1801615953240502,2,46,0.043478260869565216
P18,UC_Noninflamed,CN3,Neutrophil / Fibroblast,0,5817,0.0,0,46,0.0
P18,UC_Noninflamed,CN4,CD4 T / Fibroblast,1854,5817,0.3187209902011346,24,46,0.5217391304347826
P18,UC_Noninflamed,CN5,CD4 T / Macrophage,629,5817,0.10813133917827059,8,46,0.17391304347826086
P18,UC_Noninflamed,CN6,Plasma B / Macrophage,1517,5817,0.2607873474299467,9,46,0.1956521739130435
P18,UC_Noninflamed,U,Unassigned / boundary,210,5817,0.036101083032490974,2,46,0.043478260869565216
P19,UC_Noninflamed,CN1,Epithelial / Fibroblast,1916,10687,0.1792832413212314,4,32,0.125
P19,UC_Noninflamed,CN2,Fibroblast / Epithelial,2356,10687,0.22045475811733883,6,32,0.1875
P19,UC_Noninflamed,CN3,Neutrophil / Fibroblast,2,10687,0.00018714325816412465,0,32,0.0
P19,UC_Noninflamed,CN4,CD4 T / Fibroblast,2641,10687,0.24712267240572658,10,32,0.3125
P19,UC_Noninflamed,CN5,CD4 T / Macrophage,1579,10687,0.1477496023205764,8,32,0.25
P19,UC_Noninflamed,CN6,Plasma B / Macrophage,1888,10687,0.17666323570693365,4,32,0.125
P19,UC_Noninflamed,U,Unassigned / boundary,305,10687,0.028539346870029007,0,32,0.0
P20,UC_Noninflamed,CN1,Epithelial / Fibroblast,278,7423,0.03745116529704971,1,36,0.027777777777777776
P20,UC_Noninflamed,CN2,Fibroblast / Epithelial,1812,7423,0.2441061565404823,2,36,0.05555555555555555
P20,UC_Noninflamed,CN3,Neutrophil / Fibroblast,3,7423,0.0004041492657955005,3,36,0.08333333333333333
P20,UC_Noninflamed,CN4,CD4 T / Fibroblast,2320,7423,0.3125420988818537,6,36,0.16666666666666666
P20,UC_Noninflamed,CN5,CD4 T / Macrophage,1070,7423,0.14414657146706183,15,36,0.4166666666666667
P20,UC_Noninflamed,CN6,Plasma B / Macrophage,1708,7423,0.2300956486595716,6,36,0.16666666666666666
P20,UC_Noninflamed,U,Unassigned / boundary,232,7423,0.03125420988818537,3,36,0.08333333333333333
P21,UC_Noninflamed,CN1,Epithelial / Fibroblast,332,4181,0.07940684046878738,2,10,0.2
P21,UC_Noninflamed,CN2,Fibroblast / Epithelial,1019,4181,0.2437215977038986,0,10,0.0
P21,UC_Noninflamed,CN3,Neutrophil / Fibroblast,0,4181,0.0,0,10,0.0
P21,UC_Noninflamed,CN4,CD4 T / Fibroblast,995,4181,0.23798134417603445,4,10,0.4
P21,UC_Noninflamed,CN5,CD4 T / Macrophage,335,4181,0.08012437215977039,0,10,0.0
P21,UC_Noninflamed,CN6,Plasma B / Macrophage,1375,4181,0.3288686917005501,4,10,0.4
P21,UC_Noninflamed,U,Unassigned / boundary,125,4181,0.0298971537909591,0,10,0.0
P22,UC_Noninflamed,CN1,Epithelial / Fibroblast,1665,4850,0.34329896907216495,11,93,0.11827956989247312
P22,UC_Noninflamed,CN2,Fibroblast / Epithelial,263,4850,0.05422680412371134,7,93,0.07526881720430108
P22,UC_Noninflamed,CN3,Neutrophil / Fibroblast,71,4850,0.014639175257731958,13,93,0.13978494623655913
P22,UC_Noninflamed,CN4,CD4 T / Fibroblast,525,4850,0.10824742268041238,10,93,0.10752688172043011
P22,UC_Noninflamed,CN5,CD4 T / Macrophage,693,4850,0.14288659793814432,18,93,0.1935483870967742
P22,UC_Noninflamed,CN6,Plasma B / Macrophage,1355,4850,0.2793814432989691,26,93,0.27956989247311825
P22,UC_Noninflamed,U,Unassigned / boundary,278,4850,0.05731958762886598,8,93,0.08602150537634409
P23,UC_Noninflamed,CN1,Epithelial / Fibroblast,2442,19124,0.12769295126542565,215,1754,0.1225769669327252
P23,UC_Noninflamed,CN2,Fibroblast / Epithelial,5887,19124,0.30783308931185943,41,1754,0.023375142531356898
P23,UC_Noninflamed,CN3,Neutrophil / Fibroblast,2657,19124,0.13893536916962979,1097,1754,0.6254275940706956
P23,UC_Noninflamed,CN4,CD4 T / Fibroblast,1816,19124,0.09495921355364986,62,1754,0.03534777651083238
P23,UC_Noninflamed,CN5,CD4 T / Macrophage,846,19124,0.04423760719514746,36,1754,0.020524515393386546
P23,UC_Noninflamed,CN6,Plasma B / Macrophage,5169,19124,0.27028864254340096,243,1754,0.13854047890535917
P23,UC_Noninflamed,U,Unassigned / boundary,307,19124,0.016053126960886843,60,1754,0.03420752565564424
P24,UC_Noninflamed,CN1,Epithelial / Fibroblast,494,7216,0.0684589800443459,8,631,0.012678288431061807
P24,UC_Noninflamed,CN2,Fibroblast / Epithelial,672,7216,0.09312638580931264,12,631,0.01901743264659271
P24,UC_Noninflamed,CN3,Neutrophil / Fibroblast,1448,7216,0.2006651884700665,414,631,0.6561014263074485
P24,UC_Noninflamed,CN4,CD4 T / Fibroblast,1683,7216,0.23323170731707318,25,631,0.039619651347068144
P24,UC_Noninflamed,CN5,CD4 T / Macrophage,765,7216,0.10601441241685144,38,631,0.060221870047543584
P24,UC_Noninflamed,CN6,Plasma B / Macrophage,2049,7216,0.2839523281596452,99,631,0.15689381933438987
P24,UC_Noninflamed,U,Unassigned / boundary,105,7216,0.0145509977827051,35,631,0.0554675118858954
