p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.1316453103657e-06,4.02235915851718,0.103,0,0.116816633367261,4,RAD51
3.15284278336344e-06,1.66030290167678,0.517,0.148,0.117607341505023,4,NFYC
3.1838917681327e-06,1.12047074099464,0.69,0.278,0.118765530734886,4,GAPT
3.20034905650903e-06,1.38326294029441,0.207,0.019,0.1193794205059,4,KIF15
3.23948467065159e-06,1.12686574291481,0.862,0.402,0.120839257184646,4,RPL39
3.36988351100052e-06,1.06755465475023,0.414,0.1,0.125703394727342,4,LYPLA1
3.38261695608653e-06,0.958600753729228,0.345,0.067,0.12617837769594,4,RUNX3
3.3838201575471e-06,3.91032897816571,0.138,0.005,0.126223259516822,4,LOXL3
3.3838201575471e-06,2.51521176459666,0.138,0.005,0.126223259516822,4,TRGC1
3.3838201575471e-06,1.11406649196215,0.138,0.005,0.126223259516822,4,CD33
3.3838201575471e-06,0.860831204182178,0.138,0.005,0.126223259516822,4,ENSG00000266302
3.51116210574065e-06,1.0935179179213,0.517,0.144,0.130973368868338,4,ME2
3.52987017223481e-06,2.85948399075281,0.414,0.1,0.131671217164703,4,HADHA
3.64087330820827e-06,0.829867346464672,0.448,0.11,0.135811856142785,4,CPNE2
3.87196340891136e-06,1.69780930923653,0.414,0.1,0.144431979079211,4,VPS54
3.88078108222529e-06,1.26823537220886,0.69,0.268,0.144760895929168,4,ARPC4
4.02974363773947e-06,0.799294864826575,0.655,0.22,0.150317497174958,4,RACK1
4.22999601167998e-06,0.911949876796196,0.69,0.254,0.157787311227687,4,MACROH2A1
4.29582329319172e-06,1.15638126640669,0.345,0.067,0.160242800482638,4,ALDH2
4.33567866818133e-06,1.25329022216199,0.379,0.086,0.1617294856805,4,RGCC
4.33753938974531e-06,0.753688833355487,0.793,0.33,0.16179889431628,4,MIER1
4.38029373861418e-06,0.307825521281398,0.31,0.057,0.163393717037786,4,SLC1A4
4.40002121841438e-06,1.17260331098669,0.724,0.287,0.164129591489293,4,TRIOBP
4.65098391247897e-06,1.44220684244561,0.414,0.096,0.173491001903291,4,OSBPL2
4.66092774176394e-06,0.977877047760859,1,0.603,0.173861926623278,4,VASP
4.66292133340755e-06,0.467484930793857,0.379,0.086,0.173936291578768,4,ZBTB24
4.72450019069088e-06,1.63098109601814,0.552,0.177,0.176233306113151,4,NECAP1
4.74005455907898e-06,1.0416803854531,0.862,0.407,0.176813515162764,4,BAZ1A
4.77716571290026e-06,2.39287311569799,0.379,0.086,0.178197835422605,4,CCPG1
4.79505513338006e-06,4.32660236409663,0.241,0.033,0.178865146585343,4,FKBP1C
4.92419238669861e-06,1.32809485499035,0.379,0.081,0.183682224408632,4,TRIQK
5.12891315086528e-06,4.14323258763935,0.241,0.033,0.191318718353577,4,TM7SF3
5.22573422609071e-06,1.13729000525974,0.69,0.263,0.194930338101636,4,MAPK1IP1L
5.24527216106162e-06,1.17335072092839,0.448,0.124,0.195659142151921,4,EIF2AK2
5.39742866438781e-06,1.14115743557041,0.724,0.278,0.201334884038994,4,ADAR
5.400041594941e-06,0.612561649317056,0.345,0.072,0.201432351574489,4,HGSNAT
5.46023173545782e-06,1.67445710563912,0.414,0.1,0.203677564196048,4,STK26
5.50153060481031e-06,2.03657685189229,0.276,0.043,0.205218094620634,4,DAPP1
5.5658147849411e-06,1.15830504160099,0.379,0.091,0.207616023107873,4,ACAP1
5.61398310331813e-06,1.17326352416268,0.759,0.349,0.209412797719973,4,ARL6IP5
5.72289960388261e-06,1.12153907450321,0.828,0.421,0.213475601024029,4,ARHGAP15
5.8320556208805e-06,2.06141673132786,0.345,0.072,0.217547338770084,4,PSMB8-AS1
5.84830601337552e-06,1.87432811949226,0.276,0.043,0.218153510910934,4,TREML2
5.90521243885182e-06,0.410300041216061,0.276,0.048,0.220276234394051,4,RRM1
6.10040062379349e-06,1.22778340998124,0.483,0.124,0.227557144068745,4,CD48
6.20840260306574e-06,0.45653274763532,0.621,0.201,0.231585833899558,4,RPS14
6.21435992179382e-06,1.20199779704396,0.621,0.22,0.231808053802753,4,BRK1
6.28947879850282e-06,2.79632879169952,0.31,0.057,0.234610138141752,4,GRK6
6.42701445401458e-06,2.42160474503883,0.448,0.129,0.239740493163652,4,THSD4-AS1
6.43934143573e-06,0.819811064630186,0.966,0.517,0.240200314235601,4,SH3KBP1
6.48612919038519e-06,0.79642334367849,0.724,0.268,0.241945591059748,4,ARF6
6.54086415505712e-06,1.14475176009155,0.655,0.258,0.243987314711941,4,PADI2
6.55625302745251e-06,1.02044498749569,0.655,0.254,0.244561350430034,4,PTK2B
6.6359571979545e-06,0.962117896325351,0.966,0.498,0.247534475398099,4,MYL12B
6.68676030431615e-06,0.522689415882637,0.379,0.086,0.249429532871601,4,NPAT
6.7419457273282e-06,5.00739076677347,0.207,0.024,0.251488059520796,4,EEF1E1
6.7419457273282e-06,5.0039629405965,0.207,0.024,0.251488059520796,4,ACAD8
6.76162391880387e-06,0.27836579653358,0.69,0.254,0.252222095419222,4,NCOA2
6.96043496782552e-06,1.1597612338654,0.724,0.354,0.259638145169827,4,MBNL1
6.98173659163677e-06,1.47669098134176,0.586,0.22,0.260432738341235,4,B4GALT5
6.99141628043598e-06,1.24677004024513,0.724,0.306,0.260793810092823,4,RGS19
7.03506364624112e-06,0.538674512394209,0.552,0.172,0.262421944132086,4,DAPK2
7.08403786801667e-06,1.48531991419088,0.414,0.105,0.264248780552758,4,NCOA7
7.1603730782564e-06,1.75528481175169,0.241,0.033,0.26709623656512,4,LINC00342
7.26383804902334e-06,2.53492808208814,0.276,0.048,0.270955686904669,4,RPAP2
7.42634677294975e-06,0.532495511533834,0.759,0.278,0.277017587324572,4,PRPF38B
7.4649959226174e-06,4.7685518757268,0.172,0.014,0.278459277905474,4,SGK3
7.4649959226174e-06,3.97417969691307,0.172,0.014,0.278459277905474,4,NOS1AP
7.52389767540679e-06,2.84662446443919,0.345,0.072,0.280656431088024,4,KIAA0586
7.71194250787703e-06,1.82417280887399,0.379,0.086,0.287670879428829,4,MPP7
7.82084287276237e-06,4.8847721975515,0.207,0.024,0.291733080839782,4,STAMBPL1
7.88298621163444e-06,1.62452891853536,0.379,0.096,0.294051151666388,4,FBXO9
8.08671301690877e-06,1.54955501341887,0.655,0.273,0.301650568956731,4,PRDX5
8.1169180390672e-06,0.914864216313891,0.345,0.072,0.302777276693285,4,RUNX2
8.13611209562894e-06,0.73966926260684,0.69,0.258,0.303493253391151,4,ARID3A
8.13712034218794e-06,6.27253058991798,0.172,0.014,0.303530863004295,4,FAN1
8.21097315053407e-06,0.958742655032855,0.759,0.321,0.306285720461222,4,MTPN
8.32433425420361e-06,0.787595627537044,0.345,0.072,0.310514316350303,4,VPS26B
8.42036658967694e-06,5.20709568089373,0.207,0.024,0.314096514528129,4,CEP78
8.42036658967694e-06,3.89097621731101,0.207,0.024,0.314096514528129,4,ARHGAP27
8.49450628512262e-06,5.38647377367104,0.172,0.014,0.316862073447644,4,ZNF252P
8.58841419075039e-06,2.13186540685633,0.448,0.129,0.320365026143371,4,RNF5
8.5973618823116e-06,0.579965429181808,0.552,0.191,0.320698792933988,4,CD47
8.64630342577334e-06,1.58740900946529,0.414,0.115,0.322524410388197,4,NUDT4
8.64802747715716e-06,0.675582737871968,0.655,0.22,0.322588720952916,4,DDX6
8.72744618231638e-06,0.307018183802514,0.483,0.134,0.325551197492766,4,ANXA4
8.74517427780625e-06,1.91573411013107,0.345,0.077,0.326212490910729,4,RAB33B
8.78048481761327e-06,0.900567261265787,0.621,0.22,0.32752964466661,4,ELMO1
9.03052486781607e-06,1.22081917431063,0.414,0.096,0.336856638619275,4,PLEKHG3
9.08739657557752e-06,1.50763632807668,0.345,0.081,0.338978067062193,4,TMEM219
9.2093515147766e-06,0.357310123894977,0.621,0.196,0.343527230204197,4,STK24
9.25479097036135e-06,1.4665012103917,0.172,0.014,0.345222212776419,4,BBLN
9.40267296389167e-06,3.88152006882298,0.207,0.024,0.350738506899087,4,OGFR
9.40267296389167e-06,3.80037719685745,0.207,0.024,0.350738506899087,4,SLC39A3
9.42088351558993e-06,0.719794731234422,0.931,0.531,0.351417796898535,4,ARHGAP9
9.51380914887685e-06,0.624296397252564,0.931,0.603,0.354884108871404,4,ACTR3
9.65890051493596e-06,3.5128570565873,0.172,0.014,0.360296307008141,4,TNFSF13B
9.8712104412299e-06,2.30866464060503,0.517,0.172,0.368215891878758,4,MCU
1.00449461264485e-05,0.899756884391626,0.759,0.316,0.374696580408781,4,IRF2BP2
1.0138956316383e-05,1.49387731839253,0.345,0.077,0.37820334851372,4,LINC00623
1.0257385615947e-05,1.08374079184345,0.517,0.163,0.382620998246053,4,ELF4
1.02841186517279e-05,1.8387492398126,0.31,0.057,0.383618193946752,4,PBX2
1.03214990100325e-05,0.89123614325189,0.793,0.378,0.385012556072231,4,MAPK14
1.03909715174233e-05,1.63451656866322,0.345,0.077,0.387604019542923,4,TRIM37
1.04333942341975e-05,1.58870806984117,0.345,0.072,0.389186471724035,4,GPR84
1.04938957264195e-05,1.17199019393811,0.207,0.024,0.391443298386899,4,KBTBD11
1.04938957264195e-05,0.983808208245804,0.207,0.024,0.391443298386899,4,TIMELESS
1.06094914987931e-05,1.66744142087081,0.379,0.096,0.39575525188798,4,KMT5A
1.09479679682124e-05,0.393031434503992,0.69,0.282,0.408381101150258,4,RAB11FIP1
1.09748440634666e-05,1.34611880899302,0.172,0.014,0.40938363325543,4,BRI3BP
1.09748440634666e-05,1.02117076711947,0.172,0.014,0.40938363325543,4,NHLRC3
1.10611703142028e-05,0.629746356566779,0.69,0.254,0.412603775060392,4,SLC44A2
1.10841265668714e-05,0.971585120307856,0.759,0.33,0.413460089197439,4,SAMSN1
1.12502188555723e-05,2.9187895268778,0.276,0.048,0.419655663750558,4,RAB3IP
1.12874684926484e-05,2.11968838720528,0.207,0.024,0.421045149712772,4,ATP2C2
1.12956564351085e-05,1.62239990555641,0.655,0.254,0.421350576342417,4,ZYX
1.13322889020577e-05,0.788352456086353,0.241,0.033,0.422717040624556,4,ITGB2-AS1
1.14503230436672e-05,0.346458317486607,0.172,0.014,0.427119950174874,4,HDDC3
1.17054286742683e-05,1.96631177600596,0.207,0.024,0.436635900407558,4,CLTCL1
1.17678100792804e-05,1.09937984068329,0.379,0.086,0.438962851577319,4,RASAL3
1.20275660791397e-05,0.672685082646824,0.276,0.043,0.448652269884068,4,TMEM178B
1.21381363453713e-05,2.93543169140915,0.207,0.024,0.452776761955038,4,IRF3
1.23881160056461e-05,0.932952373940491,0.655,0.258,0.46210150324261,4,NSD3
1.2507748352722e-05,0.809262705180561,0.483,0.134,0.466564029053237,4,TMEM170B
1.25860838238139e-05,2.53330148276627,0.207,0.024,0.469486098795905,4,MBNL3
1.26436433725816e-05,1.62277302412898,0.483,0.153,0.47163318508404,4,ATP5MG
1.27629188461153e-05,0.979980629034097,0.621,0.225,0.476082398797791,4,NCOR1
1.36368825452586e-05,1.56351763617622,0.586,0.22,0.508682992703238,4,P4HB
1.37623861710928e-05,1.42102641833095,0.586,0.201,0.513364528954105,4,NORAD
1.38328186226262e-05,1.15811447696307,0.517,0.163,0.515991800261201,4,PDS5A
1.39433891087003e-05,0.497358297243608,0.517,0.158,0.52011630053274,4,YWHAH
1.42527798620266e-05,4.3875680626424,0.31,0.067,0.531657194413315,4,GNB4
1.42804792063251e-05,0.412541511563637,0.517,0.153,0.532690435354338,4,C16orf54
1.43639917676139e-05,0.967245147276932,0.483,0.134,0.535805620915535,4,TMCO1
1.44473441101154e-05,1.94476710646804,0.483,0.153,0.538914829995525,4,FRAT2
1.4464336374138e-05,0.98194417747172,0.621,0.254,0.539548675428095,4,SLC22A15
1.45887770965516e-05,2.22394632017364,0.379,0.1,0.544190563255568,4,PLEKHO2
1.47563540422091e-05,3.13685159170739,0.241,0.038,0.550441518482483,4,POLR3K
1.48874860436081e-05,1.13927202191329,0.828,0.402,0.55533300439867,4,VIM
1.49342326635719e-05,0.600204668294437,0.483,0.144,0.557076746816561,4,DYNLL2
1.50657046770164e-05,1.74564301292905,0.517,0.172,0.561980915862067,4,TM9SF2
1.51478906337851e-05,0.982416314736979,0.552,0.182,0.565046616421451,4,ZNF652
1.52463360956428e-05,0.381599262731048,0.379,0.1,0.568718829039669,4,CENPC
1.52747759186251e-05,1.03671551259008,0.724,0.301,0.569779691316552,4,LST1
1.5355202770381e-05,4.33991822138886,0.276,0.053,0.572779773740751,4,RNF217
1.53879074030427e-05,1.15566720993011,0.448,0.139,0.573999721948299,4,PRKAA1
