DonorID,ConditionCode,state,N,total_cells,proportion,sample_id,clr,cells,all_neutrophils,fraction_all
Donor3,UF,OSM neutrophil,1302,2349,0.554278416347382,Donor3||UF,1.45484596490354,2349,3890,0.334704370179949
Donor3,UF,CXCR4 neutrophil,832,2349,0.354193273733504,Donor3||UF,1.00723841313062,2349,3890,0.213881748071979
Donor3,UF,MX1/ISG neutrophil,169,2349,0.0719455087271179,Donor3||UF,-0.584341881903479,2349,3890,0.0434447300771208
Donor3,UN,PADI4 neutrophil,45,2554,0.0176194205168363,Donor3||UN,-2.00532356057639,2554,4466,0.0100761307657859
Donor3,UN,OSM neutrophil,1122,2554,0.439310884886453,Donor3||UN,1.20027773308311,2554,4466,0.251231527093596
Donor3,UN,CXCR4 neutrophil,1169,2554,0.457713390759593,Donor3||UN,1.24129569949094,2554,4466,0.261755485893417
Donor3,UN,MX1/ISG neutrophil,218,2554,0.0853563038371182,Donor3||UN,-0.436249871997654,2554,4466,0.0488132557098074
Donor4,CF,PADI4 neutrophil,58,2848,0.0203651685393258,Donor4||CF,-1.87182344505497,2848,4562,0.0127137220517317
Donor4,CF,OSM neutrophil,1266,2848,0.444522471910112,Donor4||CF,1.20316227014895,2848,4562,0.277509864094695
Donor4,CF,CXCR4 neutrophil,1309,2848,0.459620786516854,Donor4||CF,1.23655046465499,2848,4562,0.286935554581324
Donor4,CF,MX1/ISG neutrophil,215,2848,0.0754915730337079,Donor4||CF,-0.567889289748974,2848,4562,0.0471284524331434
Donor4,N,PADI4 neutrophil,12,234,0.0512820512820513,Donor4||N,-0.856345637112627,234,455,0.0263736263736264
Donor4,N,OSM neutrophil,168,234,0.717948717948718,Donor4||N,1.74486146837153,234,455,0.369230769230769
Donor4,N,CXCR4 neutrophil,47,234,0.200854700854701,Donor4||N,0.478655429619713,234,455,0.103296703296703
Donor4,N,MX1/ISG neutrophil,7,234,0.0299145299145299,Donor4||N,-1.36717126087862,234,455,0.0153846153846154
Donor4,NA5,PADI4 neutrophil,23,1580,0.0145569620253165,Donor4||NA5,-2.15529190676034,1580,2472,0.0093042071197411
Donor4,NA5,OSM neutrophil,622,1580,0.393670886075949,Donor4||NA5,1.12145130042841,1580,2472,0.251618122977346
Donor4,NA5,CXCR4 neutrophil,789,1580,0.499367088607595,Donor4||NA5,1.35910750578525,1580,2472,0.319174757281553
Donor4,NA5,MX1/ISG neutrophil,146,1580,0.0924050632911393,Donor4||NA5,-0.325266899453326,1580,2472,0.0590614886731392
Donor4,NNAMPT,PADI4 neutrophil,11,233,0.0472103004291846,Donor4||NNAMPT,-0.922540710402813,233,540,0.0203703703703704
Donor4,NNAMPT,OSM neutrophil,157,233,0.67381974248927,Donor4||NNAMPT,1.69453771249367,233,540,0.290740740740741
Donor4,NNAMPT,CXCR4 neutrophil,59,233,0.253218884120172,Donor4||NNAMPT,0.721088566779567,233,540,0.109259259259259
Donor4,NNAMPT,MX1/ISG neutrophil,6,233,0.0257510729613734,Donor4||NNAMPT,-1.49308556887043,233,540,0.0111111111111111
Donor4,UA5,PADI4 neutrophil,53,1576,0.0336294416243655,Donor4||UA5,-1.50048647559383,1576,3237,0.0163731850478838
Donor4,UA5,OSM neutrophil,917,1576,0.581852791878173,Donor4||UA5,1.34148445043293,1576,3237,0.283286994130368
Donor4,UA5,CXCR4 neutrophil,460,1576,0.291878172588832,Donor4||UA5,0.652144726199569,1576,3237,0.142106889094841
Donor4,UA5,MX1/ISG neutrophil,146,1576,0.0926395939086294,Donor4||UA5,-0.49314270103867,1576,3237,0.0451034908866234
Donor4,UD,PADI4 neutrophil,56,1847,0.0303194369247428,Donor4||UD,-1.55581625233181,1847,3645,0.015363511659808
Donor4,UD,OSM neutrophil,933,1847,0.505143475906876,Donor4||UD,1.24888407249758,1847,3645,0.2559670781893
Donor4,UD,CXCR4 neutrophil,724,1847,0.391987005955604,Donor4||UD,0.995424871276536,1847,3645,0.198628257887517
Donor4,UD,MX1/ISG neutrophil,134,1847,0.0725500812127775,Donor4||UD,-0.688492691442307,1847,3645,0.0367626886145405
Donor4,UF,PADI4 neutrophil,74,3393,0.0218096080165046,Donor4||UF,-1.74022884556493,3393,6013,0.0123066688840845
Donor4,UF,OSM neutrophil,2162,3393,0.63719422340112,Donor4||UF,1.62799226785559,3393,6013,0.359554299018793
Donor4,UF,CXCR4 neutrophil,944,3393,0.278219864426761,Donor4||UF,0.799627715991116,3393,6013,0.156993181440213
Donor4,UF,MX1/ISG neutrophil,213,3393,0.0627763041556145,Donor4||UF,-0.687391138281769,3393,6013,0.0354232496258107
Donor4,UN,PADI4 neutrophil,18,1239,0.0145278450363196,Donor4||UN,-2.0564160800495,1239,2440,0.00737704918032787
Donor4,UN,OSM neutrophil,448,1239,0.361581920903955,Donor4||UN,1.13172186936507,1239,2440,0.183606557377049
Donor4,UN,CXCR4 neutrophil,698,1239,0.563357546408394,Donor4||UN,1.57474836656324,1239,2440,0.286065573770492
Donor4,UN,MX1/ISG neutrophil,75,1239,0.0605326876513317,Donor4||UN,-0.650054155878802,1239,2440,0.0307377049180328
Donor5,CF,PADI4 neutrophil,1,11,0.0909090909090909,Donor5||CF,-0.374988419898103,11,34,0.0294117647058824
Donor5,CF,OSM neutrophil,5,11,0.454545454545455,Donor5||CF,0.924294564232158,11,34,0.147058823529412
Donor5,CF,CXCR4 neutrophil,5,11,0.454545454545455,Donor5||CF,0.924294564232158,11,34,0.147058823529412
Donor5,CF,MX1/ISG neutrophil,0,11,0,Donor5||CF,-1.47360070856621,11,34,0
Donor5,N,PADI4 neutrophil,1,61,0.0163934426229508,Donor5||N,-1.37824515427408,61,133,0.0075187969924812
Donor5,N,OSM neutrophil,48,61,0.786885245901639,Donor5||N,2.09785353556119,61,133,0.360902255639098
Donor5,N,CXCR4 neutrophil,11,61,0.180327868852459,Donor5||N,0.658636772986962,61,133,0.0827067669172932
Donor5,N,MX1/ISG neutrophil,1,61,0.0163934426229508,Donor5||N,-1.37824515427408,61,133,0.0075187969924812
Donor5,NA5,PADI4 neutrophil,59,2536,0.0232649842271293,Donor5||NA5,-1.68414106345015,2536,12415,0.00475231574708015
Donor5,NA5,OSM neutrophil,982,2536,0.387223974763407,Donor5||NA5,1.11998296774169,2536,12415,0.0790978654853
Donor5,NA5,CXCR4 neutrophil,1363,2536,0.537460567823344,Donor5||NA5,1.44769282628391,2536,12415,0.109786548530004
Donor5,NA5,MX1/ISG neutrophil,132,2536,0.0520504731861199,Donor5||NA5,-0.883534730575454,2536,12415,0.0106322996375352
Donor5,NNAMPT,PADI4 neutrophil,0,41,0,Donor5||NNAMPT,-2.04654649855652,41,99,0
Donor5,NNAMPT,OSM neutrophil,31,41,0.75609756097561,Donor5||NNAMPT,2.09658822783501,41,99,0.313131313131313
Donor5,NNAMPT,CXCR4 neutrophil,9,41,0.219512195121951,Donor5||NNAMPT,0.89789248060992,41,99,0.0909090909090909
Donor5,NNAMPT,MX1/ISG neutrophil,1,41,0.024390243902439,Donor5||NNAMPT,-0.947934209888411,41,99,0.0101010101010101
Donor5,UA5,PADI4 neutrophil,0,4,0,Donor5||UA5,-0.95166562244258,4,19,0
Donor5,UA5,OSM neutrophil,1,4,0.25,Donor5||UA5,0.14694666622553,4,19,0.0526315789473684
Donor5,UA5,CXCR4 neutrophil,2,4,0.5,Donor5||UA5,0.657772289991521,4,19,0.105263157894737
Donor5,UA5,MX1/ISG neutrophil,1,4,0.25,Donor5||UA5,0.14694666622553,4,19,0.0526315789473684
Donor5,UD,PADI4 neutrophil,70,1184,0.0591216216216216,Donor5||UD,-0.916930056597431,1184,6764,0.0103489059727972
Donor5,UD,OSM neutrophil,492,1184,0.415540540540541,Donor5||UD,1.02695169419649,1184,6764,0.0727380248373743
Donor5,UD,CXCR4 neutrophil,574,1184,0.484797297297297,Donor5||UD,1.18095733087316,1184,6764,0.0848610289769367
Donor5,UD,MX1/ISG neutrophil,48,1184,0.0405405405405405,Donor5||UD,-1.29097896847222,1184,6764,0.00709639266706091
Donor5,UF,PADI4 neutrophil,0,28,0,Donor5||UF,-1.66386008759191,28,149,0
Donor5,UF,OSM neutrophil,10,28,0.357142857142857,Donor5||UF,1.38066235013151,28,149,0.0671140939597315
Donor5,UF,CXCR4 neutrophil,18,28,0.642857142857143,Donor5||UF,1.94705782505231,28,149,0.120805369127517
Donor5,UF,MX1/ISG neutrophil,0,28,0,Donor5||UF,-1.66386008759191,28,149,0
Donor5,UN,PADI4 neutrophil,0,26,0,Donor5||UN,-1.64791843300216,26,75,0
