program,population,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,6,0.210149787843869,0.0689705703424969,0.0328552925279696,0.387444283159768,0.0285234851206833,0.0625,5,alpha_interaction,0,0.0470699508260786,0.0875
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,6,0.210149787843869,0.0689705703424969,0.0328552925279696,0.387444283159768,0.0285234851206833,0.0625,5,alpha_interaction,0,0.0470699508260786,0.0875
Survival_antiapoptosis,All annotated,full_gene,6,-0.22214102761042,0.0615975666482561,-0.380482613555824,-0.0637994416650155,0.015439988328332,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Survival_antiapoptosis,All annotated,identity_markers_removed,6,-0.22214102761042,0.0615975666482561,-0.380482613555824,-0.0637994416650155,0.015439988328332,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Survival_antiapoptosis,Resolved,full_gene,6,-0.475348796978464,0.114965650481912,-0.770877409829381,-0.179820184127548,0.00904350019586182,0.03125,6,alpha_interaction,0,0.0211015004570109,0.04375
Survival_antiapoptosis,Resolved,identity_markers_removed,6,-0.475348796978464,0.114965650481912,-0.770877409829381,-0.179820184127548,0.00904350019586182,0.03125,6,alpha_interaction,0,0.0211015004570109,0.0486111111111111
Survival_antiapoptosis,Resolved; >=100 genes,full_gene,6,-0.485286085094869,0.114029082125542,-0.778407172341068,-0.19216499784867,0.00804700278530272,0.03125,6,alpha_interaction,0,0.018776339832373,0.0486111111111111
Survival_antiapoptosis,Resolved; >=100 genes,identity_markers_removed,6,-0.485286085094869,0.114029082125542,-0.778407172341068,-0.19216499784867,0.00804700278530272,0.03125,6,alpha_interaction,0,0.018776339832373,0.0486111111111111
Hypoxia_glycolysis,All annotated,full_gene,6,-0.0437219640265744,0.0218890885380629,-0.0999896574211538,0.0125457293680051,0.102274366778932,0.125,4,alpha_interaction,0,0.143184113490505,0.175
Hypoxia_glycolysis,All annotated,identity_markers_removed,6,-0.0437219640265744,0.0218890885380629,-0.0999896574211538,0.0125457293680051,0.102274366778932,0.125,4,alpha_interaction,0,0.159093459433894,0.182291666666667
Hypoxia_glycolysis,Resolved,full_gene,6,-0.15136155146109,0.0637281549579664,-0.315179989014654,0.0124568860924748,0.0635486209202367,0.09375,5,alpha_interaction,0,0.0808800629893922,0.109375
Hypoxia_glycolysis,Resolved,identity_markers_removed,6,-0.15136155146109,0.0637281549579664,-0.315179989014654,0.0124568860924748,0.0635486209202367,0.09375,5,alpha_interaction,0,0.0808800629893922,0.109375
Hypoxia_glycolysis,Resolved; >=100 genes,full_gene,6,-0.146566814398349,0.0710780308171107,-0.329278709329612,0.0361450805329134,0.0941866171062051,0.125,5,alpha_interaction,0,0.119873876316988,0.145833333333333
Hypoxia_glycolysis,Resolved; >=100 genes,identity_markers_removed,6,-0.146566814398349,0.0710780308171107,-0.329278709329612,0.0361450805329134,0.0941866171062051,0.125,5,alpha_interaction,0,0.119873876316988,0.145833333333333
ER_stress,All annotated,full_gene,6,-0.272675940838002,0.119249013013794,-0.579215287608819,0.033863405932814,0.070949332746634,0.0625,5,alpha_interaction,0,0.124161332306609,0.109375
ER_stress,All annotated,identity_markers_removed,6,-0.272675940838002,0.119249013013794,-0.579215287608819,0.033863405932814,0.070949332746634,0.0625,5,alpha_interaction,0,0.124161332306609,0.109375
ER_stress,Resolved,full_gene,6,-0.345390852365126,0.0624124609369511,-0.505827190767013,-0.184954513963238,0.00264256598581818,0.03125,6,alpha_interaction,0,0.00924898095036363,0.04375
ER_stress,Resolved,identity_markers_removed,6,-0.345390852365126,0.0624124609369511,-0.505827190767013,-0.184954513963238,0.00264256598581818,0.03125,6,alpha_interaction,0,0.00924898095036363,0.0486111111111111
ER_stress,Resolved; >=100 genes,full_gene,6,-0.354876667824276,0.0401774653367197,-0.458156130420756,-0.251597205227797,0.000309002934172284,0.03125,6,alpha_interaction,0,0.00144201369280399,0.0486111111111111
ER_stress,Resolved; >=100 genes,identity_markers_removed,6,-0.354876667824276,0.0401774653367197,-0.458156130420756,-0.251597205227797,0.000309002934172284,0.03125,6,alpha_interaction,0,0.00144201369280399,0.0486111111111111
Proliferation_stress,All annotated,full_gene,6,0.0236351383647787,0.0300638246826896,-0.0536463832742979,0.100916660003855,0.467375313009108,0.75,3,alpha_interaction,0,0.467375313009108,0.75
Proliferation_stress,All annotated,identity_markers_removed,6,0.0236351383647787,0.0300638246826896,-0.0536463832742979,0.100916660003855,0.467375313009108,0.75,3,alpha_interaction,0,0.483413306084202,0.75
Proliferation_stress,Resolved,full_gene,6,-0.0748794170658343,0.0458096232684706,-0.192636802537107,0.042877968405439,0.163065193912301,0.1875,4,alpha_interaction,0,0.190242726231018,0.201923076923077
Proliferation_stress,Resolved,identity_markers_removed,6,-0.0748794170658343,0.0458096232684706,-0.192636802537107,0.042877968405439,0.163065193912301,0.1875,4,alpha_interaction,0,0.190242726231018,0.201923076923077
Proliferation_stress,Resolved; >=100 genes,full_gene,6,-0.0592669925923273,0.043899390607724,-0.172113968684046,0.0535799834993913,0.234889627503216,0.25,4,alpha_interaction,0,0.252958060388079,0.269230769230769
Proliferation_stress,Resolved; >=100 genes,identity_markers_removed,6,-0.0592669925923273,0.043899390607724,-0.172113968684046,0.0535799834993913,0.234889627503216,0.25,4,alpha_interaction,0,0.252958060388079,0.269230769230769
Integrin_adhesion,All annotated,full_gene,6,-0.233014980935308,0.0980753259452377,-0.485125632334247,0.0190956704636313,0.063488400896152,0.03125,6,alpha_interaction,0,0.124161332306609,0.0625
Integrin_adhesion,All annotated,identity_markers_removed,6,-0.233014980935308,0.0980753259452377,-0.485125632334247,0.0190956704636313,0.063488400896152,0.03125,6,alpha_interaction,0,0.124161332306609,0.0625
Integrin_adhesion,Resolved,full_gene,6,-0.448116556988499,0.151032933850996,-0.83635907332873,-0.0598740406482674,0.0312647021471303,0.03125,6,alpha_interaction,0,0.054713228757478,0.04375
Integrin_adhesion,Resolved,identity_markers_removed,6,-0.448116556988499,0.151032933850996,-0.83635907332873,-0.0598740406482674,0.0312647021471303,0.03125,6,alpha_interaction,0,0.054713228757478,0.0486111111111111
Integrin_adhesion,Resolved; >=100 genes,full_gene,6,-0.45110115531271,0.150598608880601,-0.838227203773282,-0.063975106852139,0.0302592541024791,0.03125,6,alpha_interaction,0,0.0470699508260786,0.0486111111111111
Integrin_adhesion,Resolved; >=100 genes,identity_markers_removed,6,-0.45110115531271,0.150598608880601,-0.838227203773282,-0.063975106852139,0.0302592541024791,0.03125,6,alpha_interaction,0,0.0470699508260786,0.0486111111111111
CXCR4_aging_retention,All annotated,full_gene,6,-0.369043596888258,0.0939540342369432,-0.610560130682497,-0.12752706309402,0.0110934696346881,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
