state,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
MX1/ISG neutrophil,5,-0.236836458558555,0.122745486084383,-0.577632562582665,0.103959645465555,0.125888897980283,0.0625,5,UC_vs_control_fibroblasts,20,0.125888897980283,0.125
OSM neutrophil,5,0.179859467848274,0.0884046797946095,-0.0655912726440477,0.425310208340596,0.111639439641314,0.125,4,UC_vs_control_fibroblasts,20,0.125888897980283,0.125
PADI4 neutrophil,5,0.30148257157524,0.112950036443965,-0.0121170042415178,0.615082147391998,0.0558543673438231,0.0625,5,UC_vs_control_fibroblasts,20,0.125888897980283,0.125
CXCR4 neutrophil,6,0.563011496332403,0.159037192308512,0.154193378593544,0.971829614071263,0.0165603768038583,0.03125,6,UC_vs_alone,20,0.039361637096272,0.09375
MX1/ISG neutrophil,6,0.717685279433889,0.212352369291842,0.171816136177944,1.26355442268983,0.019680818548136,0.0625,5,UC_vs_alone,20,0.039361637096272,0.09375
OSM neutrophil,6,-0.585936060075022,0.227143919573431,-1.16982809380572,-0.00204402634432521,0.0494572424154506,0.09375,5,UC_vs_alone,20,0.0494572424154506,0.09375
PADI4 neutrophil,6,-0.694760715691263,0.261787837291748,-1.36770777502394,-0.0218136563585815,0.0452135914960678,0.09375,5,UC_vs_alone,20,0.0494572424154506,0.09375
CXCR4 neutrophil,5,0.662435166050767,0.153153065254608,0.237214087678573,1.08765624442296,0.0123953722766695,0.0625,5,control_fibroblasts_vs_alone,20,0.0201319827345112,0.0833333333333333
MX1/ISG neutrophil,5,1.15518178054279,0.132575650193992,0.787092765493263,1.52327079559231,0.000955434899566453,0.0625,5,control_fibroblasts_vs_alone,20,0.00382173959826581,0.0833333333333333
OSM neutrophil,5,-0.739544502852364,0.267399848402822,-1.48196550308101,0.00287649737628193,0.0505538866229037,0.125,4,control_fibroblasts_vs_alone,20,0.0505538866229037,0.125
PADI4 neutrophil,5,-1.07807244374119,0.26423637392817,-1.81171023074927,-0.344434656733108,0.0150989870508834,0.0625,5,control_fibroblasts_vs_alone,20,0.0201319827345112,0.0833333333333333
CXCR4 neutrophil,3,-1.18647488720172,0.17656207157783,-1.94616016644628,-0.426789607957148,0.0214356341942906,0.25,3,alpha_interaction,50,0.0428712683885812,0.333333333333333
MX1/ISG neutrophil,3,-1.1709815351678,0.265352392232767,-2.31270072995366,-0.0292623403819334,0.0477059784684283,0.25,3,alpha_interaction,50,0.0636079712912377,0.333333333333333
OSM neutrophil,3,0.316213396874447,0.208728926562355,-0.581874688776744,1.21430148252564,0.269007896389713,0.5,2,alpha_interaction,50,0.269007896389713,0.5
PADI4 neutrophil,3,2.04124302549505,0.2977403798822,0.760169567238263,3.32231648375184,0.0206200307212781,0.25,3,alpha_interaction,50,0.0428712683885812,0.333333333333333
CXCR4 neutrophil,5,-0.151657887934595,0.0668392350348484,-0.337233354882264,0.0339175790130749,0.0858228709702253,0.125,4,alpha_in_UC,50,0.114430494626967,0.166666666666667
MX1/ISG neutrophil,5,-0.0211850226488918,0.0946413630092218,-0.283951571725093,0.24158152642731,0.833845815930659,0.9375,2,alpha_in_UC,50,0.833845815930659,0.9375
OSM neutrophil,5,-0.227471477733109,0.0254661595206715,-0.298176871682464,-0.156766083783755,0.000868666743813654,0.0625,5,alpha_in_UC,50,0.00289525420116434,0.125
PADI4 neutrophil,5,0.400314388316588,0.0512300870010123,0.258076864023771,0.542551912609406,0.00144762710058217,0.0625,5,alpha_in_UC,50,0.00289525420116434,0.125
CXCR4 neutrophil,4,0.940020356159578,0.122710076761569,0.549502125748642,1.33053858657051,0.00462039267291692,0.125,4,alpha_alone,50,0.0184815706916677,0.125
MX1/ISG neutrophil,4,1.06063320718384,0.256495937778817,0.244348657679368,1.87691775668832,0.025667376749529,0.125,4,alpha_alone,50,0.0482408912157993,0.125
OSM neutrophil,4,-0.644917058895008,0.199706954048837,-1.28047371694719,-0.00936040084282386,0.0482408912157993,0.125,4,alpha_alone,50,0.0482408912157993,0.125
PADI4 neutrophil,4,-1.35573650444841,0.391217799400206,-2.60076614471082,-0.110706864186005,0.0404803948585029,0.125,4,alpha_alone,50,0.0482408912157993,0.125
CXCR4 neutrophil,4,-0.320056459871369,0.081788951435053,-0.580345406178881,-0.0597675135638557,0.029659117549609,0.125,4,UC_vs_control_fibroblasts,50,0.118636470198436,0.166666666666667
MX1/ISG neutrophil,4,-0.120957749432332,0.052258637648586,-0.287268057736235,0.0453525588715706,0.103594332395216,0.125,4,UC_vs_control_fibroblasts,50,0.196009522597124,0.166666666666667
OSM neutrophil,4,0.188299580344508,0.113608625777552,-0.173253771009623,0.549852931698638,0.196009522597124,0.25,3,UC_vs_control_fibroblasts,50,0.196009522597124,0.25
PADI4 neutrophil,4,0.252714628959203,0.131525653427331,-0.165858700840632,0.671287958759037,0.15042924731698,0.125,4,UC_vs_control_fibroblasts,50,0.196009522597124,0.166666666666667
CXCR4 neutrophil,4,0.462836649161761,0.0851416173031932,0.191878023749334,0.733795274574187,0.0122203341274858,0.125,4,UC_vs_alone,50,0.0162937788366477,0.166666666666667
MX1/ISG neutrophil,4,0.951079367575531,0.101423997493663,0.62830294148472,1.27385579366634,0.00256887113037361,0.125,4,UC_vs_alone,50,0.00734973784872428,0.166666666666667
OSM neutrophil,4,-0.3494594604579,0.231527801172933,-1.08628425587116,0.387365334955362,0.228348445849429,0.375,3,UC_vs_alone,50,0.228348445849429,0.375
PADI4 neutrophil,4,-1.06445655627938,0.128374864714859,-1.47300267018248,-0.655910442376282,0.00367486892436214,0.125,4,UC_vs_alone,50,0.00734973784872428,0.166666666666667
