gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
HEATR6-DT,-1.71839406778116,3.23299542008559,1.6786496864946,0.196043599575002,0.44126890631152,Resolved,alpha_interaction,4,16812
HEBP1,0.0857662773733547,5.07983421078332,0.0273169526665496,0.868830526101514,0.935470704777147,Resolved,alpha_interaction,4,16812
HEBP2,-2.00968036306319,5.26008773692762,13.9895746865311,0.000218048571846496,0.00303714381929022,Resolved,alpha_interaction,4,16812
HECA,-1.5937684222317,8.22357098538309,32.9942428050632,2.17597235461502e-08,1.0791282367489e-06,Resolved,alpha_interaction,4,16812
HECTD1,-0.597409776769654,4.45153344502133,0.860008379801345,0.3544382270095,0.591093688372553,Resolved,alpha_interaction,4,16812
HECTD2,0.0972594868368112,2.12490327076917,0.00641740774022543,0.936200923641904,0.971109561676388,Resolved,alpha_interaction,4,16812
HECTD3,-1.39313495583269,2.17080349664754,0.930770140339212,0.335394140585217,0.574904920577082,Resolved,alpha_interaction,4,16812
HECTD4,-0.757224937511426,4.65625830131977,1.43658090367768,0.231585917701459,0.48179958524897,Resolved,alpha_interaction,4,16812
HECW1,1.34612084633509,3.25920629140502,2.70903421690038,0.100766331624455,0.304472244297329,Resolved,alpha_interaction,4,16812
HECW2,-1.40593508087401,7.05935463235737,16.9497593876158,4.90529696808573e-05,0.000858146229213916,Resolved,alpha_interaction,4,16812
HEIH,-0.896474938572375,5.1213971504012,2.51642987232197,0.113662221513421,0.32812868384293,Resolved,alpha_interaction,4,16812
HELB,-0.632067391307557,4.87700319521968,1.00453293801398,0.316978013156782,0.558543813859805,Resolved,alpha_interaction,4,16812
HELLPAR,0.0293117010735194,3.96010181455632,0.000392564248211918,0.984204740387869,0.993005466926775,Resolved,alpha_interaction,4,16812
HELLS,0.915722050410827,1.34035791529766,0.246669730323559,0.619771513161414,0.783134060824479,Resolved,alpha_interaction,4,16812
HELQ,-1.40109169902385,4.09973705838696,2.72371038398568,0.0998545993621311,0.302969775216775,Resolved,alpha_interaction,4,16812
HELZ,0.230442627982401,4.72457563710987,0.210245129196892,0.646890575227837,0.800318224352814,Resolved,alpha_interaction,4,16812
HELZ2,-0.630075613050363,4.5297233896559,0.859285737070364,0.354640520664899,0.591143392530262,Resolved,alpha_interaction,4,16812
HEMGN,1.23788126142527,6.1070041806721,11.287259976375,0.00087619446550588,0.00941853027754786,Resolved,alpha_interaction,4,16812
HENMT1,-0.0726796126490936,2.59274495422391,0.00834503791894955,0.927270949667996,0.965924996122128,Resolved,alpha_interaction,4,16812
HEPACAM,-3.9112902093973,1.36173600811056,0.55503468093658,0.456825106167834,0.669818915479995,Resolved,alpha_interaction,4,16812
HEPH,0.249677985651444,2.17157122638815,0.021604147841245,0.883238739378653,0.943123170974669,Resolved,alpha_interaction,4,16812
HEPHL1,-5.31364536026473,2.1070726578712,1.52306231871318,0.218076400515527,0.466480569770099,Resolved,alpha_interaction,4,16812
HEPN1,-2.01049671357738,1.03785545278005,0.13790546405792,0.710622637254053,0.840543053212311,Resolved,alpha_interaction,4,16812
HERC1,-0.695249927745612,6.69777479392363,3.7429123538433,0.0539250169531667,0.207938513452164,Resolved,alpha_interaction,4,16812
HERC2,0.53511148123022,3.95202361220738,0.631143414044585,0.427527384108253,0.648741020249969,Resolved,alpha_interaction,4,16812
HERC2P3,1.16126016407817,1.19952394424498,0.371925685596043,0.542393220601951,0.731193555028466,Resolved,alpha_interaction,4,16812
HERC3,-0.809730782315105,5.4609138504295,2.99538395253051,0.0844762037799618,0.274238991699946,Resolved,alpha_interaction,4,16812
HERC4,-0.52509517476933,6.26865309265697,2.05056422350226,0.153139747918586,0.387904093220742,Resolved,alpha_interaction,4,16812
HERC5,0.333087264204945,2.31324402255383,0.0710256657210095,0.790020781986202,0.889428071168019,Resolved,alpha_interaction,4,16812
HERC6,0.678529312974314,1.21409288096727,0.137859782813303,0.710665829422535,0.840543053212311,Resolved,alpha_interaction,4,16812
HERPUD1,-1.32137221690979,7.54410194161341,21.2906457667132,5.74783149563776e-06,0.000137457387062108,Resolved,alpha_interaction,4,16812
HERPUD2,-0.616779208804715,6.56638994362187,3.21500234657428,0.0739237245640272,0.25152917574791,Resolved,alpha_interaction,4,16812
HES1,-2.34838721359372,6.09224882170427,5.10264305973527,0.0452666339181914,0.185781536765522,Resolved,alpha_interaction,4,16812
HES4,-4.18088946660969,1.13139227057888,0.635520667247972,0.425940336759263,0.647297838958134,Resolved,alpha_interaction,4,16812
HEXA,-1.10221889255562,5.45913372047299,3.24285115910209,0.0726817766650448,0.249525429710585,Resolved,alpha_interaction,4,16812
HEXA-AS1,-8.00586493900085,3.38511248532193,9.16122665694119,0.00267603153518125,0.0228256936425505,Resolved,alpha_interaction,4,16812
HEXB,-2.28969614306775,7.59204354321441,49.0204825930563,1.52904965533257e-11,1.96733235748805e-09,Resolved,alpha_interaction,4,16812
HEXD,-4.85721013229694,1.56629612925029,1.0759078153634,0.300411674464109,0.546474904900519,Resolved,alpha_interaction,4,16812
HEXIM1,-0.219794989879503,7.71641827687639,0.537090698471777,0.464185232352731,0.675368422874436,Resolved,alpha_interaction,4,16812
HEXIM2-AS1,-2.42445888985123,3.5792233539883,3.88408580996318,0.0496168548352122,0.197200606025907,Resolved,alpha_interaction,4,16812
HEY1,-0.510200505984635,2.31074012695397,0.189325126584851,0.66377194744645,0.810669762060767,Resolved,alpha_interaction,4,16812
HEY2-AS1,0.542078472338546,1.34063508375604,0.0931887617177643,0.760362756523964,0.871088154186091,Resolved,alpha_interaction,4,16812
HFE,-3.7930358613412,1.1659434065148,0.48978290905998,0.484545221362962,0.69069537706461,Resolved,alpha_interaction,4,16812
HFM1,-0.0213056798120029,1.37785419392443,0.000119890262622178,0.991270666192785,0.996427051720962,Resolved,alpha_interaction,4,16812
HGS,-0.0501346306466049,4.06811327557313,0.00532387577856649,0.941879931543737,0.973680989817064,Resolved,alpha_interaction,4,16812
HGSNAT,-0.0351107493494286,3.54248185021342,0.00300739692261371,0.956300576997597,0.97996618922855,Resolved,alpha_interaction,4,16812
HHAT,2.1219599699334,3.35206985508349,8.44162129291528,0.00392380009985556,0.0309994959016784,Resolved,alpha_interaction,4,16812
HHEX,-1.06718960923007,3.05248721365953,1.38248664501849,0.240554394740225,0.490429989413091,Resolved,alpha_interaction,4,16812
HHIP,0.861774523172463,1.517181229558,0.223713135275341,0.636551549445819,0.793541795141858,Resolved,alpha_interaction,4,16812
HHLA2,2.22808558054599,1.1593309275183,2.06170961000756,0.152016071153578,0.386173192540641,Resolved,alpha_interaction,4,16812
HIBADH,0.718071693191629,4.03360795109692,0.728866988350924,0.393891465776778,0.622905025175355,Resolved,alpha_interaction,4,16812
HIBCH,-0.475783684657524,3.77061955226566,0.402819029866566,0.526092610725619,0.718958168519937,Resolved,alpha_interaction,4,16812
HIC1,-5.8950216260462,2.26317610578813,2.26773424034637,0.133097260335006,0.357906452455554,Resolved,alpha_interaction,4,16812
HIC2,-6.56763173654122,1.95620096996695,3.3590874477076,0.0677836564275721,0.238655252745621,Resolved,alpha_interaction,4,16812
HIF1A,-1.01110441546939,9.20249809453734,16.637638326986,5.73521550928454e-05,0.000983882072878486,Resolved,alpha_interaction,4,16812
HIF1A-AS1,-1.74621768383512,3.93063441744185,3.22844222037355,0.0733178620605047,0.250674351554679,Resolved,alpha_interaction,4,16812
HIF1A-AS3,-1.68106604624714,5.67109091690835,8.5952947022883,0.00361436733540404,0.0291857558322828,Resolved,alpha_interaction,4,16812
HIF1AN,-0.820863949944253,4.30078480127386,1.70310135140829,0.192827108775025,0.437386136043321,Resolved,alpha_interaction,4,16812
HIF3A,1.14241315217861,1.55451731084238,0.370469980175702,0.543183736923122,0.731673233848441,Resolved,alpha_interaction,4,16812
