program,population,version,DonorID,delta,contrast,min_cells
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.549225948452639,alpha_interaction,0
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,Donor6,-1.41398714679604,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor1,-0.196112137740546,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor2,-0.141674202344959,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor3,-0.39472759983599,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor4,-0.514115791800791,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor5,-0.0803685955506708,alpha_interaction,0
Phagocytosis,All annotated,full_gene,Donor6,-0.650375445504346,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor1,-0.196112137740546,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor2,-0.141674202344959,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor3,-0.39472759983599,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor4,-0.514115791800791,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor5,-0.0803685955506708,alpha_interaction,0
Phagocytosis,All annotated,identity_markers_removed,Donor6,-0.650375445504346,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor1,-0.755004421214918,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor2,-0.633005420343713,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor3,-0.468506585459142,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor4,-0.542960857085534,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor5,-0.644532095411326,alpha_interaction,0
Phagocytosis,Resolved,full_gene,Donor6,-1.25864223724353,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor1,-0.755004421214918,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor2,-0.633005420343713,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor3,-0.468506585459142,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor4,-0.542960857085534,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor5,-0.644532095411326,alpha_interaction,0
Phagocytosis,Resolved,identity_markers_removed,Donor6,-1.25864223724353,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor1,-0.73229090910803,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor2,-0.628448675539763,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor3,-0.447873345450134,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor4,-0.468055596176316,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor5,-0.755073679883846,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,full_gene,Donor6,-1.26043273780273,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.73229090910803,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.628448675539763,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.447873345450134,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.468055596176316,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.755073679883846,alpha_interaction,0
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,Donor6,-1.26043273780273,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor1,-0.163502482152521,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor2,-0.152085093316447,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor3,-0.438207771521133,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor4,-0.505668520950762,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor5,-0.0933171776568893,alpha_interaction,0
Chemotaxis,All annotated,full_gene,Donor6,-0.511131557092392,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor1,-0.167987131403826,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor2,-0.177118326934232,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor3,-0.431274713509023,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor4,-0.477874867236844,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor5,-0.0856351325538671,alpha_interaction,0
Chemotaxis,All annotated,identity_markers_removed,Donor6,-0.462717629974445,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor1,-0.736240256057947,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor2,-0.703042165231486,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor3,-0.567397997332994,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor4,-0.554378677727639,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor5,-0.827531248974107,alpha_interaction,0
Chemotaxis,Resolved,full_gene,Donor6,-0.892811826210948,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor1,-0.729700502436019,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor2,-0.659377981524169,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor3,-0.560657250020566,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor4,-0.526815979554472,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor5,-0.695331543643313,alpha_interaction,0
Chemotaxis,Resolved,identity_markers_removed,Donor6,-0.772282312720798,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,full_gene,Donor1,-0.709413076304606,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,full_gene,Donor2,-0.731982501793399,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,full_gene,Donor3,-0.572111289146987,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,full_gene,Donor4,-0.474325854845558,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,full_gene,Donor5,-0.91536784226133,alpha_interaction,0
