barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
C_49049359,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49052298,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49053062,Donor1,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49054282,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49055032,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49056474,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49057764,Donor6,UN,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49057798,Donor1,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49058711,Donor3,UN,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
C_49059177,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49061023,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49062692,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49065066,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49067013,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49071393,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49081919,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49085478,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49087391,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49088409,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49088547,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49092512,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49093119,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49095915,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49096205,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49096319,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49097708,Donor2,UN,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
C_49099115,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49100127,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49102548,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49110545,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49112159,Donor3,UN,Low-signal neutrophil,OSM neutrophil,TRUE
C_49113343,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49114122,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49116698,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49117663,Donor3,UN,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
C_49117864,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49118056,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49119970,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49121374,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49121930,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49123440,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49124132,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49124820,Donor6,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49127701,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49128065,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49133795,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49135581,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49138835,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49140088,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49141366,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49141837,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49150178,Donor4,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_49150543,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49150996,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49151153,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49155215,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49157250,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49159489,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49165089,Donor3,UN,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
C_49165231,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49165862,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49167436,Donor4,UN,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_49177316,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49181492,Donor1,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49193832,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49194445,Donor3,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49197698,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49201129,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49204553,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49204679,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49205261,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49206425,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49206763,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49209897,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49211927,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49212091,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49214986,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49216296,Donor4,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49219878,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49222043,Donor3,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49225007,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49229442,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49229994,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49231245,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49232196,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49232567,Donor2,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49238904,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49239362,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49243434,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49243652,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49244562,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49251974,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49256930,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49257743,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49264864,Donor4,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49265843,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49267339,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49269446,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49271459,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49274759,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49275322,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49283766,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49285617,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49286684,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49291645,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49291770,Donor2,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49292185,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49293695,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49294166,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49297989,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49298048,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49299574,Donor3,UN,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49300000,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49300313,Donor1,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49302888,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49306449,Donor6,UN,Low-signal neutrophil,OSM neutrophil,TRUE
C_49306913,Donor3,UN,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
C_49307754,Donor1,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49308944,Donor4,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49310584,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49314777,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49316051,Donor6,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49316647,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49322953,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49323251,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49324259,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49324735,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49325270,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49327112,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49327503,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49327993,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49328199,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49332332,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49332526,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49332787,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49335742,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49336762,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49349418,Donor2,UF,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_49350872,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49351649,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49352412,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49353701,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49354775,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49358359,Donor2,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49358615,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49362757,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49364779,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49366222,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49367379,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49369198,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49370181,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49374363,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49374870,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49375842,Donor1,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49381837,Donor4,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49385716,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49386977,Donor4,UN,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49387388,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49388127,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49391568,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49392839,Donor3,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49394870,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49397518,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49398266,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49401064,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49401163,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49403966,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49404794,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49405019,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49405544,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49407014,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49407648,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49408994,Donor3,UN,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
C_49410596,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49411921,Donor1,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49412713,Donor2,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49413080,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49414124,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49414180,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49416910,Donor1,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49419409,Donor4,UN,Low-signal neutrophil,OSM neutrophil,TRUE
C_49419513,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49420856,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49424233,Donor6,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49431955,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49432597,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49433645,Donor4,UN,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49434309,Donor1,UF,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49436424,Donor2,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49436976,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49440437,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49442540,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49448790,Donor1,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49449768,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49450586,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49452122,Donor6,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49452130,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49452253,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49453364,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49454075,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49455082,Donor3,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49456185,Donor3,UF,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
C_49457666,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49458120,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49458684,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49460053,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49460835,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49461152,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49462281,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49463364,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49464217,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49467114,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49467451,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49467728,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49469970,Donor3,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_49471443,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49473041,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49473413,Donor3,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49475263,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49475932,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49476344,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49477739,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49479583,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49480587,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49482362,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49485085,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49486675,Donor1,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49490131,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49492137,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49493022,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49493975,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49499005,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49500325,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49500767,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49500772,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49504221,Donor6,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49504360,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49507877,Donor2,UF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49509982,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49511800,Donor5,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49513223,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49519431,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49522809,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49528112,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49528698,Donor5,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49529065,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49532126,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49532186,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49533006,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49533366,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49534179,Donor4,UF,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
C_49540228,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49541610,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49545263,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49547290,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49548116,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49550190,Donor1,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49551632,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49555181,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49555600,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49557628,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49557890,Donor2,UF,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_49559751,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49562061,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49565385,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49566782,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49570794,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49571077,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49571456,Donor2,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_49572234,Donor1,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49575522,Donor3,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49579991,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49580127,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49581419,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49581802,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49583375,Donor4,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49585389,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49585502,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49585960,Donor4,UF,IL1R2+ inflammatory neutrophil,PADI4 neutrophil,TRUE
C_49590338,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49593029,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49595773,Donor3,UN,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
C_49597627,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49599533,Donor3,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49599786,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49605215,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49605444,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49608004,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
