barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
D_56184155,Donor2,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56189445,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56189729,Donor3,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56191223,Donor6,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56192137,Donor1,UA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56192652,Donor2,UA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
D_56193773,Donor3,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56194418,Donor4,UA5,Low-signal neutrophil,OSM neutrophil,TRUE
D_56195683,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56196075,Donor3,UA5,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56197130,Donor2,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56198050,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56198987,Donor5,UD,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
D_56200270,Donor3,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56200373,Donor2,UD,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56200928,Donor6,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56201141,Donor4,UA5,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
D_56201995,Donor6,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56204683,Donor2,UA5,Low-signal neutrophil,OSM neutrophil,TRUE
D_56204940,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
