program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
Chemotaxis,identity_markers_removed,1,composition,5,-0.0029815554965189,0.00459183262807334,-0.0157305267206207,0.00976741572758285,0.551533603220097,0.5,3,0.70195185864376
OSM_inflammation,identity_markers_removed,1,composition,5,-0.0159678194549694,0.00897185651182576,-0.040877686551765,0.00894204764182621,0.149724828107383,0.125,4,0.299449656214766
Type_I_interferon,identity_markers_removed,1,composition,5,0.00712581264829629,0.00606743388554318,-0.00972008446433129,0.0239717097609239,0.30536626020298,0.3125,4,0.475014182537969
Immature_granulopoiesis,identity_markers_removed,1,composition,5,0.0389063688819415,0.0112242681036227,0.00774280464621049,0.0700699331176724,0.025670606565326,0.0625,5,0.152977598147792
Survival_antiapoptosis,identity_markers_removed,1,composition,5,-0.00225177615122268,0.00241186314657632,-0.00894818177894145,0.00444462947649609,0.403350824012032,0.5,3,0.564691153616845
Hypoxia_glycolysis,identity_markers_removed,1,composition,5,0.00280959783461831,0.0012305672683186,-0.000607004634121488,0.0062262003033581,0.0844904017635575,0.125,4,0.274728212768408
ER_stress,identity_markers_removed,1,composition,5,-4.19226993229328e-05,0.00174027644267942,-0.00487370471029123,0.00478985931164536,0.981934925390053,1,4,0.994683143685733
Proliferation_stress,identity_markers_removed,1,composition,5,0.0104071692091823,0.00642412255063616,-0.00742905440172225,0.0282433928200868,0.18054393804788,0.0625,5,0.31595189158379
Integrin_adhesion,identity_markers_removed,1,composition,5,0.00128769213057858,0.000684934071091913,-0.000613989718487757,0.00318937397964492,0.133277603222576,0.1875,4,0.299449656214766
CXCR4_aging_retention,identity_markers_removed,1,composition,5,-5.71944564931908e-05,0.00806781126141423,-0.0224570295429064,0.02234264062992,0.994683143685733,1,3,0.994683143685733
NETosis,identity_markers_removed,10,composition,5,0.0101053840185063,0.00475605728922845,-0.00309954796221234,0.0233103159992249,0.100802740018784,0.125,4,0.377526536676406
Degranulation,identity_markers_removed,10,composition,5,0.0242173602218292,0.0113080684514401,-0.00717887107941316,0.0556135915230716,0.0989098854155777,0.125,4,0.377526536676406
Oxidative_burst,identity_markers_removed,10,composition,5,0.00154391031775632,0.000966920416788882,-0.00114069114055298,0.00422851177606562,0.185562715892788,0.1875,4,0.377526536676406
Phagocytosis,identity_markers_removed,10,composition,5,0.000692104270464257,0.00367791925764414,-0.00951943664973451,0.010903645190663,0.859897938897407,0.9375,2,0.868725785742565
Chemotaxis,identity_markers_removed,10,composition,5,-0.000701433789044173,0.00398175399830717,-0.0117565551877459,0.0103536876096575,0.868725785742565,0.8125,3,0.868725785742565
OSM_inflammation,identity_markers_removed,10,composition,5,-0.0140862992306325,0.00958821290914672,-0.0407074460298272,0.0125348475685622,0.215729449529375,0.25,3,0.377526536676406
Type_I_interferon,identity_markers_removed,10,composition,5,0.00491586752340819,0.00612659687323024,-0.012094292376792,0.0219260274236084,0.467295996872229,0.5,3,0.594740359655564
Immature_granulopoiesis,identity_markers_removed,10,composition,5,0.0291909129503058,0.0131726977373447,-0.00738235920479486,0.0657641851054065,0.091014634436576,0.125,4,0.377526536676406
Survival_antiapoptosis,identity_markers_removed,10,composition,5,-0.00271340286288426,0.00222864591102524,-0.00890111589376936,0.00347431016800085,0.290320941946322,0.375,3,0.451610354138723
Hypoxia_glycolysis,identity_markers_removed,10,composition,5,0.00195706427677521,0.00127137659250052,-0.00157284304033592,0.00548697159388634,0.198560040112308,0.1875,4,0.377526536676406
ER_stress,identity_markers_removed,10,composition,5,-0.00131140641466429,0.000720205612557946,-0.00331101776238678,0.000688204933058194,0.142731476193833,0.125,4,0.377526536676406
Proliferation_stress,identity_markers_removed,10,composition,5,0.00989578595545534,0.00659666298404008,-0.00841948669722222,0.0282110586081329,0.207970515399327,0.0625,5,0.377526536676406
Integrin_adhesion,identity_markers_removed,10,composition,5,0.000728966467984415,0.00064874153325191,-0.00107222878655136,0.00253016172252019,0.324031696742487,0.375,3,0.453644375439482
CXCR4_aging_retention,identity_markers_removed,10,composition,5,0.00152588666468725,0.00776075929135203,-0.0200214354824054,0.0230732088117799,0.853713952131149,0.875,2,0.868725785742565
NETosis,full_gene,1,activity,5,0.00546317617622163,0.0255749507989663,-0.0655442707852427,0.076470623137686,0.841294263512336,0.875,2,0.949378653326323
Degranulation,full_gene,1,activity,5,0.0304451075110304,0.0107982861076009,0.000464258903056607,0.0604259561190042,0.0478554028380155,0.0625,5,0.133995127946443
Oxidative_burst,full_gene,1,activity,5,-0.049279425761465,0.0528046790608562,-0.19588871847152,0.0973298669485895,0.403527441375368,0.375,3,0.564938417925515
Phagocytosis,full_gene,1,activity,5,-0.0995047669168658,0.0496416755023871,-0.237332153879286,0.0383226200455541,0.115526813422896,0.25,3,0.231053626845792
Chemotaxis,full_gene,1,activity,5,-0.133781787996905,0.0405967266673935,-0.246496371039642,-0.0210672049541674,0.0300632538908459,0.0625,5,0.133995127946443
OSM_inflammation,full_gene,1,activity,5,-0.0585402558965773,0.0232850947631502,-0.123190043275792,0.00610953148263793,0.0657715011332429,0.0625,5,0.153466835977567
Type_I_interferon,full_gene,1,activity,5,-0.00140585403905246,0.00885633135368151,-0.0259949718759912,0.0231832637978863,0.881565892374443,1,1,0.949378653326323
Immature_granulopoiesis,full_gene,1,activity,5,0.0575615151144121,0.00817058508614996,0.034876334145369,0.0802466960834553,0.00214012904086299,0.0625,5,0.0299618065720819
Survival_antiapoptosis,full_gene,1,activity,5,-0.0516871567717973,0.0287606618847236,-0.131539555683887,0.0281652421402924,0.146724601669544,0.25,3,0.256768052921702
Hypoxia_glycolysis,full_gene,1,activity,5,0.00852115235725159,0.0303552286136471,-0.0757584735442689,0.0928007782587721,0.792850444154227,0.75,2,0.949378653326323
ER_stress,full_gene,1,activity,5,-0.106588281073134,0.0353872451514302,-0.204839024660257,-0.00833753748601156,0.0394704953764069,0.0625,5,0.133995127946443
Proliferation_stress,full_gene,1,activity,5,0.000998575605782192,0.0280263884110858,-0.0768151533145493,0.0788123045261136,0.973284688529287,1,4,0.973284688529287
Integrin_adhesion,full_gene,1,activity,5,-0.045880652365113,0.036511620811376,-0.147253163249696,0.0554918585194697,0.277275738334671,0.3125,3,0.431317815187266
CXCR4_aging_retention,full_gene,1,activity,5,-0.177928384391509,0.0439866228314497,-0.300054828046069,-0.0558019407369487,0.0155389770439425,0.0625,5,0.108772839307598
NETosis,full_gene,10,activity,5,0.00200840011967667,0.0272812053474014,-0.0737363689310117,0.077753169170365,0.944848413977394,1,2,0.945217791459525
Degranulation,full_gene,10,activity,5,0.0241878354883713,0.0134835978273538,-0.0132486336998408,0.0616243046765834,0.147285287393847,0.1875,4,0.257749252939232
Oxidative_burst,full_gene,10,activity,5,-0.0505810865930693,0.0533250685223653,-0.198635212076327,0.0974730388901889,0.396565102756116,0.375,3,0.555191143858562
