DonorID,ConditionCode,program,value,cells,population,version
Donor6,NA5,Oxidative_burst,1.03848799113541,1,Resolved,full_gene
Donor1,N,Phagocytosis,-0.408280234691078,55,Resolved,full_gene
Donor6,N,Phagocytosis,-0.350837287476346,801,Resolved,full_gene
Donor5,NNAMPT,Phagocytosis,-0.461621620624459,41,Resolved,full_gene
Donor2,NNAMPT,Phagocytosis,-0.387807313209675,215,Resolved,full_gene
Donor1,NNAMPT,Phagocytosis,-0.349120353682242,63,Resolved,full_gene
Donor4,NNAMPT,Phagocytosis,-0.283467327562917,233,Resolved,full_gene
Donor4,N,Phagocytosis,-0.273953823525183,234,Resolved,full_gene
Donor5,N,Phagocytosis,-0.37807907938362,61,Resolved,full_gene
Donor3,N,Phagocytosis,-0.157665168724196,102,Resolved,full_gene
Donor3,NNAMPT,Phagocytosis,-0.0583102293012372,42,Resolved,full_gene
Donor2,N,Phagocytosis,-0.386806914630954,47,Resolved,full_gene
Donor6,NNAMPT,Phagocytosis,-0.543940686932847,13,Resolved,full_gene
Donor4,UF,Phagocytosis,0.156913956379166,3393,Resolved,full_gene
Donor4,UN,Phagocytosis,0.255123829960749,1239,Resolved,full_gene
Donor3,UN,Phagocytosis,0.19901353585441,2554,Resolved,full_gene
Donor2,UF,Phagocytosis,0.106903570450157,720,Resolved,full_gene
Donor3,UF,Phagocytosis,0.186398994421296,2349,Resolved,full_gene
Donor2,UN,Phagocytosis,0.0726791303434545,461,Resolved,full_gene
Donor6,UF,Phagocytosis,0.0228843252804643,369,Resolved,full_gene
Donor1,UF,Phagocytosis,0.111992206252235,140,Resolved,full_gene
Donor5,UF,Phagocytosis,0.213092891671498,28,Resolved,full_gene
Donor1,UN,Phagocytosis,0.113974949540043,87,Resolved,full_gene
Donor6,UN,Phagocytosis,0.0549890610348554,54,Resolved,full_gene
Donor5,UN,Phagocytosis,0.159005802065748,26,Resolved,full_gene
Donor4,UD,Phagocytosis,0.224990856744039,1847,Resolved,full_gene
Donor4,UA5,Phagocytosis,0.200693011810121,1576,Resolved,full_gene
Donor5,UD,Phagocytosis,-0.109974029898461,1184,Resolved,full_gene
Donor2,UD,Phagocytosis,-0.112888229252851,946,Resolved,full_gene
Donor3,UA5,Phagocytosis,0.185214989122577,2053,Resolved,full_gene
Donor1,UA5,Phagocytosis,-0.0739438770588096,1402,Resolved,full_gene
Donor2,UA5,Phagocytosis,-0.0724767224060374,944,Resolved,full_gene
Donor6,UD,Phagocytosis,-0.152233412068507,481,Resolved,full_gene
Donor3,UD,Phagocytosis,0.144990582054773,1516,Resolved,full_gene
Donor6,UA5,Phagocytosis,-0.154865981802608,510,Resolved,full_gene
Donor1,UD,Phagocytosis,0.0290558698817471,200,Resolved,full_gene
Donor5,UA5,Phagocytosis,0.006899782207552,4,Resolved,full_gene
Donor4,CF,Phagocytosis,0.3183420978341,2848,Resolved,full_gene
Donor3,NA5,Phagocytosis,0.309657411436229,3913,Resolved,full_gene
Donor2,NA5,Phagocytosis,0.0668182128565649,1148,Resolved,full_gene
Donor5,NA5,Phagocytosis,0.0602599065637606,2536,Resolved,full_gene
Donor3,CF,Phagocytosis,0.332909447268972,3355,Resolved,full_gene
Donor6,CF,Phagocytosis,0.0561735493815913,1249,Resolved,full_gene
Donor1,CF,Phagocytosis,0.0901355031564592,1253,Resolved,full_gene
Donor4,NA5,Phagocytosis,0.312786088991306,1580,Resolved,full_gene
Donor1,NA5,Phagocytosis,0.160788103212796,71,Resolved,full_gene
Donor5,CF,Phagocytosis,0.30708868151777,11,Resolved,full_gene
Donor2,CF,Phagocytosis,0.0527872848176682,22,Resolved,full_gene
Donor6,NA5,Phagocytosis,0.730054642684113,1,Resolved,full_gene
Donor1,N,Chemotaxis,-0.362526395926094,55,Resolved,full_gene
Donor6,N,Chemotaxis,-0.354700127243734,801,Resolved,full_gene
Donor5,NNAMPT,Chemotaxis,-0.365221297115546,41,Resolved,full_gene
Donor2,NNAMPT,Chemotaxis,-0.380683663599469,215,Resolved,full_gene
Donor1,NNAMPT,Chemotaxis,-0.369589817339954,63,Resolved,full_gene
Donor4,NNAMPT,Chemotaxis,-0.234977290264481,233,Resolved,full_gene
Donor4,N,Chemotaxis,-0.234524084022372,234,Resolved,full_gene
Donor5,N,Chemotaxis,-0.364959249176762,61,Resolved,full_gene
Donor3,N,Chemotaxis,-0.196969051423504,102,Resolved,full_gene
Donor3,NNAMPT,Chemotaxis,-0.0116413940750027,42,Resolved,full_gene
Donor2,N,Chemotaxis,-0.425230723364703,47,Resolved,full_gene
Donor6,NNAMPT,Chemotaxis,-0.571638053213149,13,Resolved,full_gene
Donor4,UF,Chemotaxis,0.157343291091134,3393,Resolved,full_gene
