Diagnosis2,marker,model,n,effect,se,low,high,p,p_signflip,same_sign,q
UC_Noninflamed,CD16,Continuous nearest fibroblast FAP,8,0.191122931857959,0.0691811507803684,0.0275355049696034,0.354710358746316,0.027989109227044,0.03125,7,0.055978218454088
UC_Noninflamed,CD11b,Continuous nearest fibroblast FAP,8,0.192683361207825,0.0638930804850069,0.0416002335840077,0.343766488831642,0.0195039817343039,0.0390625,7,0.055978218454088
UC_Noninflamed,CXCR4,Continuous nearest fibroblast a5,8,-0.0587280782855729,0.0662797785518784,-0.215454850039544,0.0979986934683979,0.40499316935657,0.421875,6,0.764889312257858
UC_Noninflamed,OSM,Continuous nearest fibroblast a5,8,0.0485517860731063,0.0836412954516113,-0.149228449586411,0.246332021732624,0.579791931014372,0.6484375,4,0.764889312257858
UC_Noninflamed,CD16,Continuous nearest fibroblast a5,8,0.0843266579372163,0.0804221116645633,-0.105841417669113,0.274494733543546,0.329232941447678,0.34375,4,0.764889312257858
UC_Noninflamed,CD11b,Continuous nearest fibroblast a5,8,0.0272991009737687,0.0877908492723109,-0.180293270283464,0.234891472231002,0.764889312257858,0.734375,4,0.764889312257858
UC_Noninflamed,CXCR4,Continuous nearest fibroblast FAP_a5,8,0.0130013797080674,0.0313590941982711,-0.0611510949411471,0.0871538543572818,0.69084764897977,0.6796875,5,0.69084764897977
UC_Noninflamed,OSM,Continuous nearest fibroblast FAP_a5,8,0.0734410580022802,0.0627406631096607,-0.0749170355478361,0.221799151552397,0.280082550535503,0.28125,4,0.373443400714004
UC_Noninflamed,CD16,Continuous nearest fibroblast FAP_a5,8,0.0939952440359692,0.0315991422457421,0.0192751459521574,0.168715342119781,0.0206720696723995,0.0078125,8,0.0413441393447991
UC_Noninflamed,CD11b,Continuous nearest fibroblast FAP_a5,8,0.13684502820439,0.0350013053488919,0.0540800927389963,0.219609963669784,0.00582559085890625,0.0078125,8,0.023302363435625
