state,DonorID,delta,contrast,min_cells
MX1/ISG neutrophil,Donor3,0.987986040758676,control_fibroblasts_vs_alone,0
MX1/ISG neutrophil,Donor4,0.799281971129646,control_fibroblasts_vs_alone,0
MX1/ISG neutrophil,Donor5,-0.0953555542921301,control_fibroblasts_vs_alone,0
MX1/ISG neutrophil,Donor6,1.06584598939607,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor1,-1.07046901876693,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor2,-1.54668635105219,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor3,0.03709008406579,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor4,-0.54169919822258,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor5,-1.17355897132903,control_fibroblasts_vs_alone,0
OSM neutrophil,Donor6,-0.57595803028591,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor1,-1.12339312846809,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor2,-0.12167747775161,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor3,-1.53542587241243,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor4,-1.01547780794234,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor5,1.00325673437598,control_fibroblasts_vs_alone,0
PADI4 neutrophil,Donor6,-1.59438793213148,control_fibroblasts_vs_alone,0
CXCR4 neutrophil,Donor1,-1.53900536792033,alpha_interaction,20
CXCR4 neutrophil,Donor2,-0.634015147856591,alpha_interaction,20
CXCR4 neutrophil,Donor3,-0.992484227727734,alpha_interaction,20
CXCR4 neutrophil,Donor4,-1.02793506595708,alpha_interaction,20
MX1/ISG neutrophil,Donor1,-1.69710433592969,alpha_interaction,20
MX1/ISG neutrophil,Donor2,-0.963061073416802,alpha_interaction,20
MX1/ISG neutrophil,Donor3,-0.968184345391505,alpha_interaction,20
MX1/ISG neutrophil,Donor4,-0.847655924182195,alpha_interaction,20
OSM neutrophil,Donor1,0.66695377122827,alpha_interaction,20
OSM neutrophil,Donor2,1.35626581261978,alpha_interaction,20
OSM neutrophil,Donor3,-0.0552159311253899,alpha_interaction,20
OSM neutrophil,Donor4,0.33690235052046,alpha_interaction,20
PADI4 neutrophil,Donor1,2.56915593262172,alpha_interaction,20
PADI4 neutrophil,Donor2,0.240810408653622,alpha_interaction,20
PADI4 neutrophil,Donor3,2.01588450424463,alpha_interaction,20
PADI4 neutrophil,Donor4,1.53868863961881,alpha_interaction,20
CXCR4 neutrophil,Donor1,-0.2366267423133,alpha_in_UC,20
CXCR4 neutrophil,Donor2,-0.272616648475391,alpha_in_UC,20
CXCR4 neutrophil,Donor3,-0.204289558158936,alpha_in_UC,20
CXCR4 neutrophil,Donor4,-0.147482989791547,alpha_in_UC,20
CXCR4 neutrophil,Donor6,0.1027264990662,alpha_in_UC,20
MX1/ISG neutrophil,Donor1,0.0418299848555299,alpha_in_UC,20
MX1/ISG neutrophil,Donor2,0.034326192684402,alpha_in_UC,20
MX1/ISG neutrophil,Donor3,-0.00120062256526998,alpha_in_UC,20
MX1/ISG neutrophil,Donor4,0.194248437243099,alpha_in_UC,20
MX1/ISG neutrophil,Donor6,-0.37512910546222,alpha_in_UC,20
OSM neutrophil,Donor1,-0.22147319783857,alpha_in_UC,20
OSM neutrophil,Donor2,-0.208568012224674,alpha_in_UC,20
OSM neutrophil,Donor3,-0.14517646187596,alpha_in_UC,20
OSM neutrophil,Donor4,-0.28650781742266,alpha_in_UC,20
OSM neutrophil,Donor6,-0.275631899303683,alpha_in_UC,20
PADI4 neutrophil,Donor1,0.416269955296319,alpha_in_UC,20
PADI4 neutrophil,Donor2,0.446858468015662,alpha_in_UC,20
PADI4 neutrophil,Donor3,0.35066664260016,alpha_in_UC,20
PADI4 neutrophil,Donor4,0.2397423699711,alpha_in_UC,20
PADI4 neutrophil,Donor6,0.5480345056997,alpha_in_UC,20
CXCR4 neutrophil,Donor1,1.30237862560703,alpha_alone,20
CXCR4 neutrophil,Donor2,0.3613984993812,alpha_alone,20
CXCR4 neutrophil,Donor3,0.788194669568798,alpha_alone,20
CXCR4 neutrophil,Donor4,0.880452076165537,alpha_alone,20
CXCR4 neutrophil,Donor5,0.789056053296948,alpha_alone,20
MX1/ISG neutrophil,Donor1,1.73893432078522,alpha_alone,20
MX1/ISG neutrophil,Donor2,0.997387266101204,alpha_alone,20
MX1/ISG neutrophil,Donor3,0.966983722826235,alpha_alone,20
MX1/ISG neutrophil,Donor4,1.04190436142529,alpha_alone,20
MX1/ISG neutrophil,Donor5,0.494710423698626,alpha_alone,20
OSM neutrophil,Donor1,-0.88842696906684,alpha_alone,20
OSM neutrophil,Donor2,-1.56483382484445,alpha_alone,20
OSM neutrophil,Donor3,-0.08996053075057,alpha_alone,20
OSM neutrophil,Donor4,-0.62341016794312,alpha_alone,20
OSM neutrophil,Donor5,-0.9778705678195,alpha_alone,20
PADI4 neutrophil,Donor1,-2.1528859773254,alpha_alone,20
PADI4 neutrophil,Donor2,0.20604805936204,alpha_alone,20
PADI4 neutrophil,Donor3,-1.66521786164447,alpha_alone,20
PADI4 neutrophil,Donor4,-1.29894626964771,alpha_alone,20
PADI4 neutrophil,Donor5,-0.30589590917607,alpha_alone,20
CXCR4 neutrophil,Donor1,-0.16004840958234,UC_vs_control_fibroblasts,20
CXCR4 neutrophil,Donor2,0.0576979351607101,UC_vs_control_fibroblasts,20
CXCR4 neutrophil,Donor3,-0.20006060809358,UC_vs_control_fibroblasts,20
CXCR4 neutrophil,Donor4,-0.436922748663874,UC_vs_control_fibroblasts,20
CXCR4 neutrophil,Donor6,-0.48319407314568,UC_vs_control_fibroblasts,20
MX1/ISG neutrophil,Donor1,-0.269034808520795,UC_vs_control_fibroblasts,20
MX1/ISG neutrophil,Donor2,-0.700351295063448,UC_vs_control_fibroblasts,20
MX1/ISG neutrophil,Donor3,-0.040800075458065,UC_vs_control_fibroblasts,20
MX1/ISG neutrophil,Donor4,-0.119501848532795,UC_vs_control_fibroblasts,20
MX1/ISG neutrophil,Donor6,-0.054494265217673,UC_vs_control_fibroblasts,20
OSM neutrophil,Donor1,0.28627127592626,UC_vs_control_fibroblasts,20
OSM neutrophil,Donor2,0.14609901786334,UC_vs_control_fibroblasts,20
OSM neutrophil,Donor3,0.15026174873391,UC_vs_control_fibroblasts,20
OSM neutrophil,Donor4,0.42482999770664,UC_vs_control_fibroblasts,20
OSM neutrophil,Donor6,-0.10816470098878,UC_vs_control_fibroblasts,20
PADI4 neutrophil,Donor1,0.14281194217689,UC_vs_control_fibroblasts,20
PADI4 neutrophil,Donor2,0.49655434203939,UC_vs_control_fibroblasts,20
PADI4 neutrophil,Donor3,0.0905989348177401,UC_vs_control_fibroblasts,20
PADI4 neutrophil,Donor4,0.13159459949004,UC_vs_control_fibroblasts,20
PADI4 neutrophil,Donor6,0.64585303935214,UC_vs_control_fibroblasts,20
CXCR4 neutrophil,Donor1,0.59877927090562,UC_vs_alone,20
CXCR4 neutrophil,Donor2,0.23830132928203,UC_vs_alone,20
CXCR4 neutrophil,Donor3,0.310289139494388,UC_vs_alone,20
CXCR4 neutrophil,Donor4,0.320972286371403,UC_vs_alone,20
CXCR4 neutrophil,Donor5,1.28842105206535,UC_vs_alone,20
CXCR4 neutrophil,Donor6,0.621305899875631,UC_vs_alone,20
MX1/ISG neutrophil,Donor1,1.16599965822626,UC_vs_alone,20
MX1/ISG neutrophil,Donor2,0.78740913961904,UC_vs_alone,20
MX1/ISG neutrophil,Donor3,0.947185965300611,UC_vs_alone,20
MX1/ISG neutrophil,Donor4,0.679780122596851,UC_vs_alone,20
MX1/ISG neutrophil,Donor5,-0.28561493331783,UC_vs_alone,20
MX1/ISG neutrophil,Donor6,1.0113517241784,UC_vs_alone,20
OSM neutrophil,Donor1,-0.78419774284067,UC_vs_alone,20
OSM neutrophil,Donor2,-1.40058733318885,UC_vs_alone,20
OSM neutrophil,Donor3,0.1873518327997,UC_vs_alone,20
OSM neutrophil,Donor4,-0.11686920051594,UC_vs_alone,20
OSM neutrophil,Donor5,-0.71719118542968,UC_vs_alone,20
OSM neutrophil,Donor6,-0.68412273127469,UC_vs_alone,20
PADI4 neutrophil,Donor1,-0.9805811862912,UC_vs_alone,20
PADI4 neutrophil,Donor2,0.37487686428778,UC_vs_alone,20
PADI4 neutrophil,Donor3,-1.44482693759469,UC_vs_alone,20
PADI4 neutrophil,Donor4,-0.883883208452303,UC_vs_alone,20
PADI4 neutrophil,Donor5,-0.28561493331783,UC_vs_alone,20
PADI4 neutrophil,Donor6,-0.948534892779338,UC_vs_alone,20
CXCR4 neutrophil,Donor1,0.75882768048796,control_fibroblasts_vs_alone,20
CXCR4 neutrophil,Donor2,0.18060339412132,control_fibroblasts_vs_alone,20
CXCR4 neutrophil,Donor3,0.510349747587968,control_fibroblasts_vs_alone,20
CXCR4 neutrophil,Donor4,0.757895035035277,control_fibroblasts_vs_alone,20
CXCR4 neutrophil,Donor6,1.10449997302131,control_fibroblasts_vs_alone,20
MX1/ISG neutrophil,Donor1,1.43503446674706,control_fibroblasts_vs_alone,20
MX1/ISG neutrophil,Donor2,1.48776043468249,control_fibroblasts_vs_alone,20
MX1/ISG neutrophil,Donor3,0.987986040758676,control_fibroblasts_vs_alone,20
MX1/ISG neutrophil,Donor4,0.799281971129646,control_fibroblasts_vs_alone,20
MX1/ISG neutrophil,Donor6,1.06584598939607,control_fibroblasts_vs_alone,20
OSM neutrophil,Donor1,-1.07046901876693,control_fibroblasts_vs_alone,20
OSM neutrophil,Donor2,-1.54668635105219,control_fibroblasts_vs_alone,20
OSM neutrophil,Donor3,0.03709008406579,control_fibroblasts_vs_alone,20
OSM neutrophil,Donor4,-0.54169919822258,control_fibroblasts_vs_alone,20
OSM neutrophil,Donor6,-0.57595803028591,control_fibroblasts_vs_alone,20
PADI4 neutrophil,Donor1,-1.12339312846809,control_fibroblasts_vs_alone,20
PADI4 neutrophil,Donor2,-0.12167747775161,control_fibroblasts_vs_alone,20
PADI4 neutrophil,Donor3,-1.53542587241243,control_fibroblasts_vs_alone,20
PADI4 neutrophil,Donor4,-1.01547780794234,control_fibroblasts_vs_alone,20
PADI4 neutrophil,Donor6,-1.59438793213148,control_fibroblasts_vs_alone,20
CXCR4 neutrophil,Donor1,-1.53900536792033,alpha_interaction,50
CXCR4 neutrophil,Donor3,-0.992484227727734,alpha_interaction,50
CXCR4 neutrophil,Donor4,-1.02793506595708,alpha_interaction,50
MX1/ISG neutrophil,Donor1,-1.69710433592969,alpha_interaction,50
MX1/ISG neutrophil,Donor3,-0.968184345391505,alpha_interaction,50
MX1/ISG neutrophil,Donor4,-0.847655924182195,alpha_interaction,50
OSM neutrophil,Donor1,0.66695377122827,alpha_interaction,50
OSM neutrophil,Donor3,-0.0552159311253899,alpha_interaction,50
OSM neutrophil,Donor4,0.33690235052046,alpha_interaction,50
