experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P4-11,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,927,928,99.8922413793104,4903.57952551914,4755.67572590232,927,927,100,Provisional above-unstained threshold; no matched FMO
co,P4-11,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,199,928,21.4439655172414,-205.570952395316,374.855830403234,927,199,21.4670981661273,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,841,841,100,5112.06656703795,6574.46605129297,841,841,100,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,287,841,34.1260404280618,-52.2034851062867,280.658411076167,841,287,34.1260404280618,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1247,1247,100,4608.83805464046,3657.16675889958,1247,1247,100,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,508,1247,40.7377706495589,-27.1286768260779,359.268853824197,1247,508,40.7377706495589,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7265,7287,99.6980924934815,3817.83376364381,3849.34785663697,7265,7265,100,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,2346,7287,32.1943186496501,-168.345609469938,576.212771646972,7265,2344,32.2642807983483,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6947,6953,99.9137063138214,5578.49752702031,3510.43147270803,6947,6947,100,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1822,6953,26.2045160362434,-167.664322927915,437.583281245996,6947,1820,26.1983590038866,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3458,3458,100,5454.59616365524,3556.35703391101,3458,3458,100,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1235,3458,35.7142857142857,-48.6758432846015,311.934502015238,3458,1235,35.7142857142857,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4657,4660,99.9356223175966,5441.41107619098,3670.00577185817,4657,4657,100,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1395,4660,29.9356223175966,-127.129500664728,428.469961774507,4657,1395,29.9549065922268,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3439,3439,100,4956.43339013799,3552.72819363954,3439,3439,100,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,2210,3439,64.2628671125327,116.985937406625,343.387099019652,3439,2210,64.2628671125327,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4777,4777,100,4625.90866897874,2906.35646089386,4777,4777,100,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,3083,4777,64.5384132300607,157.549077125695,470.14823852489,4777,3083,64.5384132300607,Provisional above-unstained threshold; no matched FMO
co,P4-9,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,13681,13685,99.9707709170625,5063.6729738742,2977.40673248239,13681,13681,100,Provisional above-unstained threshold; no matched FMO
co,P4-9,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,2301,13685,16.81402995981,-258.480783969391,449.126664657457,13681,2301,16.8189459834807,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1515,1515,100,5163.96262096006,3789.68129559454,1515,1515,100,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,1000,1515,66.006600660066,110.419614238601,268.316919129829,1515,1000,66.006600660066,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6805,6807,99.9706184809755,4914.95263326101,3641.10245108685,6805,6805,100,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,930,6807,13.6624063464081,-285.592786098709,389.656950342019,6805,930,13.6664217487142,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1097,1097,100,4619.14076119438,4044.59616903067,1097,1097,100,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,187,1097,17.0464904284412,-276.553404128109,396.191197813362,1097,187,17.0464904284412,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,926,928,99.7844827586207,4639.55683636912,4640.4002615282,926,926,100,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,277,928,29.8491379310345,-90.5150198947212,338.744670194632,926,277,29.9136069114471,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1866,1866,100,5309.76271118466,3925.87456359639,1866,1866,100,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,729,1866,39.0675241157556,-47.9771402123852,415.078445935491,1866,729,39.0675241157556,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7507,7507,100,5445.16570410926,4181.71337315289,7507,7507,100,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,1766,7507,23.5247102704143,-197.573928272655,429.018361382212,7507,1766,23.5247102704143,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7352,7352,100,5762.40555507337,4725.01074254057,7352,7352,100,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,2658,7352,36.1534276387378,-66.4856838603061,372.157231812151,7352,2658,36.1534276387378,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,734,734,100,4928.31389980198,4477.13316027769,734,734,100,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,342,734,46.5940054495913,8.16326214590835,343.413817546113,734,342,46.5940054495913,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1642,1642,100,4980.62411462058,3482.46528964643,1642,1642,100,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,998,1642,60.7795371498173,89.2831118212886,304.264477658089,1642,998,60.7795371498173,Provisional above-unstained threshold; no matched FMO
co,P5-8,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3591,3591,100,4889.09315527793,3399.98208761375,3591,3591,100,Provisional above-unstained threshold; no matched FMO
co,P5-8,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,2079,3591,57.8947368421053,73.9432463779127,336.166218418929,3591,2079,57.8947368421053,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7940,7944,99.9496475327291,4802.43192564979,3843.79390223084,7940,7940,100,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1782,7944,22.4320241691843,-150.678299149607,358.873784110955,7940,1781,22.4307304785894,Provisional above-unstained threshold; no matched FMO
