marker,n,effect,se,low,high,p,p_signflip,same_sign,omitted_id
OSM,16,0.0600173733319846,0.0497027538962609,-0.04592153887327,0.165956285537239,0.245925667936058,0.243133544921875,11,P15
CD16,16,0.130684660774475,0.0391156304422809,0.0473116680439915,0.214057653504959,0.0044672085401849,0.004302978515625,13,P15
CD11b,16,0.165569446145328,0.0513725471197158,0.0560714539327618,0.275067438357894,0.00569043696323911,0.004638671875,13,P15
CXCR4,16,0.0760652803205404,0.0492875363775815,-0.0289886166932166,0.181119177334297,0.143590332746651,0.146728515625,11,P16
OSM,16,0.0727811279445484,0.0468418642690826,-0.0270599423649604,0.172622198254057,0.141082864891651,0.141204833984375,12,P16
CD16,16,0.146358187302054,0.03421512937889,0.0734303653361497,0.219286009267958,0.000660955285100304,0.00042724609375,14,P16
CD11b,16,0.169495358867216,0.0508692617052713,0.0610700941225537,0.277920623611877,0.00455046995900044,0.0037841796875,13,P16
CXCR4,16,0.0580630166495797,0.0498717820192478,-0.0482361704716023,0.164362203770762,0.262508327777139,0.27117919921875,10,P17
OSM,16,0.0574391976453545,0.0498129154328567,-0.0487345183170155,0.163612913607725,0.266914473721155,0.26434326171875,11,P17
CD16,16,0.117805154897814,0.0375306205931616,0.0378105306899433,0.197799779105685,0.0067579258354399,0.005401611328125,13,P17
CD11b,16,0.130873964220569,0.0396892706449038,0.0462782863408903,0.215469642100249,0.00488423182367832,0.006378173828125,13,P17
CXCR4,16,0.0743024121710359,0.0496727221643286,-0.0315724889128394,0.180177313254911,0.155437052551186,0.159454345703125,11,P18
OSM,16,0.0729719852401188,0.0467678095696476,-0.0267112412139326,0.17265521169417,0.139534593574417,0.13983154296875,12,P18
CD16,16,0.140530827550792,0.0370041931620754,0.0616582568516796,0.219403398249903,0.00175144524682238,0.00164794921875,14,P18
CD11b,16,0.180526240448542,0.04749858455218,0.0792854039900659,0.281767076907019,0.00174085805102803,0.001251220703125,14,P18
CXCR4,16,0.0777798463681166,0.048840867308797,-0.026321998061964,0.181881690798197,0.132119048959183,0.135284423828125,11,P19
OSM,16,0.0666406009624355,0.0487148031207281,-0.0371925440112742,0.170473745936145,0.19146536621433,0.190216064453125,12,P19
CD16,16,0.139153845168157,0.0374833841856508,0.0592599029796092,0.219047787356705,0.00208539050675761,0.001953125,14,P19
CD11b,16,0.183749224885557,0.0459039621842365,0.0859072455485734,0.281591204222541,0.00115248607810793,0.000732421875,14,P19
CXCR4,16,0.0967945989355855,0.0381132781987807,0.015558069439001,0.17803112843217,0.0226576955416176,0.01763916015625,11,P20
OSM,16,0.0833098895726215,0.0410899145099937,-0.00427119003679466,0.170890969182038,0.0607627935168869,0.060516357421875,12,P20
CD16,16,0.111865701764066,0.0350120897143562,0.0372391990533037,0.186492204474829,0.00602447904633128,0.005401611328125,13,P20
CD11b,16,0.174869125710356,0.0496045405901426,0.0691395502117956,0.280598701208917,0.00306068096868445,0.00244140625,14,P20
CXCR4,16,0.0582360366933494,0.0499012421521477,-0.0481259432147141,0.164598016601413,0.261418200964228,0.269927978515625,10,P22
OSM,16,0.0664187400317823,0.0487647272893196,-0.0375208157883844,0.170358295851949,0.193295314325729,0.191986083984375,12,P22
CD16,16,0.122753215269475,0.0387259305748664,0.0402108481442968,0.205295582394654,0.00634419862119332,0.005279541015625,13,P22
CD11b,16,0.156962397887044,0.0512805635128879,0.0476604640914499,0.266264331682638,0.00792598500425466,0.006011962890625,13,P22
CXCR4,16,0.0706086832436327,0.0502434613990218,-0.0364827197226625,0.177700086209928,0.180295478275397,0.184722900390625,11,P23
OSM,16,0.0524667902363289,0.0495975751959987,-0.0532479388760492,0.158181519348707,0.306863157799079,0.30718994140625,11,P23
CD16,16,0.129035189135234,0.0391850412182895,0.0455142508377696,0.212556127432698,0.00492944320557733,0.00457763671875,13,P23
CD11b,16,0.164128076418813,0.0514709903448845,0.0544202574386971,0.273835895398928,0.00610280284304192,0.00494384765625,13,P23
CXCR4,16,0.0664139482542435,0.0505140012790438,-0.0412540968163802,0.174081993324867,0.208337191757329,0.213348388671875,10,P24
OSM,16,0.0451699424225135,0.048239418114147,-0.0576499433949531,0.14798982823998,0.363914660139561,0.361663818359375,11,P24
