n_a,n_b,effect,se,low,high,p,feature,omitted_patient
5,10,-0.180160461336187,0.142649186095303,-0.536460298450624,0.17613937577825,0.257203956237289,neutrophil recruitment,UC16
5,10,-0.186776121959002,0.143312285312318,-0.543156889080546,0.169604645162542,0.243257687925017,neutrophil recruitment,UC2
5,10,-0.198949900099502,0.143554072764663,-0.555370500309824,0.157470700110819,0.217898748184372,neutrophil recruitment,UC22
5,10,-0.196290367335616,0.143609001901714,-0.552720771226729,0.160140036555497,0.22339330254851,neutrophil recruitment,UC3
5,10,-0.217567325496798,0.141468028215709,-0.573830211741876,0.138695560748281,0.180700928109057,neutrophil recruitment,UC4
4,11,-0.0821336170762008,0.100692424537469,-0.333799132226687,0.169531898074285,0.448429887786399,neutrophil recruitment,UC5
5,10,-0.217235514757879,0.141531676417103,-0.573496763337104,0.139025733821346,0.181336711106558,neutrophil recruitment,UC6
5,10,-0.198108240908905,0.143577970813185,-0.554533072265888,0.158316590448078,0.219634225985082,neutrophil recruitment,UC7
5,10,-0.180507280379944,0.142693336441575,-0.536811194227153,0.175796633467265,0.256470856746199,neutrophil recruitment,UC8
5,10,-0.206638713686166,0.143055659452679,-0.562983189228435,0.149705761856104,0.202219999065591,neutrophil recruitment,UC9
5,10,-0.0148121920099162,0.140766614437984,-0.345943468577269,0.316319084557437,0.919074696436058,OSM response,UC1
4,11,-0.0129315427976221,0.168346826851507,-0.470120513873552,0.444257428278308,0.942260955150303,OSM response,UC10
4,11,-0.0260640273030777,0.166172037419244,-0.47576784655723,0.423639791951074,0.882487221028392,OSM response,UC11
4,11,0.024516897037761,0.165100716346927,-0.421499600377215,0.470533394452737,0.888656110587457,OSM response,UC12
4,11,-0.0907851914622037,0.125019136102184,-0.399874610017064,0.218304227092657,0.496189952165404,OSM response,UC13
5,10,0.0398308467233338,0.133266117422108,-0.286321323538484,0.365983016985152,0.775119332278333,OSM response,UC14
5,10,0.0223032938166396,0.138615513740324,-0.307005977917474,0.351612565550754,0.87681900489447,OSM response,UC16
5,10,0.0177934468092017,0.139524220647274,-0.312251339456544,0.347838233074947,0.902114048421726,OSM response,UC2
5,10,0.00338700228248336,0.141213737405807,-0.328157081175931,0.334931085740898,0.981510964263677,OSM response,UC22
5,10,0.000990255593873709,0.141318811649342,-0.330652457406666,0.332632968594413,0.994597429964104,OSM response,UC3
5,10,-0.0232126180757871,0.139584885305707,-0.353308325730515,0.306883089578941,0.872626335578889,OSM response,UC4
4,11,0.090871335534877,0.117731497269196,-0.193969481830915,0.375712152900669,0.468180759879525,OSM response,UC5
5,10,-0.0257477512537881,0.139104546187696,-0.355446444503618,0.303950941996042,0.858461119469893,OSM response,UC6
5,10,-0.0268731481621957,0.138872654580299,-0.35638529998635,0.302639003661958,0.85214616803537,OSM response,UC7
5,10,-0.000163022740687205,0.141351644594073,-0.331836679943132,0.331510634461758,0.999110768304543,OSM response,UC8
5,10,-0.0251596767617419,0.139221144156012,-0.354953434492032,0.304634080968548,0.86175426373614,OSM response,UC9
