DonorID,ConditionCode,clean_cell_class,clean_state,cells,resolved,median_UMI,median_genes
Donor3,UA5,Fibroblast_candidate,Fibroblast candidate: low stromal signal,12,0,4415.5,1413
Donor4,UD,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,5943,2254
Donor6,UD,Fibroblast_candidate,Fibroblast candidate: low stromal signal,2,0,408,234.5
Donor1,UA5,Fibroblast_candidate,Unresolved fibroblast-like,1,0,779,296
Donor2,UA5,Fibroblast_candidate,Fibroblast candidate: low stromal signal,9,0,4511,1554
Donor6,UA5,Fibroblast_candidate,Unresolved fibroblast-like,1,0,657,401
Donor3,UA5,Fibroblast_candidate,Activated FAP+ fibroblast,1,0,44612,6812
Donor1,UA5,Fibroblast_candidate,Fibroblast candidate: low stromal signal,12,0,3948.5,1317.5
Donor2,UA5,Fibroblast_candidate,Inflammatory fibroblast,2,0,744.5,401
Donor2,UD,Fibroblast_candidate,Fibroblast candidate: low stromal signal,3,0,5960,2389
Donor6,UD,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,1811,682
Donor4,UA5,Fibroblast_candidate,Inflammatory fibroblast,2,0,2614.5,1183.5
Donor5,UA5,Neutrophil,OSM,1,1,598,333
Donor3,UD,Fibroblast_candidate,Inflammatory fibroblast,1,0,3814,1488
Donor1,UA5,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,2,0,23015.5,5466
Donor5,UA5,Neutrophil,CXCR4,2,2,2603.5,550
Donor1,UD,Fibroblast_candidate,Inflammatory fibroblast,1,0,2335,1337
Donor1,UA5,Fibroblast_candidate,Antigen-presenting fibroblast-like,1,0,1488,763
Donor3,UD,Fibroblast_candidate,Fibroblast candidate: low stromal signal,11,0,3134,1269
Donor5,UD,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,6314,2512
Donor2,UD,Fibroblast_candidate,Unresolved fibroblast-like,2,0,901.5,361.5
Donor3,UA5,Fibroblast_candidate,Unresolved fibroblast-like,1,0,230,135
Donor2,UD,Fibroblast_candidate,Inflammatory fibroblast,1,0,876,505
Donor6,UA5,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,547,324
Donor3,UD,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,3,0,41626,7165
Donor5,UD,Fibroblast_candidate,Inflammatory fibroblast,1,0,1769,905
Donor2,UA5,Fibroblast_candidate,Myofibroblast-like,1,0,37248,6596
Donor2,UD,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,14310,3935
Donor3,UA5,Fibroblast_candidate,ECM-remodeling fibroblast,1,0,1673,368
Donor6,UA5,Fibroblast_candidate,Fibroblast candidate: low stromal signal,1,0,315,188
Donor1,UD,Fibroblast_candidate,Unresolved fibroblast-like,1,0,466,315
Donor5,UA5,Neutrophil,MX1/ISG-like,1,1,3947,1581
Donor3,NA5,Neutrophil,Low-signal/unresolved,2812,0,169,109
Donor4,CF,Neutrophil,CXCR4,1323,1309,2843,1048
Donor3,NA5,Neutrophil,OSM,1557,1521,2473,915
Donor6,CF,Neutrophil,Low-signal/unresolved,5465,0,149,99
Donor1,CF,Neutrophil,Low-signal/unresolved,4870,0,149,97
Donor5,NA5,Neutrophil,Low-signal/unresolved,10169,0,149,98
Donor2,NA5,Neutrophil,MX1/ISG-like,69,69,3068,1094
Donor4,CF,Neutrophil,Low-signal/unresolved,1744,0,197,126
Donor5,NA5,Neutrophil,PADI4,61,59,331,190
Donor3,NA5,Neutrophil,CXCR4,2082,2069,2820.5,1035
Donor2,NA5,Neutrophil,PADI4,31,31,506,258
Donor3,CF,Neutrophil,PADI4,63,60,2276,943
Donor2,NA5,Neutrophil,Low-signal/unresolved,4347,0,148,96
Donor5,NA5,Neutrophil,CXCR4,1377,1363,2090,858
Donor6,CF,Neutrophil,OSM,468,464,1221.5,616.5
Donor3,CF,Neutrophil,CXCR4,1475,1448,2913,1061
Donor1,CF,Neutrophil,MX1/ISG-like,65,65,2901,1069
Donor3,CF,Neutrophil,Low-signal/unresolved,1589,0,224,125
Donor4,NA5,Neutrophil,OSM,641,622,2418,921
Donor1,CF,Neutrophil,OSM,460,454,1652,710
Donor3,CF,Neutrophil,OSM,1657,1596,2533,935
Donor2,NA5,Neutrophil,OSM,429,423,1523,686
Donor4,NA5,Neutrophil,CXCR4,791,789,2818,1050
Donor6,CF,Neutrophil,CXCR4,696,692,2268.5,894.5
Donor1,CF,Neutrophil,CXCR4,704,699,2196.5,876
Donor4,NA5,Neutrophil,Low-signal/unresolved,916,0,188,121.5
Donor5,NA5,Neutrophil,MX1/ISG-like,133,132,2972,1069
Donor1,NA5,Neutrophil,Low-signal/unresolved,248,0,158.5,104.5
