DonorID,program,version,composition,activity,total,retained_0,retained_1,n_states,n0,n1,min_state_cells
Donor2,Type_I_interferon,full_gene,0.011829832921648,0.00393749191416859,0.0157673248358166,1,1,4,720,944,10
Donor2,Immature_granulopoiesis,full_gene,0.0667059174331093,0.0353081479786763,0.102014065411786,1,1,4,720,944,10
Donor2,Survival_antiapoptosis,full_gene,-0.00347449805352299,-0.09742515279144,-0.100899650844963,1,1,4,720,944,10
Donor2,Hypoxia_glycolysis,full_gene,0.00646215726501104,-0.0434484051338606,-0.0369862478688496,1,1,4,720,944,10
Donor2,ER_stress,full_gene,-0.00130980375443057,-0.172681694045308,-0.173991497799739,1,1,4,720,944,10
Donor2,Proliferation_stress,full_gene,0.00859584940779729,0.00656970657435916,0.0151655559821564,1,1,4,720,944,10
Donor2,Integrin_adhesion,full_gene,0.000343844852814132,-0.0830171282927746,-0.0826732834399604,1,1,4,720,944,10
Donor2,CXCR4_aging_retention,full_gene,-0.0192623850496525,-0.22501401776539,-0.244276402815042,1,1,4,720,944,10
Donor4,NETosis,full_gene,0.00897778715523943,0.0786935419617808,0.0876713291170202,1,1,4,3393,1576,1
Donor4,Degranulation,full_gene,0.0106602050184389,0.0555097944955422,0.0661699995139811,1,1,4,3393,1576,1
Donor4,Oxidative_burst,full_gene,0.00148834850391899,0.101617614229267,0.103105962733186,1,1,4,3393,1576,1
Donor4,Phagocytosis,full_gene,0.0043375410948404,0.0394415143361145,0.0437790554309549,1,1,4,3393,1576,1
Donor4,Chemotaxis,full_gene,0.00374185939820966,-0.0261276796355281,-0.0223858202373185,1,1,4,3393,1576,1
Donor4,OSM_inflammation,full_gene,-0.0167186129116421,-0.0197540021376989,-0.036472615049341,1,1,4,3393,1576,1
Donor4,Type_I_interferon,full_gene,0.0210898686805432,0.017955961355773,0.0390458300363162,1,1,4,3393,1576,1
Donor4,Immature_granulopoiesis,full_gene,0.0109440642747031,0.0438025402944882,0.0547466045691913,1,1,4,3393,1576,1
Donor4,Survival_antiapoptosis,full_gene,-0.000339844324647519,0.0162465093145012,0.0159066649898537,1,1,4,3393,1576,1
Donor4,Hypoxia_glycolysis,full_gene,0.00218978307822657,0.0811162264062154,0.083306009484442,1,1,4,3393,1576,1
Donor4,ER_stress,full_gene,-0.00100128538174295,-0.0103370558355118,-0.0113383412172548,1,1,4,3393,1576,1
