experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P1-1,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,492,493,99.7971602434077,2760.55780908099,2316.89157985315,492,492,100,Provisional above-unstained threshold; no matched FMO
co,P3-6,N+IF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,569,569,100,6469.46718933432,4413.3136912607,569,569,100,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1645,1645,100,8360.93886718279,5764.08749249622,1645,1645,100,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,960,1645,58.3586626139818,58.1165181707526,193.937930961913,1645,960,58.3586626139818,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1620,1645,98.4802431610942,3143.52212148413,2464.94479573551,1645,1620,98.4802431610942,Provisional above-unstained threshold; no matched FMO
co,P3-7,N+IF+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1645,1645,100,7042.33767445502,3974.89809928942,1645,1645,100,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2060,2060,100,10445.0970244481,6523.03291198915,2060,2060,100,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1544,2060,74.9514563106796,237.886859509739,388.467890251221,2060,1544,74.9514563106796,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,2030,2060,98.5436893203884,2755.91988643768,1685.44241077712,2060,2030,98.5436893203884,Provisional above-unstained threshold; no matched FMO
co,P3-8,N+IF+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,2060,2060,100,6496.83683935699,2947.08549630788,2060,2060,100,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6819,6819,100,7478.15665630028,5215.25980415843,6819,6819,100,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,6722,6819,98.5775040328494,600.961712099984,425.725497008685,6819,6722,98.5775040328494,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,6799,6819,99.7067018624432,5332.3459027252,3779.26417526161,6819,6799,99.7067018624432,Provisional above-unstained threshold; no matched FMO
co,P3-9,N+IF+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,6819,6819,100,8536.55243287211,4383.54294678295,6819,6819,100,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1769,1769,100,5082.13718416361,4061.38149588604,1769,1769,100,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1005,1769,56.8117580553985,67.0933537283511,290.225224202548,1769,1005,56.8117580553985,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1754,1769,99.152063312606,12761.8916529417,7301.10776321641,1769,1754,99.152063312606,Provisional above-unstained threshold; no matched FMO
co,P4-1,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1767,1769,99.8869417750142,9552.10134835804,4366.54229291416,1769,1767,99.8869417750142,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,11458,11469,99.9040892841573,5043.81756481126,3484.74969137226,11458,11458,100,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,3694,11469,32.208562211178,-69.9043640497963,287.44560590977,11458,3694,32.2394833304242,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,11450,11469,99.8343360362717,14639.0599842479,7021.18439832542,11458,11439,99.8341769942398,Provisional above-unstained threshold; no matched FMO
co,P4-10,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,11468,11469,99.9912808440143,8989.59029914977,3796.96919844527,11458,11457,99.9912724733811,Provisional above-unstained threshold; no matched FMO
co,P4-11,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,927,928,99.8922413793104,4903.57952551914,4755.67572590232,927,927,100,Provisional above-unstained threshold; no matched FMO
co,P4-11,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,199,928,21.4439655172414,-205.570952395316,374.855830403234,927,199,21.4670981661273,Provisional above-unstained threshold; no matched FMO
co,P4-11,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,909,928,97.9525862068966,15577.5585975774,9559.91786784921,927,908,97.9503775620281,Provisional above-unstained threshold; no matched FMO
co,P4-11,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,928,928,100,8333.01945580888,4489.19690618684,927,927,100,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,841,841,100,5112.06656703795,6574.46605129297,841,841,100,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,287,841,34.1260404280618,-52.2034851062867,280.658411076167,841,287,34.1260404280618,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,815,841,96.9084423305589,13085.6923741456,8204.0000817849,841,815,96.9084423305589,Provisional above-unstained threshold; no matched FMO
co,P4-12,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,839,841,99.7621878715815,8313.01507921979,4371.63250519654,841,839,99.7621878715815,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1247,1247,100,4608.83805464046,3657.16675889958,1247,1247,100,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,508,1247,40.7377706495589,-27.1286768260779,359.268853824197,1247,508,40.7377706495589,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1226,1247,98.3159582999198,14764.4445907964,9021.14626832937,1247,1226,98.3159582999198,Provisional above-unstained threshold; no matched FMO
co,P4-2,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1247,1247,100,9986.26281490314,4733.32786963846,1247,1247,100,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7265,7287,99.6980924934815,3817.83376364381,3849.34785663697,7265,7265,100,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,2346,7287,32.1943186496501,-168.345609469938,576.212771646972,7265,2344,32.2642807983483,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,7274,7287,99.8216001097846,18460.0002366449,13367.0656171346,7265,7252,99.8210598761184,Provisional above-unstained threshold; no matched FMO
co,P4-3,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,7287,7287,100,11451.1997779398,5836.06343146594,7265,7265,100,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6947,6953,99.9137063138214,5578.49752702031,3510.43147270803,6947,6947,100,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1822,6953,26.2045160362434,-167.664322927915,437.583281245996,6947,1820,26.1983590038866,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,6948,6953,99.9280885948512,21811.412388819,11269.4186079241,6947,6942,99.9280264862531,Provisional above-unstained threshold; no matched FMO
co,P4-4,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,6953,6953,100,12757.9579682099,6255.82288422394,6947,6947,100,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3458,3458,100,5454.59616365524,3556.35703391101,3458,3458,100,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1235,3458,35.7142857142857,-48.6758432846015,311.934502015238,3458,1235,35.7142857142857,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,3447,3458,99.6818970503181,16639.5472676887,8174.14766006943,3458,3447,99.6818970503181,Provisional above-unstained threshold; no matched FMO
co,P4-5,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,3458,3458,100,8326.42823609486,3394.20602844697,3458,3458,100,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4657,4660,99.9356223175966,5441.41107619098,3670.00577185817,4657,4657,100,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1395,4660,29.9356223175966,-127.129500664728,428.469961774507,4657,1395,29.9549065922268,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,4648,4660,99.7424892703863,19826.8364122571,11399.5690583628,4657,4645,99.7423233841529,Provisional above-unstained threshold; no matched FMO
co,P4-6,N+IF+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,4659,4660,99.9785407725322,11991.8535219177,6104.60973400249,4657,4656,99.9785269486794,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3439,3439,100,4956.43339013799,3552.72819363954,3439,3439,100,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,2210,3439,64.2628671125327,116.985937406625,343.387099019652,3439,2210,64.2628671125327,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,3419,3439,99.4184355917418,15090.4602943678,6836.5004487069,3439,3419,99.4184355917418,Provisional above-unstained threshold; no matched FMO
co,P4-7,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,3438,3439,99.9709217795871,11371.8059383834,4476.67696140196,3439,3438,99.9709217795871,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4777,4777,100,4625.90866897874,2906.35646089386,4777,4777,100,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,3083,4777,64.5384132300607,157.549077125695,470.14823852489,4777,3083,64.5384132300607,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,4764,4777,99.7278626753192,16007.9766779375,9968.1705502912,4777,4764,99.7278626753192,Provisional above-unstained threshold; no matched FMO
co,P4-8,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,4776,4777,99.9790663596399,10915.4979178016,4586.88319278303,4777,4776,99.9790663596399,Provisional above-unstained threshold; no matched FMO
co,P4-9,N+IF+ATN+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,13681,13685,99.9707709170625,5063.6729738742,2977.40673248239,13681,13681,100,Provisional above-unstained threshold; no matched FMO
