Fine_annotation_3,HS,Condition,cells
20_21_23_Endothelial,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,55
03_26-IgA_plasma_cell,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,45
1B-Fibroblast,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,22
04-IEC_CT_coloncyte,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,64
01C_24_activated_fibroblast,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,16
05E-MNP-pDC,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,1
05A-MNP-M1_Macrophage,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,2
05B-MNP-M2_macrophage,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,1
15-Fibroblast_PDGFRBhi,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,53
05F-MNP_monocyte_neutrophil,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,8
20_21_23_Endothelial,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,49
16-unassigned,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,73
06-Cytotoxic_NK,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,136
9-CCL3_L3_CCL4_L2hi,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,101
02-unassigned,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,143
11_22-IgG_plasma_cell,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,107
01-IEC_crypt_base,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,209
07-T_cells,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,136
05-MNP_NOS,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,26
10_19-B_cells,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,60
14-unassigned,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,71
17-Fibroblast_PLAC9_FZD8hi,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,36
12-unassigned,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,88
01C_24_activated_fibroblast,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,26
05E-MNP-pDC,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,3
03_26-IgA_plasma_cell,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,66
08_27_IEC_colonocyte,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,41
13-IEC_crypt_base_MHCIIhi,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,85
18-unassigned,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,26
1B-Fibroblast,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,28
05G-MNP_activated,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,5
04-IEC_CT_coloncyte,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,115
01A-Muscularis mucosae and myofibroblast,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,4
05B-MNP-M2_macrophage,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,7
25-Treg,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,2
05A-MNP-M1_Macrophage,FOV13_HS32_VDZ_sigm_PRE_3_Mayo1_Responder,PRE_VDZ_Responder,1
10_19-B_cells,FOV14_HS31_HC_2,HC,65
14-unassigned,FOV14_HS31_HC_2,HC,59
12-unassigned,FOV14_HS31_HC_2,HC,85
06-Cytotoxic_NK,FOV14_HS31_HC_2,HC,59
20_21_23_Endothelial,FOV14_HS31_HC_2,HC,42
15-Fibroblast_PDGFRBhi,FOV14_HS31_HC_2,HC,59
08_27_IEC_colonocyte,FOV14_HS31_HC_2,HC,129
07-T_cells,FOV14_HS31_HC_2,HC,98
18-unassigned,FOV14_HS31_HC_2,HC,20
11_22-IgG_plasma_cell,FOV14_HS31_HC_2,HC,49
01-IEC_crypt_base,FOV14_HS31_HC_2,HC,5
02-unassigned,FOV14_HS31_HC_2,HC,64
1B-Fibroblast,FOV14_HS31_HC_2,HC,9
03_26-IgA_plasma_cell,FOV14_HS31_HC_2,HC,56
25-Treg,FOV14_HS31_HC_2,HC,1
17-Fibroblast_PLAC9_FZD8hi,FOV14_HS31_HC_2,HC,32
9-CCL3_L3_CCL4_L2hi,FOV14_HS31_HC_2,HC,51
04-IEC_CT_coloncyte,FOV14_HS31_HC_2,HC,32
16-unassigned,FOV14_HS31_HC_2,HC,44
01C_24_activated_fibroblast,FOV14_HS31_HC_2,HC,17
01A-Muscularis mucosae and myofibroblast,FOV14_HS31_HC_2,HC,6
05G-MNP_activated,FOV14_HS31_HC_2,HC,1
05-MNP_NOS,FOV14_HS31_HC_2,HC,8
05F-MNP_monocyte_neutrophil,FOV14_HS31_HC_2,HC,3
05B-MNP-M2_macrophage,FOV14_HS31_HC_2,HC,2
05A-MNP-M1_Macrophage,FOV14_HS31_HC_2,HC,1
05C-MNP-mDC,FOV14_HS31_HC_2,HC,1
02-unassigned,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,184
