sample_uid,sample_id,dataset_source,source_batch,source_condition,contrast,contrast_short,condition_label,treatment_status,total_cells,compartment,feature_scope,feature,numerator_cells,denominator_cells,proportion
Merged_a5B1__M15,M15,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,5874,Epithelial,Compartment recovery,Epithelial,5779,5874,0.983827034388832
Merged_a5B1__M16,M16,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,79762,Epithelial,Compartment recovery,Epithelial,77703,79762,0.974185702464833
Merged_a5B1__M17,M17,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,761,Epithelial,Compartment recovery,Epithelial,751,761,0.986859395532194
Merged_a5B1__M18,M18,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,3816,Epithelial,Compartment recovery,Epithelial,3754,3816,0.983752620545073
Merged_a5B1__M19,M19,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,6054,Epithelial,Compartment recovery,Epithelial,5893,6054,0.973406012553684
Merged_a5B1__M2,M2,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,29338,Epithelial,Compartment recovery,Epithelial,26763,29338,0.912229872520281
Merged_a5B1__M20,M20,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,6778,Epithelial,Compartment recovery,Epithelial,6717,6778,0.991000295072293
Merged_a5B1__M21,M21,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,4938,Epithelial,Compartment recovery,Epithelial,4897,4938,0.991697043337384
Merged_a5B1__M22,M22,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,5532,Epithelial,Compartment recovery,Epithelial,5489,5532,0.992227042660882
Merged_a5B1__M23,M23,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,91895,Epithelial,Compartment recovery,Epithelial,91182,91895,0.992241144784809
Merged_a5B1__M24,M24,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,4899,Epithelial,Compartment recovery,Epithelial,4859,4899,0.991835068381302
Merged_a5B1__M3,M3,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,41642,Epithelial,Compartment recovery,Epithelial,39556,41642,0.949906344555977
Merged_a5B1__M4,M4,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,22157,Epithelial,Compartment recovery,Epithelial,20487,22157,0.9246287854854
Merged_a5B1__M5,M5,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,13580,Epithelial,Compartment recovery,Epithelial,12249,13580,0.901988217967599
Merged_a5B1__M6,M6,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,30753,Epithelial,Compartment recovery,Epithelial,29407,30753,0.956231912333756
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,7,1251,0.00559552358113509
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,7,1251,0.00559552358113509
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,7,1251,0.00559552358113509
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,7,1251,0.00559552358113509
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Colonocyte-like epithelial cell,22,1251,0.017585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Colonocyte-like epithelial cell,22,1251,0.017585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Colonocyte-like epithelial cell,22,1251,0.017585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Colonocyte-like epithelial cell,22,1251,0.017585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine cell,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine cell,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine cell,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine cell,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine-secretory transitional cell,10,1251,0.00799360511590728
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine-secretory transitional cell,10,1251,0.00799360511590728
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine-secretory transitional cell,10,1251,0.00799360511590728
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Enteroendocrine-secretory transitional cell,10,1251,0.00799360511590728
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,IFN-responsive absorptive colonocyte,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,IFN-responsive absorptive colonocyte,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,IFN-responsive absorptive colonocyte,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,IFN-responsive absorptive colonocyte,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,IFN/MHC-II-responsive epithelial,949,1251,0.7585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,IFN/MHC-II-responsive epithelial,949,1251,0.7585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,IFN/MHC-II-responsive epithelial,949,1251,0.7585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,IFN/MHC-II-responsive epithelial,949,1251,0.7585931254996
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Inflammatory Zg16+ secretory epithelial,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Inflammatory Zg16+ secretory epithelial,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Inflammatory Zg16+ secretory epithelial,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Inflammatory Zg16+ secretory epithelial,3,1251,0.00239808153477218
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Injury/inflammatory epithelial,14,1251,0.0111910471622702
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Injury/inflammatory epithelial,14,1251,0.0111910471622702
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Injury/inflammatory epithelial,14,1251,0.0111910471622702
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Injury/inflammatory epithelial,14,1251,0.0111910471622702
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Mature absorptive colonocyte,159,1251,0.127098321342926
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Mature absorptive colonocyte,159,1251,0.127098321342926
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Mature absorptive colonocyte,159,1251,0.127098321342926
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Mature absorptive colonocyte,159,1251,0.127098321342926
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Reg4+ deep-crypt secretory epithelial,8,1251,0.00639488409272582
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Reg4+ deep-crypt secretory epithelial,8,1251,0.00639488409272582
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Reg4+ deep-crypt secretory epithelial,8,1251,0.00639488409272582
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Reg4+ deep-crypt secretory epithelial,8,1251,0.00639488409272582
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Satb2+ epithelial-like transitional cell,59,1251,0.0471622701838529
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Satb2+ epithelial-like transitional cell,59,1251,0.0471622701838529
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Satb2+ epithelial-like transitional cell,59,1251,0.0471622701838529
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Satb2+ epithelial-like transitional cell,59,1251,0.0471622701838529
